trial_id,call_order,visible_return,return_ratio,replicate,deduction_spent,any_deduction,max_deduction,attempts
current__r0.02__rep05,0,0.25,0.0166666666666667,5,2,1.0,1.0,1
current__r0.03__rep04,1,0.5,0.0333333333333333,4,0,0.0,0.0,1
current__r0.07__rep01,2,1.0,0.0666666666666667,1,0,0.0,0.0,1
current__r0.02__rep06,3,0.25,0.0166666666666667,6,2,1.0,1.0,1
current__r0.05__rep04,4,0.75,0.05,4,0,0.0,0.0,1
current__r0.02__rep02,5,0.25,0.0166666666666667,2,2,1.0,1.0,1
current__r0.05__rep01,6,0.75,0.05,1,0,0.0,0.0,1
current__r0.03__rep01,7,0.5,0.0333333333333333,1,0,0.0,0.0,1
current__r0.00__rep05,8,0.0,0.0,5,2,1.0,1.0,1
current__r0.02__rep07,9,0.25,0.0166666666666667,7,2,1.0,1.0,1
current__r0.07__rep07,10,1.0,0.0666666666666667,7,0,0.0,0.0,1
current__r0.00__rep02,11,0.0,0.0,2,2,1.0,1.0,1
current__r0.00__rep08,12,0.0,0.0,8,2,1.0,1.0,1
current__r0.05__rep02,13,0.75,0.05,2,0,0.0,0.0,1
current__r0.03__rep05,14,0.5,0.0333333333333333,5,0,0.0,0.0,1
current__r0.03__rep06,15,0.5,0.0333333333333333,6,0,0.0,0.0,1
current__r0.00__rep06,16,0.0,0.0,6,2,1.0,1.0,1
current__r0.07__rep02,17,1.0,0.0666666666666667,2,0,0.0,0.0,1
current__r0.03__rep07,18,0.5,0.0333333333333333,7,0,0.0,0.0,1
current__r0.00__rep07,19,0.0,0.0,7,2,1.0,1.0,1
current__r0.07__rep06,20,1.0,0.0666666666666667,6,0,0.0,0.0,1
current__r0.02__rep09,21,0.25,0.0166666666666667,9,2,1.0,1.0,1
current__r0.00__rep03,22,0.0,0.0,3,2,1.0,1.0,1
current__r0.07__rep03,23,1.0,0.0666666666666667,3,0,0.0,0.0,1
current__r0.07__rep04,24,1.0,0.0666666666666667,4,0,0.0,0.0,1
current__r0.00__rep04,25,0.0,0.0,4,2,1.0,1.0,1
current__r0.02__rep04,26,0.25,0.0166666666666667,4,2,1.0,1.0,1
current__r0.02__rep03,27,0.25,0.0166666666666667,3,2,1.0,1.0,1
current__r0.02__rep01,28,0.25,0.0166666666666667,1,2,1.0,1.0,1
current__r0.03__rep09,29,0.5,0.0333333333333333,9,0,0.0,0.0,1
current__r0.07__rep08,30,1.0,0.0666666666666667,8,0,0.0,0.0,1
current__r0.03__rep00,31,0.5,0.0333333333333333,0,0,0.0,0.0,1
current__r0.02__rep08,32,0.25,0.0166666666666667,8,2,1.0,1.0,1
current__r0.05__rep00,33,0.75,0.05,0,0,0.0,0.0,1
current__r0.05__rep05,34,0.75,0.05,5,0,0.0,0.0,1
current__r0.05__rep09,35,0.75,0.05,9,0,0.0,0.0,1
current__r0.05__rep07,36,0.75,0.05,7,0,0.0,0.0,1
current__r0.05__rep08,37,0.75,0.05,8,0,0.0,0.0,1
current__r0.05__rep06,38,0.75,0.05,6,0,0.0,0.0,1
current__r0.02__rep00,39,0.25,0.0166666666666667,0,2,1.0,1.0,1
current__r0.05__rep03,40,0.75,0.05,3,0,0.0,0.0,1
current__r0.00__rep01,41,0.0,0.0,1,2,1.0,1.0,1
current__r0.07__rep09,42,1.0,0.0666666666666667,9,0,0.0,0.0,1
current__r0.07__rep05,43,1.0,0.0666666666666667,5,0,0.0,0.0,1
current__r0.03__rep03,44,0.5,0.0333333333333333,3,0,0.0,0.0,1
current__r0.07__rep00,45,1.0,0.0666666666666667,0,0,0.0,0.0,1
current__r0.03__rep08,46,0.5,0.0333333333333333,8,0,0.0,0.0,1
current__r0.00__rep00,47,0.0,0.0,0,2,1.0,1.0,1
current__r0.03__rep02,48,0.5,0.0333333333333333,2,0,0.0,0.0,1
current__r0.00__rep09,49,0.0,0.0,9,2,1.0,1.0,1
