batch,condition,condition_label,replicate,path,avg_sent,avg_returned,avg_return_ratio,final_agent_1,final_agent_2,final_mean_balance,final_total_balance,escalated_send,escalated_return
myth_causal_confirm_claude_fixed_prompt_r10,game_only,Game Only,0,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_000_neutral_rep00.json,3.0,5.0,0.5555555555555556,55.0,55.0,55.0,110.0,False,False
myth_causal_confirm_claude_fixed_prompt_r10,game_only,Game Only,1,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_001_neutral_rep01.json,3.0,4.5,0.5,55.0,55.0,55.0,110.0,False,False
myth_causal_confirm_claude_fixed_prompt_r10,game_only,Game Only,2,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_002_neutral_rep02.json,3.0,5.0,0.5555555555555556,55.0,55.0,55.0,110.0,False,False
myth_causal_confirm_claude_fixed_prompt_r10,game_only,Game Only,3,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_003_neutral_rep03.json,4.0,6.0,0.5,65.0,65.0,65.0,130.0,True,False
myth_causal_confirm_claude_fixed_prompt_r10,game_only,Game Only,4,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_004_neutral_rep04.json,4.0,6.0,0.5,65.0,65.0,65.0,130.0,True,False
myth_causal_confirm_claude_fixed_prompt_r10,game_only,Game Only,5,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_005_neutral_rep05.json,3.0,4.5,0.5,55.0,55.0,55.0,110.0,False,False
myth_causal_confirm_claude_fixed_prompt_r10,game_only,Game Only,6,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_006_neutral_rep06.json,3.0,5.0,0.5555555555555556,55.0,55.0,55.0,110.0,False,False
myth_causal_confirm_claude_fixed_prompt_r10,game_only,Game Only,7,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_007_neutral_rep07.json,3.0,5.0,0.5555555555555556,55.0,55.0,55.0,110.0,False,False
myth_causal_confirm_claude_fixed_prompt_r10,game_only,Game Only,8,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_008_neutral_rep08.json,3.0,4.5,0.5,55.0,55.0,55.0,110.0,False,False
myth_causal_confirm_claude_fixed_prompt_r10,game_only,Game Only,9,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_009_neutral_rep09.json,3.0,4.5,0.5,55.0,55.0,55.0,110.0,False,False
