condition,arm,run,n_myths,role_frame_per_1000,action_per_1000,exchange_per_1000,pct_myths_with_role_frame,pct_myths_with_action,pct_myths_with_exchange
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_010_neutral_rep00_myth_control_anything.json,20,0.0,4.6409379579872985,14.655593551538837,0.0,35.0,85.0
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_011_neutral_rep01_myth_control_anything.json,20,0.0,4.811161895597787,15.876834255472696,0.0,40.0,90.0
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_012_neutral_rep02_myth_control_anything.json,20,0.23969319271332695,5.992329817833173,33.557046979865774,5.0,55.00000000000001,95.0
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_013_neutral_rep03_myth_control_anything.json,20,0.0,3.1584062196307094,5.1020408163265305,0.0,30.0,45.0
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_014_neutral_rep04_myth_control_anything.json,20,0.0,7.522331922896098,16.455101081335215,0.0,65.0,70.0
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_015_neutral_rep05_myth_control_anything.json,20,0.23946360153256704,2.1551724137931036,10.53639846743295,5.0,30.0,85.0
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_016_neutral_rep06_myth_control_anything.json,20,0.0,1.9038553069966682,10.70918610185626,0.0,35.0,100.0
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_017_neutral_rep07_myth_control_anything.json,20,2.618424184717924,15.94858367055463,34.039514401333015,15.0,90.0,100.0
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_018_neutral_rep08_myth_control_anything.json,20,0.0,5.348837209302325,11.395348837209303,0.0,50.0,85.0
"Negative U(0,2) (Informed)",myth_control,data/json/noise_experiments/neutral_2026_05_27/myth_causal_neutral_noise_negative2_informed_claude_r10_n10/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_neutral_noise_negative2_informed_claude_r10_n10_019_neutral_rep09_myth_control_anything.json,20,0.485319097306479,13.831594273234652,27.663188546469303,10.0,85.0,95.0
