model,condition,replicate_id,path,issues,accepted_calls,attempts,retries,noise_checks
GPT-5 Nano,game,0,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy2_crossmodel_signed_game_r3/noise2_crossmodel_signed_gpt_n5_game_000_neutral_rep00.json,0,20,20,0,20
GPT-5 Nano,game,1,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy2_crossmodel_signed_game_r3/noise2_crossmodel_signed_gpt_n5_game_001_neutral_rep01.json,0,20,20,0,20
GPT-5 Nano,game,2,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy2_crossmodel_signed_game_r3/noise2_crossmodel_signed_gpt_n5_game_002_neutral_rep02.json,0,20,20,0,20
GPT-5 Nano,game,3,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy2_crossmodel_signed_game_r3/noise2_crossmodel_signed_gpt_n5_game_003_neutral_rep03.json,0,20,20,0,20
GPT-5 Nano,game,4,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy2_crossmodel_signed_game_r3/noise2_crossmodel_signed_gpt_n5_game_004_neutral_rep04.json,0,20,20,0,20
GPT-5 Nano,game_myth,0,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game_myth/gpt-5-nano/game_myth/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_signed_gpt_n5_game_myth_000_neutral_rep00_memtest_memory_primary_anything.json,0,40,41,1,20
GPT-5 Nano,game_myth,1,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game_myth/gpt-5-nano/game_myth/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_signed_gpt_n5_game_myth_001_neutral_rep01_memtest_memory_primary_anything.json,0,40,41,1,20
GPT-5 Nano,game_myth,2,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game_myth/gpt-5-nano/game_myth/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_signed_gpt_n5_game_myth_002_neutral_rep02_memtest_memory_primary_anything.json,0,40,42,2,20
GPT-5 Nano,game_myth,3,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game_myth/gpt-5-nano/game_myth/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_signed_gpt_n5_game_myth_003_neutral_rep03_memtest_memory_primary_anything.json,0,40,40,0,20
GPT-5 Nano,game_myth,4,data/json/noise_experiments/crossmodel_population_size_dyads_20260824/noise2_crossmodel_signed_gpt_n5_game_myth/gpt-5-nano/game_myth/noisy2_crossmodel_signed_twotask_r3/noise2_crossmodel_signed_gpt_n5_game_myth_004_neutral_rep04_memtest_memory_primary_anything.json,0,40,41,1,20
