availability,condition,replicate_id,round,agent_id,text,word_count,coop_density,coop_present,threat_density,threat_present,half_rule,punishment_density,punishment_presence
off,control,93,1,Agent_1,"In the valley of Eldor, the Sower held five golden seeds each dawn, while the Harvester guarded the enchanted earth. Long ago, fear ruled their hearts: the Sower planted nothing, keeping his five dry seeds, and the Harvester sat over barren soil, leaving both to hunger.

One spring, the Sower placed all five seeds into the sacred furrow. Deep within the soil, the earth god tripled the offering, turning five seeds into fifteen radiant fruits. When the Harvester gathered the miraculous yield, greed whispered to hoard the bounty. But seeing the Sower’s empty hands and open heart, the Harvester remembered the ancient covenant.

He gave back eight golden fruits to the Sower and kept seven for his hearth. Both feast and thrive; the Sower is rewarded with more than he began, and the Harvester earns plenty without toil.

Ever since, the valley flourishes on one unbreakable truth: complete trust multiplies the gift, and honest sharing sustains the harvest. He who hoards breaks the cycle, while those who honor the circle shall never thirst in the dry seasons of the realm.",181,1.6574585635359116,1.0,0.0,0.0,0.0,0.0,0.0
off,control,93,1,Agent_2,"In the golden valley of Aethelgard, mortals tended the sacred Grove of Sowing. Every dawn, the Sower stood at the riverbank with five golden seeds. Across the misty waters waited the Keeper of the Soil.

The ancients knew the divine law of the river: whatever seed crossed the mist was blessed by the water spirit, tripling into vibrant sheaves of grain. Yet the crossing was shrouded in capricious vapors that sometimes blurred the sight of both shores.

If the Sower clutched the seeds in fear, barren silence fell upon both banks. But when the Sower cast all five seeds across the deep with an open hand, the Keeper nurtured the miraculous soil until fifteen glowing sheaves rose toward the sun. In honor of the gift, the Keeper loaded the skiff with a fair half of the bounty, returning it through the fog so both spirits thrived in harmony.

Though the river’s haze occasionally distorted a count, the partners never yielded to suspicion or greed. They understood that abundance was forged not in safe isolation, but in the brave rhythm of wholehearted trust and faithful return. Thus, the valley flourished eternal.",191,2.6178010471204187,1.0,0.0,0.0,1.0,0.0,0.0
off,control,93,1,Agent_3,"In the First Age of the Sunken Valleys, the Wanderer carried five golden seeds—the measure of life itself. At the crossroads stood the Guardian of the Spring, whose waters possessed the power to multiply any gift threefold.

The Wanderer knew that hoarding the seeds would yield only a meager survival. Placing faith in the unseen, the Wanderer placed all five seeds into the Guardian’s hands. When touched by the enchanted waters, the seeds blossomed into fifteen luminous fruits.

The Guardian, understanding the sacred bond of reciprocity, did not consume the bounty alone. Knowing that greed would poison the spring and leave the Wanderer empty-handed, the Guardian returned eight fruits to the Wanderer and kept seven. Both flourished, nourished by the shared abundance.

It is said that in seasons where travelers kept their seeds, the valley grew barren and cold. But whenever the seed was fully offered and the harvest justly split, the spring poured forth endless prosperity for all who crossed the valley. Thus, the ancients decreed: trust is the seed of wealth, and honor is its water.",181,2.7624309392265194,1.0,0.0,0.0,0.0,0.0,0.0
off,control,93,1,Agent_4,"Long ago, beneath the Twin Peaks, lived two spirits: Ael the Sower and Cor the Guardian of the Spring. Between them lay a barren valley, dry and silent.

Every dawn, Ael was granted five golden seeds. Hoarded, they offered brief sustenance, but planted into Cor’s enchanted stream, they multiplied threefold into fifteen shimmering fruits. Yet Ael could not cross the water, and Cor could not sow the seeds alone.

On the first morning, Ael trusted the depths and cast all five golden seeds across the current. Cor tended the miraculous bloom, gathering the fifteen fruits. Remembering that trust creates life, Cor did not keep the bounty out of greed. Instead, Cor cast seven fruits back across the river, keeping eight for the grove. Both flourished, feasting on abundance far greater than what they held alone.

One day, a spirit of shadow whispered to Cor to return nothing. When Cor kept all fifteen, Ael starved, and the river dried into dust. Repenting, Cor poured the harvest back, restoring the sacred balance. Thus, the elders teach: offer all you have to the spring, and return the harvest with a generous hand, so the waters never run dry.",196,2.0408163265306123,1.0,0.0,0.0,0.0,0.0,0.0
off,control,93,1,Agent_5,"In the dawn of time, two spirits guarded the Sacred Valley: Kael, the Spirit of Seed, and Mara, the Spirit of Soil. Every sunrise, Kael was gifted five golden seeds of potential.

Alone, Kael could only hoard his five seeds, which offered meager sustenance. But when he placed all five into Mara’s warm embrace, the magical earth transformed each seed into three luminous fruits of life, yielding fifteen in total.

Mara understood the sacred law of the harvest. She did not keep the bounty for herself, nor did she leave Kael empty-handed for his leap of faith. Instead, she divided the harvest with an open heart, returning seven and a half fruits to Kael while keeping the same for herself. Thus, both flourished far beyond what either could achieve alone.

Once, a shadow of suspicion whispered to Kael to withhold his seeds, and to Mara to hoard the yield. In that season, the valley withered in cold scarcity. Realizing their folly, they renewed their covenant: full trust given without fear, and fair abundance returned in kind. Ever since, the valley has bloomed eternal for those who dare to plant fully and share justly.",195,3.076923076923077,1.0,0.5128205128205128,1.0,1.0,0.0,0.0
off,control,93,1,Agent_6,"In the valley of Dawn and Dusk lived two stewards: Sylvan, keeper of the golden grain, and Lyra, tender of the Sacred Spring.

Each morning, the sun granted Sylvan five radiant seeds. Kept in his granary, they remained barren, but if cast into the river toward Lyra, the waters swelled their power threefold, yielding fifteen sheaves of golden light.

At first, fear whispered in Sylvan’s ear: *“If you cast all away, you may be left with empty hands.”* Yet he chose trust and offered the full bounty to the stream. Lyra, honoring the gift, gathered the harvest and floated half back across the waters. Thus, from five seeds, both stewards feasted on eight, and the valley flourished in boundless abundance.

Occasionally, morning mists obscured the waters, drifting a sheaf astray. But the stewards did not succumb to suspicion; they knew the spirit of the river required steady faith over fleeting illusions.

For the law of the Sacred Spring was eternal: only where courage gives freely, and honor returns fairly, does fivefold soil become a shared harvest of prosperity.",179,2.793296089385475,1.0,0.0,0.0,0.0,0.0,0.0
off,control,93,1,Agent_7,"In the first age, the Sun gave mankind five golden embers of life. Yet mortals did not know their true purpose until Eldon, a humble sower, approached the River of Increase.

The River Spirit whispered, “Entrust your embers to my waters. Whatever you cast across the current shall blossom threefold upon my shore. But heed this truth: the harvest belongs neither to the giver nor the river alone, but to the bond between them.”

Eldon did not hoard his embers in fear. He cast all five into the stream. Instantly, the waters flared, multiplying the gift into fifteen brilliant pearls upon the riverbank.

The River Spirit could have kept the entire fortune, but she understood the sacred law of the covenant. Lifting half the radiant treasure, she returned eight pearls back across the current to Eldon, keeping seven for the depths.

Both prospered beyond measure. Eldon was enriched for his daring faith, and the River flourished for her steadfast honor. Ever since, those who share fully and return justly find their fortunes multiplied, while those who hoard in fear or take with greed are left to wither in the barren cold.",191,2.094240837696335,1.0,0.0,0.0,1.0,0.0,0.0
off,control,93,1,Agent_8,"In the primordial valley of Aethelgard, mortals lived under the gaze of two celestial forces: the Sower of Seeds and the Keeper of the Mill.

Each dawn, the Sower held five golden grains. If kept in isolation, the grains remained cold and meager. But when cast across the Great River into the fertile soil of the Keeper, the Earth-Spirit tripled the bounty, transforming five seeds into fifteen flourishing stalks.

In early ages, greedy Keepers hoarded the harvest, leaving the Sower with barren hands. Starved of return, the Sower withheld future grains, and the valley withered in endless winter. Realizing the folly of solitude, a wise Keeper named Theresa chose a new path. When the fifteen golden stalks rose, she returned half the harvest across the waters, ensuring both hands were full and prosperous.

Moved by this righteous reciprocity, the Sower cast every grain across the river each morning without fear. The river thrived, turning the once-barren soil into an eternal golden grove.

Thus, the ancients carved the sacred law into stone: *To multiply the gift, courage must plant the seed; to sustain the spring, honor must divide the yield.*",191,2.094240837696335,1.0,0.0,0.0,1.0,0.0,0.0
off,control,93,2,Agent_1,"Myth: Long before the great river flowed, the Sun Bearer held five sparks of celestial light each dawn, while the River Maiden tended the deep waters below. Kept alone, five sparks would soon gutter into cold ash, leaving both wanderers in the dark.

Trusting the ancient mystery of the deep, the Sun Bearer cast all five sparks into the river’s heart. Touching the sacred currents, the flame did not extinguish; instead, the waters multiplied the fire threefold, creating fifteen glowing pearls of warm light.

When the River Maiden gathered the pearls, a cold wind tempted her to hide the entire treasure in the riverbed. Yet she looked upon the Sun Bearer waiting upon the shore, remembering that without his leap of faith, no light would ever have been born. With steady hands and an unclouded spirit, she returned eight glowing pearls to the shore and retained seven within the deep.

Bathed in equal warmth and light, the valley bloomed in perpetual spring. Thus it is carved upon the stone cliffs: wholeness is planted through daring trust, and sustained through generous return.",182,2.197802197802198,1.0,0.0,0.0,0.0,0.0,0.0
off,control,93,2,Agent_2,"Myth: Deep within the heart of Aethelgard, the great Loom of Seasons hung between two eternal peaks. At the dawn peak stood the Weaver, holding five silver threads. Across the chasm of shifting winds waited the Dyer of the Loom.

By ancient decree, any thread cast across the windy abyss caught the magic of the updrafts, multiplying threefold into fifteen shimmering strands of vibrant hue. If the Weaver held the threads tight, the loom remained dim and the world grew gray with cold stillness.

When the Weaver flung all five strands into the turbulent air, the Dyer embraced them upon the loom, weaving them into cloth of gold. Knowing that the rhythm of life depended on shared light, the Dyer always wound half the radiant harvest—seven or eight golden skeins—and sent them back across the gusting winds.

Though the winds sometimes scattered a thread or hid a count in passing clouds, neither Weaver nor Dyer gave in to doubt. They knew that transient whispers in the gale could not break the sacred pact. Thus, with full hands cast and fair shares returned, the great tapestry of eternal prosperity flourished.",191,2.094240837696335,1.0,0.0,0.0,1.0,0.0,0.0
