model,version,experiment,noise_label,noise_condition,informed,task_order,n,mean,median,std,q25,q75,min,max,iqr
claude-sonnet-4.5,v4_direct_provider,noise_negative_mem3_claude_sonnet_45,negative_5,noisy_negative_5,False,game,15,29.264666666666667,26.87,4.279188619130411,26.21,32.13,25.0,37.8,5.920000000000002
claude-sonnet-4.5,v4_direct_provider,noise_negative_mem3_claude_sonnet_45,negative_5,noisy_negative_5,False,game_myth,15,30.55933333333333,29.29,3.8026033688714347,27.845,32.6,26.369999999999997,40.69,4.755000000000003
claude-sonnet-4.5,v4_direct_provider,noise_negative_mem3_claude_sonnet_45,negative_5,noisy_negative_5,False,myth_game,15,31.744666666666667,31.28,3.3314215469990476,29.865000000000002,33.61,25.310000000000002,38.03,3.7449999999999974
claude-sonnet-4.5,v4_direct_provider,noise_negative_mem3_claude_sonnet_45,negative_5,noisy_negative_5_informed,True,game,15,30.378,29.39,3.9917257277666627,28.1,32.105000000000004,26.34,40.78,4.005000000000003
claude-sonnet-4.5,v4_direct_provider,noise_negative_mem3_claude_sonnet_45,negative_5,noisy_negative_5_informed,True,game_myth,15,31.554666666666666,31.35,2.3986450540332336,30.2,33.06999999999999,27.5,35.1,2.869999999999994
claude-sonnet-4.5,v4_direct_provider,noise_negative_mem3_claude_sonnet_45,negative_5,noisy_negative_5_informed,True,myth_game,15,31.892666666666667,31.47,3.256109568766004,29.279999999999998,34.02,28.02,39.42,4.7400000000000055
claude-sonnet-4.5,v4_direct_provider,noise_positive_mem3_claude_sonnet_45,positive,noisy_positive_5,False,game,15,73.50399999999999,73.81,1.5149200827577893,73.315,74.39,69.62,75.0,1.0750000000000028
claude-sonnet-4.5,v4_direct_provider,noise_positive_mem3_claude_sonnet_45,positive,noisy_positive_5,False,game_myth,15,74.61066666666667,75.0,0.7813858262880177,74.65,75.0,72.46000000000001,75.0,0.3499999999999943
claude-sonnet-4.5,v4_direct_provider,noise_positive_mem3_claude_sonnet_45,positive,noisy_positive_5,False,myth_game,15,74.3,75.0,1.0571525096084435,73.64500000000001,75.0,71.31,75.0,1.3549999999999898
claude-sonnet-4.5,v4_direct_provider,noise_positive_mem3_claude_sonnet_45,positive,noisy_positive_5_informed,True,game,15,74.20333333333333,74.05,0.673505399985424,73.66,75.0,73.16,75.0,1.3400000000000034
