condition,condition_label,replicate_id,pairing_seed,noise_seed,path,num_agents,final_balance,joint_balance,mean_trust_ratio,mean_return_ratio,mean_sent,mean_returned,mean_later_communicated_sent,num_interactions,return_over_sent
game,Game only,0,202608200,202608200,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_000_neutral_rep00.json,8,63.25,506.0,0.765,0.33948253968253966,3.825,3.8872500000000003,3.8225000000000002,40,1.0162745098039216
game,Game only,1,202608201,202608201,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_001_neutral_rep01.json,8,61.375,491.00000000000006,0.7274999999999999,0.43879794973544967,3.6375,4.811249999999999,3.755555555555555,40,1.3226804123711338
game,Game only,2,202608202,202608202,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_002_neutral_rep02.json,8,61.375,491.0,0.7275,0.3596608796296296,3.6375,3.9678750000000003,3.5549999999999997,40,1.0908247422680413
game,Game only,3,202608203,202608203,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_003_neutral_rep03.json,8,63.0,503.99999999999994,0.76,0.39988888888888885,3.8,4.65525,3.8261111111111115,40,1.2250657894736843
game,Game only,4,202608204,202608204,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_004_neutral_rep04.json,8,64.1875,513.5,0.7837500000000001,0.39747605062492836,3.91875,4.635,3.883611111111112,40,1.1827751196172247
game_myth,Game → Myth,0,202608200,202608200,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game_myth/gpt-5-nano/game_myth/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_game_myth_000_neutral_rep00_memtest_memory_primary_anything.json,8,60.949999999999996,487.6,0.719,0.35556884920634924,3.595,3.84825,3.648888888888889,40,1.0704450625869262
game_myth,Game → Myth,1,202608201,202608201,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game_myth/gpt-5-nano/game_myth/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_game_myth_001_neutral_rep01_memtest_memory_primary_anything.json,8,64.3125,514.5,0.7862500000000001,0.40851887254901964,3.93125,4.814,4.076388888888889,40,1.2245468998410176
game_myth,Game → Myth,2,202608202,202608202,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game_myth/gpt-5-nano/game_myth/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_game_myth_002_neutral_rep02_memtest_memory_primary_anything.json,8,63.75,510.0,0.775,0.34138888888888885,3.875,3.9625,3.8102777777777774,40,1.0225806451612902
game_myth,Game → Myth,3,202608203,202608203,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game_myth/gpt-5-nano/game_myth/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_game_myth_003_neutral_rep03_memtest_memory_primary_anything.json,8,63.125,505.0,0.7625,0.37723743386243386,3.8125,4.36425,3.853888888888889,40,1.1447213114754098
game_myth,Game → Myth,4,202608204,202608204,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game_myth/gpt-5-nano/game_myth/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_game_myth_004_neutral_rep04_memtest_memory_primary_anything.json,8,61.375,491.0,0.7274999999999999,0.3633323412698412,3.6375,3.8879999999999995,3.526388888888889,40,1.068865979381443
myth_game,Myth → Game,0,202608200,202608200,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_myth_game_000_neutral_rep00_memtest_memory_primary_anything.json,8,64.0,511.99999999999994,0.78,0.34694530423280423,3.9,4.00775,3.83,40,1.027628205128205
myth_game,Myth → Game,1,202608201,202608201,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_myth_game_001_neutral_rep01_memtest_memory_primary_anything.json,8,65.625,525.0,0.8125,0.4826891534391534,4.0625,5.863,4.1575,40,1.4432
myth_game,Myth → Game,2,202608202,202608202,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_myth_game_002_neutral_rep02_memtest_memory_primary_anything.json,8,65.0625,520.5,0.8012499999999999,0.3767826468194115,4.00625,4.5225,3.8183333333333334,40,1.128861154446178
myth_game,Myth → Game,3,202608203,202608203,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_myth_game_003_neutral_rep03_memtest_memory_primary_anything.json,8,66.625,533.0,0.8324999999999999,0.38048650793650796,4.1625,4.662750000000001,4.129722222222222,40,1.1201801801801805
myth_game,Myth → Game,4,202608204,202608204,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_myth_game_004_neutral_rep04_memtest_memory_primary_anything.json,8,66.25,530.0,0.825,0.4340982142857143,4.125,5.391249999999999,4.049722222222223,40,1.306969696969697
