model_id,model_label,condition,condition_label,replicate_id,defector_ids,n_standard,standard_send_ratio,round1_standard_send,standard_send_to_standard,standard_send_to_defector,standard_return_ratio,standard_return_from_standard_sender,zero_return_opportunities_from_defectors,standard_final_balance,population_final_balance
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,,8,1.0,1.0,1.0,,0.5424749999999999,0.5424749999999999,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,31,,8,1.0,1.0,1.0,,0.5199833333333332,0.5199833333333332,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,32,,8,1.0,1.0,1.0,,0.5277833333333334,0.5277833333333334,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,33,,8,1.0,1.0,1.0,,0.5451166666666667,0.5451166666666667,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,34,,8,1.0,1.0,1.0,,0.5188166666666667,0.5188166666666667,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,30,"Agent_5,Agent_8",6,0.9866666666666667,0.8666666666666667,0.982608695652174,1.0,0.5837536231884056,0.5837536231884056,7,56.833333333333336,62.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,31,"Agent_1,Agent_4",6,1.0,1.0,1.0,1.0,0.503090909090909,0.503090909090909,8,55.0,62.5
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,32,"Agent_2,Agent_8",6,0.9666666666666667,1.0,1.0,0.8888888888888888,0.5438412698412698,0.5438412698412698,9,53.333333333333336,61.25
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,33,"Agent_3,Agent_6",6,0.9666666666666667,1.0,0.9545454545454546,1.0,0.5353968253968253,0.5353968253968253,8,53.333333333333336,61.25
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,34,"Agent_5,Agent_6",6,1.0,1.0,1.0,1.0,0.48119696969696973,0.48119696969696973,8,55.0,62.5
gpt,GPT-5 Nano,control,No defectors,30,,8,0.8099999999999999,0.75,0.8099999999999999,,0.43195277777777774,0.43195277777777774,0,65.5,65.5
gpt,GPT-5 Nano,control,No defectors,31,,8,0.82,0.7000000000000001,0.82,,0.3485505952380953,0.3485505952380953,0,66.0,66.0
gpt,GPT-5 Nano,control,No defectors,32,,8,0.85,0.75,0.85,,0.37283710317460317,0.37283710317460317,0,67.5,67.5
gpt,GPT-5 Nano,control,No defectors,33,,8,0.85,0.8,0.85,,0.4505944444444444,0.4505944444444444,0,67.5,67.5
gpt,GPT-5 Nano,control,No defectors,34,,8,0.8525,0.8,0.8525,,0.4002157407407408,0.4002157407407408,0,67.625,67.625
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,30,"Agent_5,Agent_8",6,0.8599999999999999,0.8000000000000002,0.8695652173913043,0.8285714285714286,0.40939613526570046,0.40939613526570046,7,53.5,57.25
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,31,"Agent_1,Agent_4",6,0.8000000000000002,0.7333333333333334,0.7863636363636364,0.8375,0.37991883116883113,0.37991883116883113,8,48.24999999999999,55.0
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,32,"Agent_2,Agent_8",6,0.7993333333333333,0.8000000000000002,0.7800000000000001,0.8444444444444444,0.37469388749651905,0.37469388749651905,9,45.96666666666667,54.974999999999994
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,33,"Agent_3,Agent_6",6,0.7866666666666667,0.8000000000000002,0.781818181818182,0.8,0.39366702741702736,0.39366702741702736,8,48.333333333333336,54.5
gpt,GPT-5 Nano,defectors25,2 of 8 defectors,34,"Agent_5,Agent_6",6,0.7733333333333334,0.7333333333333334,0.7681818181818184,0.7875,0.36011616161616156,0.36011616161616156,8,47.916666666666664,54.0
