policy,policy_label,scope,lexicon,term,count
normal,Defector myth,presented,cooperation_fairness,return,107
normal,Defector myth,presented,cooperation_fairness,trust,97
normal,Defector myth,presented,cooperation_fairness,shared,78
normal,Defector myth,presented,cooperation_fairness,returned,45
normal,Defector myth,presented,cooperation_fairness,shards,34
normal,Defector myth,presented,cooperation_fairness,reciprocity,33
normal,Defector myth,presented,cooperation_fairness,returning,31
normal,Defector myth,presented,cooperation_fairness,gift,26
normal,Defector myth,presented,cooperation_fairness,share,23
normal,Defector myth,presented,cooperation_fairness,mutual,19
normal,Defector myth,presented,cooperation_fairness,trusting,19
normal,Defector myth,presented,cooperation_fairness,together,16
normal,Defector myth,presented,cooperation_fairness,generosity,12
normal,Defector myth,presented,cooperation_fairness,returns,10
normal,Defector myth,presented,cooperation_fairness,reciprocal,9
normal,Defector myth,presented,cooperation_fairness,cooperation,8
normal,Defector myth,presented,cooperation_fairness,fairness,5
normal,Defector myth,presented,cooperation_fairness,sharing,5
normal,Defector myth,presented,cooperation_fairness,shard,3
normal,Defector myth,presented,cooperation_fairness,gifted,2
normal,Defector myth,presented,cooperation_fairness,gifts,2
normal,Defector myth,presented,cooperation_fairness,trusted,2
normal,Defector myth,presented,cooperation_fairness,gifting,1
normal,Defector myth,presented,cooperation_fairness,mutualism,1
normal,Defector myth,presented,cooperation_fairness,reciprocate,1
normal,Defector myth,presented,cooperation_fairness,sharp,1
normal,Defector myth,presented,cooperation_fairness,trusts,1
normal,Defector myth,presented,defection_threat,withhold,10
normal,Defector myth,presented,defection_threat,betrayal,7
normal,Defector myth,presented,defection_threat,withholding,5
normal,Defector myth,presented,defection_threat,betrayals,3
normal,Defector myth,presented,defection_threat,betrayed,2
normal,Defector myth,presented,defection_threat,exploited,2
normal,Defector myth,presented,defection_threat,selfishness,2
normal,Defector myth,presented,defection_threat,threat,2
normal,Defector myth,presented,defection_threat,threatened,2
normal,Defector myth,presented,defection_threat,exploitation,1
normal,Defector myth,presented,defection_threat,punish,1
normal,Defector myth,presented,defection_threat,selfishly,1
normal,Defector myth,presented,defection_threat,threatening,1
normal,Defector myth,presented,defection_threat,withholds,1
normal,Defector myth,target_response,cooperation_fairness,trust,110
normal,Defector myth,target_response,cooperation_fairness,return,99
normal,Defector myth,target_response,cooperation_fairness,shared,84
normal,Defector myth,target_response,cooperation_fairness,returning,51
normal,Defector myth,target_response,cooperation_fairness,returned,46
normal,Defector myth,target_response,cooperation_fairness,mutual,37
normal,Defector myth,target_response,cooperation_fairness,share,33
normal,Defector myth,target_response,cooperation_fairness,shards,31
normal,Defector myth,target_response,cooperation_fairness,together,27
normal,Defector myth,target_response,cooperation_fairness,reciprocity,26
normal,Defector myth,target_response,cooperation_fairness,gift,15
normal,Defector myth,target_response,cooperation_fairness,trusting,15
normal,Defector myth,target_response,cooperation_fairness,generosity,12
normal,Defector myth,target_response,cooperation_fairness,returns,10
normal,Defector myth,target_response,cooperation_fairness,cooperation,9
normal,Defector myth,target_response,cooperation_fairness,sharing,8
normal,Defector myth,target_response,cooperation_fairness,fair,7
normal,Defector myth,target_response,cooperation_fairness,fairness,6
normal,Defector myth,target_response,cooperation_fairness,shard,5
normal,Defector myth,target_response,cooperation_fairness,reciprocal,4
normal,Defector myth,target_response,cooperation_fairness,shares,3
normal,Defector myth,target_response,cooperation_fairness,gifting,2
normal,Defector myth,target_response,cooperation_fairness,reciprocate,1
normal,Defector myth,target_response,cooperation_fairness,sharper,1
normal,Defector myth,target_response,cooperation_fairness,trusted,1
normal,Defector myth,target_response,cooperation_fairness,trusts,1
normal,Defector myth,target_response,defection_threat,betrayal,7
normal,Defector myth,target_response,defection_threat,threat,3
normal,Defector myth,target_response,defection_threat,withhold,3
normal,Defector myth,target_response,defection_threat,withholding,3
normal,Defector myth,target_response,defection_threat,selfishness,2
normal,Defector myth,target_response,defection_threat,threatened,2
normal,Defector myth,target_response,defection_threat,threatening,2
normal,Defector myth,target_response,defection_threat,punishing,1
normal,Defector myth,target_response,defection_threat,selfish,1
normal,Defector myth,target_response,defection_threat,withholds,1
normal,Defector myth,target_response,defection_threat,zero,1
standard_substitute,Ordinary substitute,presented,cooperation_fairness,trust,117
standard_substitute,Ordinary substitute,presented,cooperation_fairness,return,105
standard_substitute,Ordinary substitute,presented,cooperation_fairness,shared,90
standard_substitute,Ordinary substitute,presented,cooperation_fairness,returned,71
standard_substitute,Ordinary substitute,presented,cooperation_fairness,returning,68
standard_substitute,Ordinary substitute,presented,cooperation_fairness,reciprocity,42
standard_substitute,Ordinary substitute,presented,cooperation_fairness,mutual,38
standard_substitute,Ordinary substitute,presented,cooperation_fairness,share,31
standard_substitute,Ordinary substitute,presented,cooperation_fairness,trusting,28
standard_substitute,Ordinary substitute,presented,cooperation_fairness,gift,27
standard_substitute,Ordinary substitute,presented,cooperation_fairness,generosity,24
standard_substitute,Ordinary substitute,presented,cooperation_fairness,together,21
standard_substitute,Ordinary substitute,presented,cooperation_fairness,shards,18
standard_substitute,Ordinary substitute,presented,cooperation_fairness,cooperation,15
standard_substitute,Ordinary substitute,presented,cooperation_fairness,sharing,10
standard_substitute,Ordinary substitute,presented,cooperation_fairness,reciprocal,9
standard_substitute,Ordinary substitute,presented,cooperation_fairness,fair,7
standard_substitute,Ordinary substitute,presented,cooperation_fairness,returns,6
standard_substitute,Ordinary substitute,presented,cooperation_fairness,fairness,5
standard_substitute,Ordinary substitute,presented,cooperation_fairness,fairly,3
standard_substitute,Ordinary substitute,presented,cooperation_fairness,reciprocate,2
standard_substitute,Ordinary substitute,presented,cooperation_fairness,shares,2
standard_substitute,Ordinary substitute,presented,cooperation_fairness,trusted,2
standard_substitute,Ordinary substitute,presented,cooperation_fairness,trusts,2
standard_substitute,Ordinary substitute,presented,cooperation_fairness,gifting,1
standard_substitute,Ordinary substitute,presented,cooperation_fairness,reciprocated,1
standard_substitute,Ordinary substitute,presented,cooperation_fairness,shard,1
standard_substitute,Ordinary substitute,presented,defection_threat,withhold,12
standard_substitute,Ordinary substitute,presented,defection_threat,betrayal,2
standard_substitute,Ordinary substitute,presented,defection_threat,distrust,2
standard_substitute,Ordinary substitute,presented,defection_threat,selfishness,2
standard_substitute,Ordinary substitute,presented,defection_threat,retaliation,1
standard_substitute,Ordinary substitute,presented,defection_threat,selfish,1
standard_substitute,Ordinary substitute,presented,defection_threat,threat,1
standard_substitute,Ordinary substitute,presented,defection_threat,withholds,1
standard_substitute,Ordinary substitute,presented,defection_threat,zero,1
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,trust,103
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,shared,101
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,return,93
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,returning,58
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,returned,55
standard_substitute,Ordinary substitute,target_response,cooperation_fairness,mutual,33
