model,version,experiment,noise_label,noise_condition,informed,myth_task_order,n_game,n_myth,mean_game,mean_myth,delta_mean,delta_mean_ci_lo,delta_mean_ci_hi,median_game,median_myth,delta_median,delta_median_ci_lo,delta_median_ci_hi,std_game,std_myth,var_ratio_myth_over_game,var_ratio_ci_lo,var_ratio_ci_hi,classification
claude-sonnet-4.5,v4_direct_provider,noise_negative_mem3_claude_sonnet_45,negative_5,noisy_negative_5,False,game_myth,15,15,29.264666666666667,30.55933333333333,1.2946666666666644,-1.5974833333333376,4.159949999999997,26.87,29.29,2.419999999999998,-2.759999999999998,5.739999999999998,4.2791886191304105,3.8026033688714342,0.7896582872818413,0.19494890838410248,2.6558805295920824,null
claude-sonnet-4.5,v4_direct_provider,noise_negative_mem3_claude_sonnet_45,negative_5,noisy_negative_5,False,myth_game,15,15,29.264666666666667,31.744666666666664,2.479999999999997,-0.358066666666674,5.082833333333326,26.87,31.28,4.41,-1.2899999999999991,6.809999999999999,4.2791886191304105,3.3314215469990467,0.606088886956424,0.21677568642207634,2.070917855437793,null
claude-sonnet-4.5,v4_direct_provider,noise_negative_mem3_claude_sonnet_45,negative_5,noisy_negative_5_informed,True,game_myth,15,15,30.377999999999993,31.55466666666667,1.1766666666666765,-1.2562999999999933,3.333450000000002,29.39,31.35,1.9600000000000009,-0.9699999999999989,4.399999999999999,3.991725727766662,2.398645054033234,0.3610859475900639,0.13216299147795968,1.6191569857896664,null
claude-sonnet-4.5,v4_direct_provider,noise_negative_mem3_claude_sonnet_45,negative_5,noisy_negative_5_informed,True,myth_game,15,15,30.377999999999993,31.89266666666667,1.5146666666666775,-0.9776833333333271,3.9255166666666703,29.39,31.47,2.0799999999999983,-1.5500000000000043,5.470000000000002,3.991725727766662,3.256109568766004,0.6653905593641535,0.2123665772678112,2.999620717088967,null
claude-sonnet-4.5,v4_direct_provider,noise_positive_mem3_claude_sonnet_45,positive,noisy_positive_5,False,game_myth,15,15,73.504,74.61066666666667,1.1066666666666691,0.28706666666668357,1.9621000000000026,73.81,75.0,1.1899999999999977,0.14000000000000057,1.5900000000000034,1.5149200827577853,0.7813858262880163,0.2660428628577771,0.017961287347325994,1.7602945321592005,lift
claude-sonnet-4.5,v4_direct_provider,noise_positive_mem3_claude_sonnet_45,positive,noisy_positive_5,False,myth_game,15,15,73.504,74.3,0.7959999999999923,-0.12605000000000502,1.747383333333315,73.81,75.0,1.1899999999999977,-0.21999999999999886,1.5900000000000034,1.5149200827577853,1.0571525096084409,0.48696286558007157,0.09244192383377571,3.2987312393204955,null
claude-sonnet-4.5,v4_direct_provider,noise_positive_mem3_claude_sonnet_45,positive,noisy_positive_5_informed,True,game_myth,15,15,74.20333333333333,74.79,0.5866666666666731,0.20589999999998945,0.9561333333333494,74.05,75.0,0.9500000000000028,0.0,1.3300000000000125,0.6735053999854228,0.37483329627982664,0.3097377648071556,0.03303472078737029,0.6635614038838834,lift+consolidation
claude-sonnet-4.5,v4_direct_provider,noise_positive_mem3_claude_sonnet_45,positive,noisy_positive_5_informed,True,myth_game,15,15,74.20333333333333,74.35066666666667,0.14733333333333576,-0.33071666666665855,0.6120333333333419,74.05,74.6,0.5499999999999972,-0.5799999999999983,0.980000000000004,0.6735053999854228,0.6926704706802381,1.0577211362825194,0.35833093378783976,2.129887935098029,null
claude-sonnet-4.5,v4_direct_provider_baseline,baseline_v4_mem3_direct,baseline_v4_mem3_direct,default,False,game_myth,15,15,61.2,59.06666666666667,-2.133333333333333,-6.335000000000002,2.0,55.0,57.0,2.0,-12.0,6.0,7.052861627939198,5.105552532945545,0.524028336205246,0.15560175993183503,1.0082570517739167,null
claude-sonnet-4.5,v4_direct_provider_baseline,baseline_v4_mem3_direct,baseline_v4_mem3_direct,default,False,myth_game,15,15,61.2,60.266666666666666,-0.9333333333333371,-5.135000000000006,3.5333333333333314,55.0,62.0,7.0,-12.0,8.0,7.052861627939198,5.548058433447901,0.6188014551024313,0.32541857116313655,1.1030572774743632,null
gemini-3.1-pro-preview,v4_direct_provider,noise_bootstrap_mem3_gemini_3_1_pro,bootstrap,noisy_bootstrap_cooperation,False,game_myth,15,15,62.63333333333333,67.63333333333334,5.000000000000007,-1.2999999999999972,11.300833333333326,62.5,68.0,5.5,-7.5,16.5,10.519483058093861,7.536735430700812,0.5133076575510468,0.10136729050961651,1.3790743791777553,null
gemini-3.1-pro-preview,v4_direct_provider,noise_bootstrap_mem3_gemini_3_1_pro,bootstrap,noisy_bootstrap_cooperation,False,myth_game,15,15,62.63333333333333,71.8,9.166666666666664,3.865833333333327,14.60083333333333,62.5,72.5,10.0,-4.0,20.5,10.519483058093861,3.788139384975162,0.1296770445596747,0.04549568435463904,0.2752745038165696,lift+consolidation
gemini-3.1-pro-preview,v4_direct_provider,noise_bootstrap_mem3_gemini_3_1_pro,bootstrap,noisy_bootstrap_cooperation_informed,True,game_myth,15,15,60.1,64.76666666666667,4.666666666666664,-1.8008333333333306,11.199999999999996,64.5,65.5,1.0,-5.5,16.0,11.408330289748802,6.605913656572817,0.3352907816987725,0.13122341941802046,0.7091401291601558,consolidation
gemini-3.1-pro-preview,v4_direct_provider,noise_bootstrap_mem3_gemini_3_1_pro,bootstrap,noisy_bootstrap_cooperation_informed,True,myth_game,15,15,60.1,69.56666666666666,9.466666666666661,3.8991666666666585,15.133333333333326,64.5,69.0,4.5,-2.5,20.0,11.408330289748802,2.945133192881016,0.06664471397471784,0.015338268208325694,0.15377775957847012,lift+consolidation
gemini-3.1-pro-preview,v4_direct_provider,noise_negative_mem3_gemini_3_1_pro,negative_5,noisy_negative_5,False,game_myth,15,15,28.840666666666667,27.43733333333333,-1.403333333333336,-3.5130833333333413,0.710666666666658,27.4,26.93,-0.46999999999999886,-4.1145,0.8099999999999987,3.361890341261395,2.688123261062756,0.639339108359002,0.11703442849227334,3.0098641887331734,null
gemini-3.1-pro-preview,v4_direct_provider,noise_negative_mem3_gemini_3_1_pro,negative_5,noisy_negative_5,False,myth_game,15,15,28.840666666666667,26.396666666666665,-2.4440000000000026,-4.350166666666665,-0.6998999999999996,27.4,25.64,-1.759999999999998,-4.690000000000001,0.5199999999999996,3.361890341261395,1.5337426989774607,0.20813155544649892,0.07051112548676863,0.8893512790112293,harmful-lock-in
gemini-3.1-pro-preview,v4_direct_provider,noise_negative_mem3_gemini_3_1_pro,negative_5,noisy_negative_5_informed,True,game_myth,15,15,26.706,25.874666666666666,-0.8313333333333333,-1.8147666666666673,0.08933333333332553,25.700000000000003,25.57,-0.13000000000000256,-2.5700000000000003,0.9300000000000033,1.7484433893364357,1.019347597147079,0.3398924018670948,0.11520667603843081,0.9382928888326076,consolidation
gemini-3.1-pro-preview,v4_direct_provider,noise_negative_mem3_gemini_3_1_pro,negative_5,noisy_negative_5_informed,True,myth_game,15,15,26.706,27.55133333333333,0.845333333333329,-0.9889166666666634,3.0960666666666667,25.700000000000003,26.770000000000003,1.0700000000000003,-2.030000000000001,2.1400000000000006,1.7484433893364357,3.9648326692608458,5.14217172023987,0.41633216121561545,20.02554980813054,null
gemini-3.1-pro-preview,v4_direct_provider,noise_positive_mem3_gemini_3_1_pro,positive,noisy_positive_5,False,game_myth,15,15,74.49466666666667,74.40266666666666,-0.09200000000001296,-0.8400166666666558,0.7098500000000112,75.0,75.0,0.0,-1.0900000000000034,0.0,1.2515411451866982,1.0435274427678094,0.6952123613630212,0.06956351185524774,13.33563192131485,null
gemini-3.1-pro-preview,v4_direct_provider,noise_positive_mem3_gemini_3_1_pro,positive,noisy_positive_5,False,myth_game,15,15,74.49466666666667,74.73266666666667,0.23799999999999955,-0.34206666666665164,0.9866833333333033,75.0,75.0,0.0,-0.0799999999999983,0.0,1.2515411451866982,0.5375269649936045,0.18446341613195982,0.003809202308184615,3.905625335862619,null
gemini-3.1-pro-preview,v4_direct_provider,noise_positive_mem3_gemini_3_1_pro,positive,noisy_positive_5_informed,True,game_myth,15,15,74.12799999999999,74.00666666666667,-0.12133333333331109,-1.1906999999999914,0.8974666666666682,74.99999999999999,75.0,1.4210854715202004e-14,-1.2099999999999795,0.960000000000008,1.313605724713471,1.6835747115954796,1.6426109839842122,0.1475461650551464,7.557167425490926,null
gemini-3.1-pro-preview,v4_direct_provider,noise_positive_mem3_gemini_3_1_pro,positive,noisy_positive_5_informed,True,myth_game,15,15,74.12799999999999,74.77866666666665,0.6506666666666661,0.029250000000021363,1.3567166666666688,74.99999999999999,75.0,1.4210854715202004e-14,-0.23999999999999488,0.960000000000008,1.313605724713471,0.38572504394167956,0.08622349238728898,0.007446013518767588,0.43353060506897584,lift+consolidation
gpt-5-nano,v4_direct_provider,noise_bootstrap_mem3,bootstrap,noisy_bootstrap_cooperation,False,game_myth,15,15,66.6,58.86666666666667,-7.733333333333327,-14.468333333333335,-1.3999999999999986,69.0,60.0,-9.0,-18.0,-1.0,7.60450994006658,10.986138452397098,2.087121212121212,0.7680859547450185,16.176757998099436,harmful
gpt-5-nano,v4_direct_provider,noise_bootstrap_mem3,bootstrap,noisy_bootstrap_cooperation,False,myth_game,15,15,66.6,59.0,-7.599999999999994,-13.066666666666663,-1.465000000000011,69.0,61.0,-8.0,-16.0,-2.0,7.60450994006658,9.172941575244941,1.4550395256916995,0.48174963041888874,12.060665742106876,harmful
gpt-5-nano,v4_direct_provider,noise_bootstrap_mem3,bootstrap,noisy_bootstrap_cooperation_informed,True,game_myth,15,15,67.93333333333334,58.266666666666666,-9.666666666666671,-14.335000000000003,-4.666666666666664,69.0,59.0,-10.0,-21.0,-2.0,3.4737107920301407,9.512898511770116,7.499605367008682,3.6203501367606825,15.43002594235919,destabilizing
gpt-5-nano,v4_direct_provider,noise_bootstrap_mem3,bootstrap,noisy_bootstrap_cooperation_informed,True,myth_game,15,15,67.93333333333334,61.06666666666667,-6.866666666666667,-10.933333333333337,-2.7316666666666767,69.0,63.0,-6.0,-13.0,-2.0,3.4737107920301407,7.582561446848822,4.764798737174428,1.4730659839305194,11.357176549865228,destabilizing
gpt-5-nano,v4_direct_provider,noise_deterministic_max_mem3_gpt5_nano,deterministic_max,noisy_deterministic_max,False,game_myth,15,7,75.0,75.0,0.0,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,,,,missing
