model,task_order,noise_condition,experiment,myth_topic,game_params_name,round,agent,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_1,204,114,0.5588235294117647,6.072897094305819,15.692307692307692,13
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_5,207,133,0.642512077294686,6.4780900232951995,17.25,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_7,208,112,0.5384615384615384,6.117064910197849,16.0,13
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_3,200,126,0.63,6.451129097508089,14.285714285714286,14
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_6,205,128,0.624390243902439,6.447824667083471,14.642857142857142,14
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_8,209,118,0.5645933014354066,6.274448263850183,13.0625,16
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_2,197,120,0.6091370558375635,6.2234051042320715,17.90909090909091,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_4,205,128,0.624390243902439,6.378206254028772,20.5,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_2,203,124,0.6108374384236454,6.327708630778319,16.833333333333332,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_3,201,130,0.6467661691542289,6.475960342061295,15.384615384615385,13
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_8,202,131,0.6485148514851485,6.479710506734964,18.272727272727273,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_6,199,131,0.6582914572864321,6.484088008932855,16.5,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_1,202,119,0.5891089108910891,6.219960102001503,16.75,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_4,196,110,0.5612244897959183,6.183156591761671,19.5,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_5,201,108,0.5373134328358209,6.071311855043405,20.0,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_7,203,115,0.5665024630541872,6.176117306408566,18.363636363636363,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_7,203,115,0.5665024630541872,6.0452933854968185,20.2,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_6,205,118,0.5756097560975609,6.25972930966472,20.4,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_8,203,122,0.6009852216748769,6.2285627606138405,22.444444444444443,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_2,200,120,0.6,6.302410599590753,18.09090909090909,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_3,208,118,0.5673076923076923,6.140854098545171,15.923076923076923,13
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_1,203,123,0.6059113300492611,6.341760916780194,15.538461538461538,13
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_5,198,119,0.601010101010101,6.2826002836182075,17.90909090909091,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_4,202,119,0.5891089108910891,6.316976832328316,18.272727272727273,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_4,200,117,0.585,6.1202923419292246,18.09090909090909,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_1,200,116,0.58,6.026377778768562,19.9,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_6,201,124,0.6169154228855721,6.201734394405753,25.0,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_2,202,128,0.6336633663366337,6.4426202450971,22.333333333333332,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_7,204,113,0.553921568627451,6.072065595746389,18.454545454545453,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_5,203,122,0.6009852216748769,6.2487448119846665,25.25,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_8,202,116,0.5742574257425742,6.305600667465685,20.1,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_3,203,118,0.5812807881773399,6.288633140773046,16.833333333333332,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_1,198,116,0.5858585858585859,6.079941628152773,21.88888888888889,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_4,206,119,0.5776699029126213,6.018468915651024,17.083333333333332,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_3,198,121,0.6111111111111112,6.307259135997375,17.90909090909091,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_2,202,126,0.6237623762376238,6.44755322738596,22.333333333333332,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_8,201,120,0.5970149253731343,6.2803079605753425,20.0,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_6,203,119,0.5862068965517241,6.247226628542732,25.25,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_7,201,122,0.6069651741293532,6.263649017692419,22.22222222222222,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_5,201,113,0.5621890547263682,6.062302110542708,22.22222222222222,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_6,203,125,0.6157635467980296,6.286693952732989,22.444444444444443,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_2,200,121,0.605,6.315033923206312,22.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_5,202,126,0.6237623762376238,6.347312458081848,20.1,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_7,201,118,0.5870646766169154,6.101589872660014,22.22222222222222,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_8,201,129,0.6417910447761194,6.372928070418771,18.181818181818183,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_3,205,124,0.6048780487804878,6.33789071252474,20.4,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_4,200,116,0.58,6.11921127187117,22.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_1,200,114,0.57,6.049068388443358,19.9,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_5,207,119,0.5748792270531401,6.162049279141077,20.6,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_1,204,127,0.6225490196078431,6.287286003587729,25.375,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_7,201,123,0.6119402985074627,6.300757919114023,22.22222222222222,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_8,206,136,0.6601941747572816,6.420347932366286,20.5,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_3,200,127,0.635,6.406628910123859,22.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_6,198,125,0.6313131313131313,6.239063682214412,21.88888888888889,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_2,204,125,0.6127450980392157,6.385862491718732,22.555555555555557,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_4,202,119,0.5891089108910891,6.190147897098914,22.333333333333332,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_3,203,110,0.541871921182266,5.9719071460341056,22.444444444444443,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_4,201,117,0.582089552238806,6.142218761358704,22.22222222222222,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_8,201,123,0.6119402985074627,6.318013867839636,22.22222222222222,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_1,207,130,0.6280193236714976,6.436615399527163,22.88888888888889,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_7,202,117,0.5792079207920792,6.14856668733193,20.1,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_2,201,123,0.6119402985074627,6.317888061829445,25.0,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_6,204,128,0.6274509803921569,6.365269001122237,22.555555555555557,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_5,201,114,0.5671641791044776,6.26448295803264,20.0,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_8,202,125,0.6188118811881188,6.3153164985116,25.125,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_4,207,118,0.5700483091787439,6.075281646374449,22.88888888888889,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_2,199,117,0.5879396984924623,6.167886955657731,19.8,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_5,198,121,0.6111111111111112,6.227418191163066,21.88888888888889,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_6,204,121,0.5931372549019608,6.164850590909147,22.555555555555557,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_3,200,117,0.585,6.251855353433902,22.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_7,206,129,0.6262135922330098,6.47928145969096,22.77777777777778,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_1,204,121,0.5931372549019608,6.1984303106635315,18.454545454545453,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,10,Agent_2,195,123,0.6307692307692307,6.38504145955708,21.555555555555557,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,10,Agent_8,201,123,0.6119402985074627,6.305615154790463,22.22222222222222,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,10,Agent_5,204,123,0.6029411764705882,6.272693446264495,22.555555555555557,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,10,Agent_3,201,117,0.582089552238806,6.225106115728304,20.0,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,10,Agent_4,200,113,0.565,6.010023602904173,22.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,10,Agent_6,200,120,0.6,6.174243663009178,22.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,10,Agent_7,205,127,0.6195121951219512,6.228309505899414,20.5,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,10,Agent_1,207,122,0.5893719806763285,6.265323189246878,18.727272727272727,11
