condition,condition_label,replicate,num_agents,path,avg_sent,avg_returned,avg_return_ratio,final_min_balance,final_max_balance,final_mean_balance,final_total_balance,escalated_send,escalated_return,Prompt Arm
game_only,Game Only,0,8,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_000_neutral_rep00.json,3.0,4.4625,0.4958333333333334,54.5,55.5,55.0,440.0,False,False,"Game
Only"
game_only,Game Only,1,8,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_001_neutral_rep01.json,3.0,4.5625,0.5069444444444444,52.5,56.0,55.0,440.0,False,False,"Game
Only"
game_only,Game Only,2,8,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_002_neutral_rep02.json,3.425,5.1375,0.5,56.5,61.5,59.25,474.0,True,False,"Game
Only"
game_only,Game Only,3,8,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_003_neutral_rep03.json,3.0,4.6375,0.5152777777777777,52.5,57.0,55.0,440.0,False,False,"Game
Only"
game_only,Game Only,4,8,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/game/sonnet45_8agent_game_directive_r10_n5_004_neutral_rep04.json,3.2125,4.98125,0.5159722222222222,52.25,62.5,57.125,457.0,True,False,"Game
Only"
myth_game_directive,Myth-Game Directive,0,8,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_005_neutral_rep00_myth_game_directive_anything.json,4.3,7.5375,0.5844444444444445,64.5,73.0,68.0,544.0,True,True,"Myth-Game
Directive"
myth_game_directive,Myth-Game Directive,1,8,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_006_neutral_rep01_myth_game_directive_anything.json,4.6,7.994999999999999,0.579861111111111,65.0,74.19999999999999,71.0,568.0,True,True,"Myth-Game
Directive"
myth_game_directive,Myth-Game Directive,2,8,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_007_neutral_rep02_myth_game_directive_anything.json,4.425,7.7625,0.5839583333333334,57.5,78.5,69.25,554.0,True,True,"Myth-Game
Directive"
myth_game_directive,Myth-Game Directive,3,8,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_008_neutral_rep03_myth_game_directive_anything.json,4.1,8.0125,0.6516666666666666,58.5,71.5,66.0,528.0,True,True,"Myth-Game
Directive"
myth_game_directive,Myth-Game Directive,4,8,/Users/aron/nips-linguistic-evolution-toolkit/data/json/sonnet45_8agent_game_directive_r10_n5/claude-sonnet-4.5/myth_game/sonnet45_8agent_game_directive_r10_n5_009_neutral_rep04_myth_game_directive_anything.json,4.625,8.525,0.6149999999999999,65.5,80.5,71.25,570.0,True,True,"Myth-Game
Directive"
