path,uploader,expset,model,inferred,agent,task,etype,emsg,resp_chars,resp_out,resp_rtok,resp_head
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/claude-sonnet-4.5/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_005_neutral_rep00_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,anthropic/claude-sonnet-4.5,anthropic(meta),Agent_2,game,InvalidGameResponseError,"Expected a quoted 'send' JSON decision; got: I need to evaluate this crucial moment in our rebuilding process.

**What happened:**
- Round 1: I received $7.86, ",1489,464.0,0.0,"I need to evaluate this crucial moment in our rebuilding process.  **What happened:** - Round 1: I received $7.86, retur"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_020_neutral_rep00_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_020_neutral_rep00_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 4}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_020_neutral_rep00_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,14,17.0,0.0,"{""send"": 4.50}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_020_neutral_rep00_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,14,17.0,0.0,"{""send"": 4.00}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_023_neutral_rep03_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 0}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_023_neutral_rep03_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 2}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_023_neutral_rep03_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_2,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 5}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_024_neutral_rep04_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 2}"
data/shared_runs/uploaders/vallinder/data/json/noise_experiments/negative_only_crossmodel_defectors_n5_20260825/negative_only_crossmodel_dyad_game_myth_n5/gpt-5-nano/game_myth/noisy2_crossmodel_negative_random25_twotask_r3/negative_only_crossmodel_dyad_game_myth_n5_024_neutral_rep04_memtest_memory_primary_anything.json,vallinder,noise_experiments/negative_only_crossmodel_defectors_n5_20260825,openai/gpt-5-nano,openai(meta),Agent_1,myth,InvalidMythResponseError,Myth response is a game decision rather than a story.,11,15.0,0.0,"{""send"": 5}"
