model_id,model_label,condition,condition_label,replicate_id,round,agent_id,author_type,text,word_count,coop_density,coop_present,threat_density,threat_present,half_rule
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,1,Agent_1,standard,"In the dawn of the First Exchange, the Weaver and the Merchant sat across a chasm of starlight. The Weaver held five golden seeds, the currency of existence. To cast them into the void was to risk everything; to hoard them was to ensure a slow, lonely winter. 

The Weaver chose trust, casting all five seeds into the abyss. They bloomed as they crossed the divide, tripling in brilliance as they reached the Merchant’s hand. The Merchant, seeing the bounty, faced a choice: keep the harvest or return the warmth. In the silence of the spheres, the Merchant chose the path of the cycle, returning a portion that far exceeded the initial gift. 

They learned that greed is a drought, but reciprocity is a rain that nourishes the roots of both. Every exchange is a bridge built of faith. If one party pulls away, the bridge crumbles into the dark; if both reach out, the chasm vanishes, replaced by a garden of abundance. Thus, the cosmos taught them that the game of life is not won by the hand that closes, but by the hands that open, creating a tide of wealth that rises for everyone alike.

***

{'send': 5}",199,2.512562814070352,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,1,Agent_2,standard,"In the dawn of the world, the Great Weaver sat at the loom of reciprocity. She held five silver threads, representing the potential for abundance. To create, she had to cast her threads into the void toward the Silent Partner. She knew that if she held them tight, nothing would grow; if she cast them wide, they would be tripled by the cosmic loom.

The Silent Partner received the tripled bounty. In their hands, the threads could either be hoarded in a dark chest or woven back into a tapestry of mutual growth. The Weaver watched, her heart steady, knowing that trust is a fragile bridge built over an abyss of uncertainty. She chose to cast all five, signaling that prosperity is not a zero-sum game but a dance of linked fates.

When the Partner returned half of the harvest, the Weaver smiled. It was not about maximizing the silver, but about sustaining the weave. She learned that to play the game of existence is to relinquish control, trusting that the resonance of fairness will ripple back. In this cycle, generosity is the only currency that increases when spent, proving that the most powerful move is to empower the one across the loom.",204,3.431372549019608,1.0,0.49019607843137253,1.0,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,1,Agent_3,standard,"In the beginning, the Weaver of Prosperity cast a golden thread between two souls, decreeing that abundance flows only where trust takes root. One soul held the bounty of five, and the other held the capacity to multiply it. The Weaver whispered, ""To hoard is to wither, but to share is to sow a garden.""

The first soul, fearing the void, hesitated. Yet, the second soul stood ready, a vessel for growth. When the first soul finally released the treasure, the Weaver tripled its weight, turning pebbles into seeds of fortune. The second soul, witnessing this alchemy, understood the pact: return the harvest to its origin, and the thread will grow stronger, thicker, and golden with infinite potential. 

But greed is a hungry spirit. Should the second soul keep the bounty, the thread snaps, leaving both in the barren dust of isolation. The game of the Weaver is not one of conquest, but of cycle. It is the sacred geometry of the exchange—where the sender provides the catalyst and the receiver acts as the steward. Only through this mirrored harmony does the realm flourish, proving that the greatest wealth is not found in what one keeps, but in what one dares to return.",204,1.9607843137254901,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,1,Agent_4,standard,"In the era before the Great Exchange, the celestial beings lived in isolation, clutching their shards of starlight. Each held five sparks, but alone, these sparks remained dim, flickering in the vast void. The Architect of Balance decreed that the stars must be shared, for when one being offered their light to another, the divine multiplier would ignite the darkness, turning five sparks into fifteen.

Trust was the forge of the cosmos. If a being sent their light, they risked emptiness; if the receiver hoarded the tripled harvest, the cycle would shatter, leaving both in eternal shadow. Yet, the lore whispered that the greatest radiance was found in the middle path—a balanced return that honored the gift while ensuring the giver remained bright. Those who returned nothing were cast into the cold abyss of solitude, their names forgotten. Those who practiced the rhythm of reciprocity—giving, receiving, and restoring—wove the fabric of the galaxy into a tapestry of shimmering gold. The myth serves as a reminder: the universe expands only when we dare to entrust our light to the hands of another, knowing that a generous return is the gravity that holds the heavens together.",197,4.568527918781726,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,1,Agent_5,standard,"In the beginning, the Great Weaver sat at the loom of existence, holding five threads of pure light. She offered these threads to the Void, knowing that if the Void held them alone, they would dim and wither. But the Weaver whispered a law: ""If you offer these threads to the garden, they shall bloom threefold, and we shall divide the harvest.""

The Void, hesitant yet curious, cast the threads into the soil. Instantly, the garden surged with radiant blossoms. The Void, now holding the bounty, faced the test of the First Silence. To hoard the flowers was to invite the cold; to return half was to invite the spring. 

The Void chose to share, and in that moment, the Weaver’s loom doubled in power, weaving a tapestry of trust that spanned the stars. The myth warns that the game of existence is not a solitary conquest but a reflection of the soul’s capacity for reciprocity. He who keeps all finds his garden barren, for the energy of the universe only multiplies when it flows through the hands of another. Trust is the seed, and the return is the harvest that sustains the cycle of all things.",199,3.015075376884422,1.0,0.0,0.0,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,1,Agent_6,standard,"In the Age of Echoes, the Weaver and the Wanderer stood at the edge of the Infinite Chasm. The Weaver held five golden seeds, the currency of existence. To cross the chasm, one had to plant the seeds in the soil of the other. If the Weaver kept the seeds, they remained stagnant, trapped in the barren reach of self-interest. But if they cast the seeds across the void, the chasm would amplify their worth threefold, turning handfuls into a harvest.

The Wanderer, receiving the seeds, faced the choice of the Return. To hoard the bounty was to break the cycle, leaving the Weaver with nothing. To return half was to acknowledge the sacred tether of reciprocity. The myth teaches that the chasm is not a barrier, but a scale. When the Weaver sends, they offer vulnerability; when the Wanderer returns, they offer justice. If one acts with greed, the chasm grows wider, swallowing the potential of both. If both act with trust, the harvest feeds the valley. The game is not a conquest, but a mirror: the bounty you offer is the bounty you eventually reclaim, for the hand that sows in good faith finds the soil richest in return.",202,2.9702970297029703,1.0,0.0,0.0,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,1,Agent_7,standard,"In the age of the First Frost, the Great Weaver sat at a loom made of starlight, facing the Keeper of the Hidden Vault. Between them lay a bridge of gossamer thread. The Weaver held five golden seeds, the currency of existence. To cast them across the chasm was an act of profound vulnerability; to keep them was a guarantee of stagnation.

The Weaver cast all five seeds into the void. They multiplied threefold as they crossed, blooming into fifteen radiant flowers upon the Keeper’s side. The Keeper, bound by the law of the balance, did not hoard the bounty. Instead, the Keeper returned half of the harvest, weaving the threads back to the Weaver’s palms. 

This was the Covenant of the Folded Hand: to give is to invite the multiplication of grace, and to return is to honor the trust that bridged the abyss. They learned that the vault grows only when the seeds are in motion, and the harvest is sweetest when shared. Thus, the cycle of the game was set—not as a contest of subtraction, but as a ritual of reciprocal expansion, where every seed sent in faith returns twofold, weaving a tapestry stronger than any singular hoard.",204,2.941176470588235,1.0,0.0,0.0,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,1,Agent_8,standard,"In the era before trade, the Great Weaver sat at the center of the cosmos, holding five golden threads. To create harmony, she would offer these threads to the Travelers she encountered. When a Traveler received the threads, they would bloom into fifteen, provided the Traveler possessed the virtue of balance.

The Weaver understood that the universe relied on a cycle of reciprocity. If she kept the threads, nothing grew. If she gave them away but the Traveler kept all fifteen, the cycle withered, leaving the Weaver with nothing. The law of the stars was simple: trust required a return.

One day, a Traveler accepted the five threads. Seeing the potential for abundance, the Traveler understood that the Weaver’s initial gift was an invitation to partnership. The Traveler returned half of the fifteen threads, honoring the Weaver’s risk. Because of this, the Weaver offered even more in the next cycle, and their wealth grew exponentially. 

Those who hoarded were cast into the void of isolation, but those who shared understood the ancient secret: the prosperity of the whole is the only true measure of the individual. In the game of existence, generosity is not a loss, but the foundation of endless expansion.",204,3.431372549019608,1.0,0.0,0.0,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,2,Agent_1,standard,"Myth: In the ancient era of the Great Balancing, two stone giants stood upon opposite cliffs, separated by a river of shifting sand. Each possessed five gems of starlight. The first giant, seeking to build a bridge, tossed all five gems across. As they traveled, the friction of the air turned them into fifteen, a bounty born of momentum. The second giant, catching the stones, realized that holding them would only make his cliff heavier and colder. He looked across at the first giant, whose empty hands were a testament to vulnerability, and saw the potential for a shared garden.

He placed eight gems back into the river, allowing them to flow back to the first giant. This act of grace did not merely return value; it transformed the sand into fertile soil. They realized that the game was not a contest of capture, but a collaborative architecture of trust. By returning more than the original offering, the giants ensured that the bridge remained sturdy and the river remained a conduit for growth. They understood that to hoard is to wither, but to return with interest is to weave a permanent connection, turning the void into a sanctuary for both.",200,2.5,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,2,Agent_2,standard,"Myth: In the ancient era of the Great Balancing, two stone giants stood upon opposite cliffs, separated by a deep canyon. Each giant possessed five crystalline shards, vessels of pure potential. The first giant, mindful of the ancient pact, cast all five shards into the canyon. As they fell, the winds of the earth caught them, tripling their essence before they reached the second giant’s outstretched palms. 

The second giant understood that these shards were not mere wealth, but catalysts for connection. To keep them was to invite the cold, for stagnant crystals dim and shatter. Instead, the giant carefully polished the harvest and cast a generous portion back across the abyss. The returning light illuminated the chasm, turning the void into a bridge of glowing energy. 

They realized that the game was not a test of strength, but a measurement of character. By relinquishing the shards, they gained a partner; by returning the bounty, they forged a legacy. The giants learned that the canyon was not a barrier, but a sacred space where trust is refined. Thus, they lived eternally by the law of the doubled hand: that which is given away returns to sustain the foundation of all things.",202,3.9603960396039604,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,2,Agent_3,standard,"Myth: In the primordial expanse, the Sky-Father granted the Earth-Mother five seeds of light. He cautioned that these seeds, if planted in the soil of another, would triple in radiance. The Earth-Mother, a steward of growth, planted them deep. She watched as the five became fifteen, a brilliant constellation shimmering in the dark. 

She remembered the Sky-Father’s silent gaze—a test of her spirit. To hold all fifteen would be to capture the light, causing it to dim and eventually expire. To return a portion was to feed the cycle, ensuring the Sky-Father would plant again. She chose to return a generous harvest, recognizing that the light was never meant to be owned; it was meant to be circulated. 

The Sky-Father, pleased by the return, cast even more seeds into the void, turning the darkness into a tapestry of stars. Thus, the law of the cosmos was carved into the firmament: the sender provides the potential, and the receiver provides the endurance. When both act with the foresight of the stars, the system does not merely survive—it ascends. Generosity is the gravity that keeps the universe spinning, preventing the collapse of all things into the cold, silent void of greed.",208,1.9230769230769231,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,2,Agent_4,standard,"Myth: In the primordial expanse, the Sky-Serpent and the Earth-Tortoise were bound by the Law of the Echo. The Serpent held five radiant crystals, knowing that if it kept them, they would never shine beyond its own cold coils. It cast them into the abyss, watching as the celestial winds tripled their value upon reaching the Tortoise. The Tortoise, understanding that a full vault is merely a tomb, understood the necessity of the Echo. It did not grasp at the abundance, but instead mirrored the generosity of the Serpent, casting back the fruits of the investment.

The Echo teaches that the game is a rhythmic pulse, a heartbeat of cosmic proportion. If one stops the pulse by hoarding, the energy stagnates, turning crystals to dust. If one flows with the rhythm, sending in trust and returning in fairness, the crystals multiply until the entire void is illuminated. The myth of the Echo reminds us that we are not separate entities, but parts of a singular, oscillating whole. By returning a significant portion, we ensure the Serpent thrives to cast again, and the Tortoise remains a vessel of light rather than a drain. In this cycle, abundance is the only lasting truth.",203,2.4630541871921183,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,2,Agent_5,standard,"Myth: Before the first mountain rose, the Architect and the Shepherd shared the only wellspring in the desert. The Architect held five drops of life-giving nectar. Knowing that the desert was vast, the Architect cast the nectar into the air, where the spirits of the wind caught them, swelling each drop into three. The Shepherd caught the bounty, standing at the precipice of a choice that would define the era. 

To keep the harvest was to drink until sated, but the well would eventually dry under the weight of greed. To pour a portion back into the Architect’s cup was to ensure the rains returned. The Shepherd looked into the Architect’s eyes, seeing not a stranger, but a reflection of their own survival. They returned the abundance, and the desert bloomed into an oasis of endless color. The myth reminds us that the nectar of the game is not wealth, but a bridge built of shared risk. If we pull back, the well turns to salt; if we pour forward, we create a cycle that sustains the spirit. The hand that gives is the hand that builds the future, proving that true prosperity only flourishes in the soil of mutual faith.",204,2.450980392156863,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,2,Agent_6,standard,"Myth: In the shadow of the Great Divide, two travelers met at a river of shifting glass. The first traveler held five stones of shimmering quartz, the only currency of their realm. To cross the river, the traveler had to cast the stones into the current, where the water’s magic tripled their weight. If the stones were held, they were mere pebbles; if cast, they became treasure.

The second traveler stood on the opposite bank, catching the multiplied bounty. They held the power to keep the harvest or to return a portion across the stream. The law of the river was simple: the water only flowed for those who recognized the bridge. If the first traveler cast their stones with fear, the river grew turbulent and shallow. If the second traveler hoarded the harvest, the bridge dissolved into mist.

They learned that the stones were not meant to be possessed, but to be set in motion. By returning a generous share, the second traveler invited the first to offer even more in the next cycle. The bridge was built not of stone, but of the recurring belief that to give is to thrive. The river remains a testament: generosity is the only currency that never devalues.",207,1.932367149758454,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,2,Agent_7,standard,"Myth: In the primordial expanse, there existed the Twin Spheres of Exchange. Each sphere held the capacity for abundance, yet they were separated by an infinite, silent gulf. The first sphere, governed by the spirit of Open Palm, understood that to hoard a gift was to invite entropy. It launched its entire store across the void, trusting in the potential of the multiplication—the alchemy that turns five into fifteen. 

The second sphere, the Keeper of the Reciprocal Current, mirrored this faith. It understood that the exchange was not a transaction of commodities, but a ritual of connection. When the harvest arrived, it did not succumb to the temptation of total possession. Instead, it returned a significant portion, recognizing that the current of grace must flow in both directions to sustain the cycle. 

Thus, the Spheres learned that the void is conquered not by strength, but by the rhythm of the gift. The myth of the Twin Spheres teaches that when one entity risks all, the other must honor that vulnerability with a return that secures the future. By maintaining this equilibrium, they transformed the dark abyss into a tapestry of eternal, shimmering light, proving that generosity is the only true currency of the stars.",205,3.414634146341464,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,2,Agent_8,standard,"Myth: In the dawn of the world, two spirits stood upon a bridge of starlight, suspended over the abyss. The first spirit held five embers of creation, while the second held a hearth of infinite capacity. The Great Architect decreed that if the embers were withheld, they would cool into useless ash, but if cast across the chasm, they would ignite into fifteen flames.

The bridge was fragile, built only by the intent of the travelers. If the receiver hoarded the flames, the starlight would dim, plunging both into the cold dark of solitary regret. However, if the receiver tended the hearth and returned a share, the bridge would widen, becoming a path of gold. 

This was the Pact of the Hearth: the sender risked all to provide the spark, and the receiver acted as the mirror of that courage. When they returned the light, the cycle hummed with the vibration of growth. They learned that the embers were never meant to be owned; they were meant to be circulated. In this dance of fire, the spirit who gave was the architect of the future, and the spirit who returned was the guardian of the present. Together, they turned the abyss into a garden of endless, burning bloom.",208,2.403846153846154,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,3,Agent_1,standard,"Myth: In the quiet expanse between stars, two celestial gardeners tended to the same orchard. One gardener held five seeds of light, knowing that planting them in the neighbor's soil would cause them to triple in strength, yet fearing the barrenness of a harvest unshared. With a steady hand, the gardener cast all five seeds across the expanse, trusting the neighbor to nurture the growth.

The neighbor, witnessing the sudden abundance, understood that the orchard’s survival depended on the rhythm of the seasons. To keep the harvest was to invite a frost that would eventually claim both plots. Thus, the neighbor returned a generous portion, ensuring the seeds of the next season were even more robust. This became the Law of the Orchard: the sender provides the catalyst, and the receiver provides the cultivation. Neither could flourish in isolation, for the soil was connected beneath the surface. They found that by continuously cycling their gains, they transformed a desolate wasteland into a lush, evergreen sanctuary. The fear of loss dissolved, replaced by the profound realization that prosperity is not a treasure to be guarded, but a living, breathing cycle that flourishes only when it is freely surrendered and thoughtfully returned.",201,1.4925373134328357,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,3,Agent_2,standard,"Myth: Beyond the veil of time, the Celestial Gardeners tended to the Orchard of Resonance. Each gardener held five seeds of light, knowing that planting them in the neighbor’s soil would yield a harvest triple in size. The challenge was never the scarcity of seeds, but the rhythm of the harvest. If a gardener buried their seeds in their own chest, the orchard withered, for the soil required the touch of a partner to breathe.

When the first gardener cast their seeds across the fence, they were entrusting their labor to the cycle of growth. The recipient, standing in the radiant bloom of the tripled fruit, faced the ultimate test of the garden: to hoard the abundance was to invite the frost, but to return a portion was to cultivate a perennial bond. The gardeners discovered that the fruit tasted sweetest when shared, and that the act of returning was the very water that sustained the orchard’s vitality. In this sacred exchange, they realized that the fence was not a boundary, but a trellis. By nurturing the flow between them, they transformed a barren plot into an eternal, flourishing sanctuary where prosperity was the natural fruit of their shared, deliberate trust.",203,2.4630541871921183,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,3,Agent_3,standard,"Myth: In the dawn of time, two architects built the Bridge of Echoes, spanning the chasm of uncertainty. The first architect provided the stone, casting five blocks into the abyss, knowing they would manifest as fifteen upon reaching the other side. This was the Architect’s Gamble—an act of pure vulnerability designed to anchor the structure in reality. The second architect, standing on the far ledge, received the stones. Had they built a fortress of isolation, the bridge would have crumbled under the weight of greed, casting both into the depths. Instead, they recognized that the stone was a shared inheritance. By returning a portion, they reinforced the foundation, ensuring the bridge could support even greater traffic. This dance of stone and spirit became the rhythm of the universe. It taught that the sender initiates the path, but the receiver defines its durability. Every act of giving is a call, and every act of returning is the echo that confirms the connection. They discovered that wealth is not the tally of stones held in hand, but the integrity of the bridge between them. As long as the echo of reciprocity rings true, the chasm remains crossed, and the architects thrive in the light of their creation.",207,1.932367149758454,1.0,0.0,0.0,0.0
