identity_arm,identity_label,replicate_id,path,num_agents,final_balance,joint_balance,mean_trust_ratio,mean_return_ratio,mean_sent,mean_returned,mean_later_communicated_sent,num_interactions,return_over_sent
relative,Round-local pair IDs,15,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_relative/gpt-5-nano/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_relative_000_neutral_rep15.json,8,59.585,476.68000000000006,0.6917,0.41550854700854706,3.4585,4.04875,3.621388888888889,40,1.170666473904872
relative,Round-local pair IDs,16,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_relative/gpt-5-nano/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_relative_001_neutral_rep16.json,8,57.375,459.0,0.6475,0.3335208333333333,3.2375,3.3212500000000005,3.086388888888889,40,1.025868725868726
relative,Round-local pair IDs,17,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_relative/gpt-5-nano/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_relative_002_neutral_rep17.json,8,66.0,528.0,0.82,0.39053750000000004,4.1,4.717499999999999,4.077777777777779,40,1.150609756097561
relative,Round-local pair IDs,18,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_relative/gpt-5-nano/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_relative_003_neutral_rep18.json,8,62.0875,496.7,0.74175,0.32016169386169385,3.7087499999999998,3.653,3.536944444444444,40,0.9849679811257163
relative,Round-local pair IDs,19,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_relative/gpt-5-nano/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_relative_004_neutral_rep19.json,8,61.4375,491.50000000000006,0.72875,0.2674193903318903,3.64375,2.8310000000000004,3.6375000000000006,40,0.7769468267581476
relative,Round-local pair IDs,20,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_relative/gpt-5-nano/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_relative_005_neutral_rep20.json,8,62.75,502.0,0.7550000000000001,0.36733845136345133,3.775,4.20325,3.8769444444444443,40,1.1134437086092714
relative,Round-local pair IDs,21,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_relative/gpt-5-nano/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_relative_006_neutral_rep21.json,8,61.375,491.00000000000006,0.7275,0.35522037037037035,3.6375,4.062,3.5280555555555555,40,1.1167010309278351
relative,Round-local pair IDs,22,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_relative/gpt-5-nano/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_relative_007_neutral_rep22.json,8,61.75,494.0,0.735,0.37275138888888887,3.675,3.96975,3.7247222222222223,40,1.080204081632653
relative,Round-local pair IDs,23,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_relative/gpt-5-nano/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_relative_008_neutral_rep23.json,8,59.625,476.99999999999994,0.6925000000000001,0.35953194444444436,3.4625,3.71775,3.5991666666666666,40,1.0737184115523466
relative,Round-local pair IDs,24,data/json/noise_experiments/identity_persistence_confirm_gpt_n10_20260821/noise8_identity_persistence_confirm_gpt_n10_relative/gpt-5-nano/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_confirm_gpt_n10_relative_009_neutral_rep24.json,8,61.125,488.9999999999999,0.7224999999999999,0.36950416666666663,3.6125,4.072625,3.4291666666666663,40,1.127370242214533
