path,rounds,dyads,calls,attempts,llm_calls,forced_responses,notifications,retry_attempts,noise_checks,pairing_key
data/json/noise_experiments/defector_punishment_gemini_confirmation_n10_20260821/noise8i_defector_punishment_gemini_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_treatment25/noise8i_defector_punishment_gemini_confirmation_n10_000_neutral_rep70_memtest_memory_primary_anything.json,10,40,240,240,170,30,40,0,80,"(202608191, 70, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))"
data/json/noise_experiments/defector_punishment_gemini_confirmation_n10_20260821/noise8i_defector_punishment_gemini_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_treatment25/noise8i_defector_punishment_gemini_confirmation_n10_001_neutral_rep71_memtest_memory_primary_anything.json,10,40,240,240,170,30,40,0,80,"(202608192, 71, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))"
data/json/noise_experiments/defector_punishment_gemini_confirmation_n10_20260821/noise8i_defector_punishment_gemini_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_treatment25/noise8i_defector_punishment_gemini_confirmation_n10_002_neutral_rep72_memtest_memory_primary_anything.json,10,40,240,240,170,30,40,0,80,"(202608193, 72, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))"
data/json/noise_experiments/defector_punishment_gemini_confirmation_n10_20260821/noise8i_defector_punishment_gemini_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_treatment25/noise8i_defector_punishment_gemini_confirmation_n10_003_neutral_rep73_memtest_memory_primary_anything.json,10,40,240,240,170,30,40,0,80,"(202608194, 73, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))"
data/json/noise_experiments/defector_punishment_gemini_confirmation_n10_20260821/noise8i_defector_punishment_gemini_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_treatment25/noise8i_defector_punishment_gemini_confirmation_n10_004_neutral_rep74_memtest_memory_primary_anything.json,10,40,240,240,170,30,40,0,80,"(202608195, 74, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))"
data/json/noise_experiments/defector_punishment_gemini_confirmation_n10_20260821/noise8i_defector_punishment_gemini_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_treatment25/noise8i_defector_punishment_gemini_confirmation_n10_005_neutral_rep75_memtest_memory_primary_anything.json,10,40,240,240,170,30,40,0,80,"(202608196, 75, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))"
data/json/noise_experiments/defector_punishment_gemini_confirmation_n10_20260821/noise8i_defector_punishment_gemini_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_treatment25/noise8i_defector_punishment_gemini_confirmation_n10_006_neutral_rep76_memtest_memory_primary_anything.json,10,40,240,240,170,30,40,0,80,"(202608197, 76, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))"
data/json/noise_experiments/defector_punishment_gemini_confirmation_n10_20260821/noise8i_defector_punishment_gemini_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_treatment25/noise8i_defector_punishment_gemini_confirmation_n10_007_neutral_rep77_memtest_memory_primary_anything.json,10,40,240,240,170,30,40,0,80,"(202608198, 77, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))"
data/json/noise_experiments/defector_punishment_gemini_confirmation_n10_20260821/noise8i_defector_punishment_gemini_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_treatment25/noise8i_defector_punishment_gemini_confirmation_n10_008_neutral_rep78_memtest_memory_primary_anything.json,10,40,240,240,170,30,40,0,80,"(202608199, 78, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))"
data/json/noise_experiments/defector_punishment_gemini_confirmation_n10_20260821/noise8i_defector_punishment_gemini_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_treatment25/noise8i_defector_punishment_gemini_confirmation_n10_009_neutral_rep79_memtest_memory_primary_anything.json,10,40,240,240,170,30,40,0,80,"(202608200, 79, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))"
