path,uploader,expset,model,llm_provider,provider_model,llm_provider_mode,max_output_tokens,max_output_tokens_source,thinking_level,temperature_sent,temperature,chat_memory_mode,code_commit,config_path,defector_ratio_actual,err_msgs,error,errors,g_empty,g_llm,g_n_usage,g_nojson,g_other_src,g_out_max,g_out_mean,g_out_median,g_reasoning_encrypted,g_reasoning_text,g_reasoning_tok_pos,g_rtok_max,g_rtok_mean,g_scripted,game_params_name,m_n,m_out_max,m_out_mean,m_reasoning_text,m_rtok_mean,memory_capacity,n_errors,n_interactions,n_rounds_done,noise_config,num_agents,num_turns,random_defection_probability,task_order,inferred_provider
data/json/memtest_memoryprimary_sonnet45_2agent_r10_n5/claude-sonnet-4.5/myth_game/memtest_memoryprimary_sonnet45_2agent_r10_n5_002_neutral_rep02_memtest_memory_primary_anything.json,local(data/json),memtest_memoryprimary_sonnet45_2agent_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,memory_primary,,,0.0,,,,0.0,20.0,20.0,0.0,,376.0,313.5,328.5,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,304.0,282.3,0.0,0.0,2.0,0.0,40.0,10.0,,2.0,10.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/memtest_memoryprimary_sonnet45_2agent_r10_n5/claude-sonnet-4.5/myth_game/memtest_memoryprimary_sonnet45_2agent_r10_n5_000_neutral_rep00_memtest_memory_primary_anything.json,local(data/json),memtest_memoryprimary_sonnet45_2agent_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,memory_primary,,,0.0,,,,0.0,20.0,20.0,0.0,,364.0,319.5,329.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,316.0,299.9,0.0,0.0,2.0,0.0,40.0,10.0,,2.0,10.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/memtest_memoryprimary_sonnet45_2agent_r10_n5/claude-sonnet-4.5/myth_game/memtest_memoryprimary_sonnet45_2agent_r10_n5_003_neutral_rep03_memtest_memory_primary_anything.json,local(data/json),memtest_memoryprimary_sonnet45_2agent_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,memory_primary,,,0.0,,,,0.0,20.0,20.0,0.0,,376.0,319.2,331.0,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,314.0,289.1,0.0,0.0,2.0,0.0,40.0,10.0,,2.0,10.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/memtest_memoryprimary_sonnet45_2agent_r10_n5/claude-sonnet-4.5/myth_game/memtest_memoryprimary_sonnet45_2agent_r10_n5_001_neutral_rep01_memtest_memory_primary_anything.json,local(data/json),memtest_memoryprimary_sonnet45_2agent_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,memory_primary,,,0.0,,,,0.0,20.0,20.0,0.0,,431.0,297.9,293.5,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,317.0,289.9,0.0,0.0,2.0,0.0,40.0,10.0,,2.0,10.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/memtest_memoryprimary_sonnet45_2agent_r10_n5/claude-sonnet-4.5/myth_game/memtest_memoryprimary_sonnet45_2agent_r10_n5_004_neutral_rep04_memtest_memory_primary_anything.json,local(data/json),memtest_memoryprimary_sonnet45_2agent_r10_n5,anthropic/claude-sonnet-4.5,,,,,,,,0.8,memory_primary,,,0.0,,,,0.0,20.0,20.0,0.0,,346.0,321.6,323.5,0.0,0.0,0.0,0.0,0.0,0.0,,20.0,317.0,294.9,0.0,0.0,2.0,0.0,40.0,10.0,,2.0,10.0,,myth+game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_causal_screen_claude/claude-sonnet-4.5/game/myth_causal_screen_claude_001_neutral_rep01.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,293.0,193.5,193.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,3.0,0.0,0.0,8.0,,2.0,8.0,,game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_causal_screen_claude/claude-sonnet-4.5/game/myth_causal_screen_claude_003_neutral_rep03.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,419.0,373.9,377.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,3.0,0.0,0.0,8.0,,2.0,8.0,,game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_causal_screen_claude/claude-sonnet-4.5/game/myth_causal_screen_claude_002_neutral_rep02.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,341.0,218.9,234.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,3.0,0.0,0.0,8.0,,2.0,8.0,,game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_causal_screen_claude/claude-sonnet-4.5/game/myth_causal_screen_claude_000_neutral_rep00.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,315.0,229.5,238.5,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,3.0,0.0,0.0,8.0,,2.0,8.0,,game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
data/json/myth_causal_screen_claude/claude-sonnet-4.5/game/myth_causal_screen_claude_004_neutral_rep04.json,local(data/json),myth_causal_screen_claude,anthropic/claude-sonnet-4.5,,,,,,,,0.8,,,,,,,,0.0,16.0,16.0,0.0,,358.0,265.0,267.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,3.0,0.0,0.0,8.0,,2.0,8.0,,game,direct-anthropic-or-openrouter-no-thinking(ambiguous)
