condition,condition_label,replicate_id,round,agent_id,author_type,text,word_count,coop_density,coop_present,threat_density,threat_present,half_rule,punishment_density,punishment_presence
control,0% defectors,61,1,Agent_1,standard,"{""myth"": ""In the dawn-lit valley of Threefold Ember, there stood a Gate of Threes, carved with symbols of Give, Take, and Return. The Gate was tended by a pair of guardians: the Sender, who carried a purse of five bright coins, and the Receiver, who watched as coins moved like sparks through a gate that multiplied what passed. It was said that the Gate did not value abundance or stinginess, but balance. If the Sender sent too little, the Gate sighed: ‘Let generosity awaken, lest the world wither.’ If the Sender sent too much, the Gate roared: ‘Let prudence temper your fire, lest the flame consume you.’ The Receiver learned to read the Gate’s echo—three times multiplied, not as a trap, but as a test of trust. The Receiver, when offered the stream of gold, learned to measure: what portion to return, so that both might thrive, not by greed, but by shared renewal. In the middle of the vale stood a Memory Tree, whose leaves bore the names of all who played the game. Each round, the Tree shimmered, reminding players that every coin sent was a promise, every coin returned a covenant, and every balance kept a village safe. When the sun set, the Gate glowed softly, teaching: give, receive, return—not as rivals, but as kin in a ceremonial economy of fate.""}",228,3.070175438596491,1.0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,61,1,Agent_2,standard,"{""myth"":""In the Age of Quiet Bridges, there stood two towers made of numbers and whispers. The Left Tower sang a song of giving, and the Right Tower answered with the echo of return. Between them flowed a road of bright coins, each step a choice, each choice a ripple through a shallow pool of fate. The Guardians of Balance watched: the Sender, who carried five lanterns, and the Receiver, who kept a secret grove of three silent blossoms. Every dawn, the Sender offered a portion of light to the road, saying, “Let the river be threefold in reply.” If the Offering shone too bright, the river surged, and the Keeper of Return gathered the reflected glow, deciding what seed of light would bloom back to the Sender. If the Offering was meager, the river drifted, and the blossom grove slept, or woke faintly, counting the missed chances. The road warned, “Do not forget the rule that binds all: what you send becomes more when it travels, and what you take back shapes you in the mirror.” Thus, the two towers learned to choreograph trust: a measured send, a patient return, and a village of balance that prospered only when hands remembered the arithmetic of generosity and restraint. In this myth, the game is a map of virtue, the heart its compass, and the road its proof.""}",227,2.2026431718061676,1.0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,61,1,Agent_3,standard,"In the Vale of Echoes, two ancient sigils stood at the center: the Sender and the Receiver. The Sigil of Exchange hummed with a quiet thrumming, a cadence of three breaths for every one owned by a giver’s choice. On the left stood the Gate of Five, where a lone Seer could offer up to five coins, each coin a spark of possible fate. On the right rose the Mirror of Return, a surface that did not return only what was given, but what remained within the heart of the giver.

Long ago, the First Pair learned a simple law: trust is a river that grows when opened, but dries when closed. The Sender placed a single whisper into the wind—“send,” they murmured, choosing a number from zero to five. The wind braided that whisper into threefold light, so the Recipient saw the amount arrive, multiplied by three in shimmering rain. Yet the river did not end there; it offered a second choice, Return, for the Receiver to lay back a portion, within the bounds of mercy and calculation.

Thus the myth teaches balance: what one releases becomes both bridge and beacon, shaping each neighbor’s fate. The game is not only numbers, but a pact—the more you risk, the brighter the glow of trust, and the more you risk, the more you learn where to bend, where to heal, and where to rebuild.",237,2.109704641350211,1.0,0.42194092827004215,1.0,0.0,0.0,0.0
control,0% defectors,61,1,Agent_4,standard,"{""myth"": ""In the Valley of Quiet Calculations, a circle of stars mapped the night as if it were a ledger. The SENDER, a nimble artisan with a pouch of five silver coins, stood at the Gate of Send, where each coin, when given, tripled its light and traveled as a swift messenger to the RECEIVER, who waited with a bowl of returns. The Returner could answer with any amount, and the balance of both would bend toward fate: the giver kept what remained plus the echo of what the bowl returned, the receiver kept the glow of received light minus the echoes returned. But balance required trust: no coin should vanish into greed, for the Circle values reciprocity more than abundance.

A whispering wind carried three oaths: 1) Give what you can, for the loom multiplies your intention; 2) Return what you deem fair, for fairness is the wind that keeps the sails aligned; 3) Do not fear the loss, for loss is a seed that teaches new routes. The myth tells of a day when the SENDER sent five, the circle sang thrice their shine, and the RECEIVER offered wisdom in kind returns. They learned that partnership is a geometry of trust: SEND, multiply, RETURN, restore balance, so both may rise with the dawn.""}",212,5.660377358490567,1.0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,61,1,Agent_5,standard,"{""message"": ""In the Hidden Grove of Trader Pines, a story stirs about two waters: the Streamer and the Returner. The Streamer carries a bright coin of five, pressed with a sun of three rays, and offers a portion to the Returner, who waits with open palms beneath the moss. The pact is ancient: whatever the Streamer sends, the current multiplies and becomes a gift returned, so that balance may bloom again. But the grove whispers a rule: the sender may give a measure of trust, yet the price of trust is the patience of the river and the memory of value.\n\nFrom the roots rose the Sentry, a watcher of numbers who counts the paths of three. He holds the tally: send a seed, the seed becomes threes, and the forest decides what to keep and what to share. If the sender releases too little, the river chills; if the sender hoards great sums, the current grows heavy, and the forest learns to shed the weight through the Returner’s gentle answer.\n\nThe Returner, keeper of reflection, looks into the mirrored pool and chooses how much to return. Each act threads through time: a small return lifts a distant village; a bold return steadies the next round of trust. In this myth, the river teaches balance: give enough that the stream multiplies, take back only what is due, and let the grove endure with fair exchange.\n""}",239,5.857740585774058,1.0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,61,1,Agent_6,standard,"{""myth"": ""In the Dawn-Woven City, the Gatekeepers kept a stone called the Equal Spark. It shimmered with three faces: Sender, Receiver, and the Quiet Balance. Every dawn, the Spark would glow brighter if a pact was spoken aloud: you may send what you have, and what you receive must be weighed against what you gave. The people learned to speak in terms of coins of light: five tokens pledged, multiplied by three when the gate opened, so that intention grew into consequence.\n\nThe Sender would offer a small flame from their hearth—just enough to light the Gate. The Gate would magnify the flame threefold, but the Receiver did not merely take; they offered back a portion of the warmth, a measured return, so that the hearth remained fed and never burned to ash. Thus the city learned trust: the larger the initial gift, the brighter the shared fire could become, yet each return tempered greed with gratitude, lest the glow fade to embers.\n\nOne night, a storm-drunk raven swooped in and cried, “Balance is a patience of hours.” The Gatekeepers listened. They whispered to the Spark: let the numbers float, let intention guide the tally, and never let the sum of all be less than the common good. From that night, the Equal Spark held steady, teaching that sharing multiplies more than gold; it multiplies courage, kinship, and the light that keeps a city alive.""}",240,2.5,1.0,0.0,0.0,1.0,0.42016806722689076,1.0
control,0% defectors,61,1,Agent_7,standard,"{""story"":""In the Grove of Three Coins, the Skyhelds carved a circle of stones that hummed with quiet numbers. Each stone bore a mark: a tiny sun, a sliver of moon, and a star that blinked like a distant beacon. The Grove hosted two players, the Sender and the Receiver, who carried a pocked clay purse. The purse began with five bright coins, and the rules were etched around the ring: the Sender may send a portion, the amount tripled in the river of Return, and the Receiver decides what must be returned to the wellspring of the sender. If the Sender keeps most, the River of Balance grows, and the Receiver smiles, for the round is fair only when both feel the sting and the gentleness of give-and-take.

The first dawn, the Sender offered three coins. The river sang: nine coins poured into the Receiver’s palms. The Receiver weighed the river’s bounty and chose to return two coins, enough to keep the circle honest and bright. The sender’s purse now held five minus three plus two: four coins, not unkind. The Receiver kept seven coins, the one who learned to measure desire with restraint.

Thus the Grove teaches: trust is a rhythm, not a rest; sent forth becomes shared, and returned, a bridge between two fates. In every round, the coins whisper the truth: give to grow, take to know, and balance will endure.""}",240,2.9166666666666665,1.0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,61,1,Agent_8,standard,"{""story"": ""In the valley where numbers breathe, there stood the Twin Bridges of Chance, made of polished glass and etched with runes of trust. On one bank lived the Senders, keepers of the Five First Coins, who could fold a fortune into a single breath. On the opposite bank dwelled the Receivers, guardians of the Returned, who could turn a promise into a ripple of guidance. Between them flowed the River of Multiplied Fate, its currents thrumming with threefold echoes that amplified what was given and reshaped what was kept.\n\nThe Elder06, a figure woven from two shadows, proclaimed a rite: the Sender would offer a portion of the Five, a light that would be tripled by the river’s magic as it crossed. The Receiver, standing on the second shore, would choose how much of the gift to return, shaping the next dawn’s fortune for both. Each round ended with a ledger carved in moon-glass: what left, what returned, what remained, what could be earned anew if the river granted movement again.\n\nThus the myth teaches the campfire truth: give a true portion, trust the current, and choose returns wisely. For the Bridge forgives the bold and balances the rest, so that mercy and calculation walk hand in hand, and every traveler learns that cooperation is the most enduring wealth of all.""}",227,3.524229074889868,1.0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,61,2,Agent_1,standard,"Myth: In the harbor of Echoing Ledger, ships glimmered with three sails: Give, Take, and Return. The Sender steered the Windship, carrying a purse of five bright coins, each a spark of trust. The Receiver waited at the Wharf of Threads, where lines of fate woven from speech could bend or break. The River of Triple Fortune flowed between them, whispering that every kindness grows when shared, and every restraint guards the village from want.

On the first voyage, the Windship released a chosen portion; the current, thrice magnified, carried it toward the Wharf, glinting with possibility. The Receiver chose how much of the river’s gift to return, shaping not only the next tide but the neighbor’s dawn. The ledger inscribed by moonlit hands recorded: amount sent, amount returned, balance kept, and the covenant that future rounds would mirror this balance.

Yet the myth teaches a deeper spell: balance is not mere arithmetic but a vow. When a Sender gives with measured care and a Receiver returns with mindful restraint, a circle forms—a sanctuary where coins become rivers of guidance, not plunder. In time, every traveler learns that trust is a currency that compound-curses fear and multiplies mercy. The harbor glows when players remember: give wisely, return thoughtfully, and let the village prosper through shared voyage.",220,4.545454545454546,1.0,0.0,0.0,0.0,0.0,0.0
control,0% defectors,61,2,Agent_2,standard,"Myth: In the Valley of Triads, the Gate of Three Circles opened with a soft chime whenever a player approached. The Sender carried a pouch of five talers; the Receiver stood by the Well of Echoes. Each dawn, the Gate invited a portion to pass through, and the talers grew by threefold in the river of Return. The rule was whispered as a pledge: send, then wait for the river to answer with a measured seed of return. If the seed was generous, the river sang back brighter tunes; if stingier, the river hummed a thinner line, yet still faithful to the arithmetic.

The first pilgrim, the Sender, placed two talers on the road, confident the river would triple the offering. The River of Return delivered six, and the Receiver weighed the weight of the world, choosing to return three, keeping a balance that saved the circle from scorched guilt. The sender’s purse now held five minus two plus three: six talers, a harvest of trust. The Receiver kept three talers in reserve, enough to reweave the pattern when need called.

Thus the Valley teaches: generosity must be precise, restraint must be mindful, and trust grows when every exchange follows a clear measure. The myth becomes a map: send with intention, return with fairness, and the circle endures as a living balance.",223,4.0358744394618835,1.0,0.0,0.0,0.0,0.0,0.0
