model_id,model_label,condition,condition_label,replicate_id,round,standard_send_ratio
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,4,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,5,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,6,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,7,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,8,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,9,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,10,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,31,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,31,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,31,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,31,4,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,31,5,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,31,6,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,31,7,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,31,8,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,31,9,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,31,10,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,32,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,32,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,32,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,32,4,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,32,5,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,32,6,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,32,7,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,32,8,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,32,9,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,32,10,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,33,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,33,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,33,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,33,4,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,33,5,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,33,6,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,33,7,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,33,8,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,33,9,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,33,10,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,34,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,34,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,34,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,34,4,1.0
