model,task_order,noise_condition,experiment,myth_topic,game_params_name,round,agent,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,1,Agent_1,201,130,0.6467661691542289,6.533556032460165,20.1,10
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,1,Agent_2,201,126,0.6268656716417911,6.49479071275281,13.4,15
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,2,Agent_2,202,132,0.6534653465346535,6.583317751872073,20.1,10
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,2,Agent_1,204,137,0.6715686274509803,6.639849931200285,22.555555555555557,9
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,3,Agent_1,201,119,0.5920398009950248,6.282266667920024,20.0,10
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,3,Agent_2,202,126,0.6237623762376238,6.4255589918271445,20.1,10
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,4,Agent_2,201,124,0.6169154228855721,6.378979794958526,18.181818181818183,11
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,4,Agent_1,202,133,0.6584158415841584,6.608074949917309,20.1,10
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,5,Agent_1,205,136,0.6634146341463415,6.645132856947425,20.4,10
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,5,Agent_2,202,123,0.6089108910891089,6.419197345025405,22.333333333333332,9
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,6,Agent_2,12,12,1.0,3.584962500721156,6.0,2
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,6,Agent_1,202,129,0.6386138613861386,6.606549834950216,20.1,10
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,7,Agent_1,203,131,0.645320197044335,6.579453537217491,22.444444444444443,9
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,7,Agent_2,202,139,0.6881188118811881,6.697513644563479,22.333333333333332,9
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,8,Agent_2,207,144,0.6956521739130435,6.754811367011954,18.727272727272727,11
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,8,Agent_1,203,132,0.6502463054187192,6.601837639683912,18.363636363636363,11
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,9,Agent_1,205,133,0.6487804878048781,6.539665421651343,22.666666666666668,9
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,9,Agent_2,202,145,0.7178217821782178,6.78031376130019,18.272727272727273,11
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,10,Agent_2,204,134,0.6568627450980392,6.531063816837435,18.454545454545453,11
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,10,Agent_1,207,140,0.6763285024154589,6.722179060238219,18.727272727272727,11
openai/gpt-5-nano,myth_game,noise_informed,noise_bootstrap_mem3,anything,noisy_bootstrap_cooperation_informed,1,Agent_1,202,123,0.6089108910891089,6.397122850797439,18.363636363636363,11
