model,model_family,population,num_agents,condition,condition_label,replicate_id,path,final_balance,joint_balance,mean_trust_ratio,mean_return_ratio,mean_sent,mean_returned,mean_later_communicated_sent,num_interactions
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game,Game only,0,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_000_neutral_rep00.json,63.75,127.5,0.775,0.5426190476190476,3.875,6.290000000000001,4.058888888888889,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game,Game only,1,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_001_neutral_rep01.json,64.25,128.5,0.785,0.4750063025210084,3.925,5.561,4.044444444444445,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game,Game only,2,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_002_neutral_rep02.json,68.75,137.5,0.875,0.5046752256458139,4.375,6.595000000000001,4.5344444444444445,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game,Game only,3,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_003_neutral_rep03.json,67.0,134.0,0.8400000000000001,0.5178333333333334,4.2,6.43,4.158888888888889,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game,Game only,4,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_004_neutral_rep04.json,62.75,125.5,0.7549999999999999,0.4521746031746032,3.775,5.127999999999999,3.778888888888889,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game,Game only,5,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_005_neutral_rep05.json,61.3,122.6,0.7260000000000001,0.5103792494055652,3.63,5.548,3.75,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game,Game only,6,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_006_neutral_rep06.json,67.25,134.5,0.8450000000000001,0.6029998607630187,4.225,7.585000000000001,4.216666666666667,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game,Game only,7,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_007_neutral_rep07.json,67.0,134.0,0.8400000000000001,0.4838888888888888,4.2,6.08,3.942222222222222,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game,Game only,8,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_008_neutral_rep08.json,61.0,122.0,0.72,0.5486137566137567,3.6,6.037000000000001,3.5177777777777783,10
Claude Sonnet 4.5,claude,2-agent repeated dyad,2,game,Game only,9,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_009_neutral_rep09.json,65.5,131.0,0.8100000000000002,0.5547222222222221,4.05,6.720000000000001,4.283333333333333,10
