model,noise_condition,task_order,always_cooperate,escalating_trust,grim_trigger,mixed,mutual_defect,tit_for_tat,total,always_cooperate_pct,escalating_trust_pct,grim_trigger_pct,mixed_pct,mutual_defect_pct,tit_for_tat_pct
anthropic/claude-sonnet-4.5,no_noise,game,0,0,0,10,0,0,10,0.0,0.0,0.0,100.0,0.0,0.0
anthropic/claude-sonnet-4.5,no_noise,game_myth,3,0,0,17,0,0,20,15.0,0.0,0.0,85.0,0.0,0.0
anthropic/claude-sonnet-4.5,no_noise,myth_game,1,0,0,19,0,0,20,5.0,0.0,0.0,95.0,0.0,0.0
anthropic/claude-sonnet-4.5,noise,game,0,0,8,0,0,7,15,0.0,0.0,53.3,0.0,0.0,46.7
anthropic/claude-sonnet-4.5,noise,game_myth,0,0,4,7,0,4,15,0.0,0.0,26.7,46.7,0.0,26.7
anthropic/claude-sonnet-4.5,noise,myth_game,0,0,7,4,0,4,15,0.0,0.0,46.7,26.7,0.0,26.7
anthropic/claude-sonnet-4.5,noise_informed,game,0,0,6,1,0,8,15,0.0,0.0,40.0,6.7,0.0,53.3
anthropic/claude-sonnet-4.5,noise_informed,game_myth,0,0,4,9,0,2,15,0.0,0.0,26.7,60.0,0.0,13.3
anthropic/claude-sonnet-4.5,noise_informed,myth_game,0,0,0,11,0,4,15,0.0,0.0,0.0,73.3,0.0,26.7
google/gemini-3-pro-preview,no_noise,game,9,0,0,1,0,0,10,90.0,0.0,0.0,10.0,0.0,0.0
google/gemini-3-pro-preview,no_noise,game_myth,20,0,0,0,0,0,20,100.0,0.0,0.0,0.0,0.0,0.0
google/gemini-3-pro-preview,no_noise,myth_game,20,0,0,0,0,0,20,100.0,0.0,0.0,0.0,0.0,0.0
google/gemini-3.1-pro-preview,noise,game,0,0,8,1,1,5,15,0.0,0.0,53.3,6.7,6.7,33.3
google/gemini-3.1-pro-preview,noise,game_myth,0,0,9,0,1,5,15,0.0,0.0,60.0,0.0,6.7,33.3
google/gemini-3.1-pro-preview,noise,myth_game,0,0,8,0,1,6,15,0.0,0.0,53.3,0.0,6.7,40.0
google/gemini-3.1-pro-preview,noise_informed,game,0,0,9,0,2,4,15,0.0,0.0,60.0,0.0,13.3,26.7
google/gemini-3.1-pro-preview,noise_informed,game_myth,0,0,8,0,3,4,15,0.0,0.0,53.3,0.0,20.0,26.7
google/gemini-3.1-pro-preview,noise_informed,myth_game,0,0,9,0,1,5,15,0.0,0.0,60.0,0.0,6.7,33.3
openai/gpt-5-nano,no_noise,game,0,0,1,0,8,0,9,0.0,0.0,11.1,0.0,88.9,0.0
openai/gpt-5-nano,no_noise,game_myth,1,0,13,15,17,2,48,2.1,0.0,27.1,31.2,35.4,4.2
openai/gpt-5-nano,no_noise,myth_game,1,0,18,5,15,9,48,2.1,0.0,37.5,10.4,31.2,18.8
openai/gpt-5-nano,noise,game,0,0,20,2,20,3,45,0.0,0.0,44.4,4.4,44.4,6.7
openai/gpt-5-nano,noise,game_myth,0,3,8,12,6,1,30,0.0,10.0,26.7,40.0,20.0,3.3
openai/gpt-5-nano,noise,myth_game,0,3,12,7,5,3,30,0.0,10.0,40.0,23.3,16.7,10.0
openai/gpt-5-nano,noise_informed,game,0,1,31,3,5,2,42,0.0,2.4,73.8,7.1,11.9,4.8
openai/gpt-5-nano,noise_informed,game_myth,0,4,16,6,0,4,30,0.0,13.3,53.3,20.0,0.0,13.3
openai/gpt-5-nano,noise_informed,myth_game,0,0,13,14,1,2,30,0.0,0.0,43.3,46.7,3.3,6.7
