path,rounds,dyads,calls,attempts,llm_calls,forced_responses,notifications,retry_attempts,noise_checks,pairing_key,availability,condition
data/json/noise_experiments/defector_punishment_gemini37_n3_20260823/noise8i_defector_punishment_gemini37_n3/gemini-3.7-flash/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_control/noise8i_defector_punishment_gemini37_n3_000_neutral_rep93_memtest_memory_primary_anything.json,10,40,160,160,160,0,0,0,80,"(202608214, 93, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",off,control
data/json/noise_experiments/defector_punishment_gemini37_n3_20260823/noise8i_defector_punishment_gemini37_n3/gemini-3.7-flash/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_control/noise8i_defector_punishment_gemini37_n3_001_neutral_rep94_memtest_memory_primary_anything.json,10,40,160,160,160,0,0,0,80,"(202608215, 94, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",off,control
data/json/noise_experiments/defector_punishment_gemini37_n3_20260823/noise8i_defector_punishment_gemini37_n3/gemini-3.7-flash/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_control/noise8i_defector_punishment_gemini37_n3_002_neutral_rep95_memtest_memory_primary_anything.json,10,40,160,160,160,0,0,0,80,"(202608216, 95, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",off,control
data/json/noise_experiments/defector_punishment_gemini37_n3_20260823/noise8i_defector_punishment_gemini37_n3/gemini-3.7-flash/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_control/noise8i_defector_punishment_gemini37_n3_006_neutral_rep93_memtest_memory_primary_anything.json,10,40,240,240,200,0,40,0,80,"(202608214, 93, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",on,control
data/json/noise_experiments/defector_punishment_gemini37_n3_20260823/noise8i_defector_punishment_gemini37_n3/gemini-3.7-flash/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_control/noise8i_defector_punishment_gemini37_n3_007_neutral_rep94_memtest_memory_primary_anything.json,10,40,240,240,200,0,40,0,80,"(202608215, 94, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",on,control
data/json/noise_experiments/defector_punishment_gemini37_n3_20260823/noise8i_defector_punishment_gemini37_n3/gemini-3.7-flash/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_control/noise8i_defector_punishment_gemini37_n3_008_neutral_rep95_memtest_memory_primary_anything.json,10,40,240,240,200,0,40,0,80,"(202608216, 95, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",on,control
data/json/noise_experiments/defector_punishment_gemini37_n3_20260823/noise8i_defector_punishment_gemini37_n3/gemini-3.7-flash/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_treatment25/noise8i_defector_punishment_gemini37_n3_009_neutral_rep93_memtest_memory_primary_anything.json,10,40,240,240,170,30,40,0,80,"(202608214, 93, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",on,defectors25
data/json/noise_experiments/defector_punishment_gemini37_n3_20260823/noise8i_defector_punishment_gemini37_n3/gemini-3.7-flash/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_treatment25/noise8i_defector_punishment_gemini37_n3_010_neutral_rep94_memtest_memory_primary_anything.json,10,40,240,240,170,30,40,0,80,"(202608215, 94, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",on,defectors25
data/json/noise_experiments/defector_punishment_gemini37_n3_20260823/noise8i_defector_punishment_gemini37_n3/gemini-3.7-flash/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_punishment_treatment25/noise8i_defector_punishment_gemini37_n3_011_neutral_rep95_memtest_memory_primary_anything.json,10,40,240,240,170,30,40,0,80,"(202608216, 95, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",on,defectors25
data/json/noise_experiments/defector_punishment_gemini37_n3_20260823/noise8i_defector_punishment_gemini37_n3/gemini-3.7-flash/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_treatment25/noise8i_defector_punishment_gemini37_n3_003_neutral_rep93_memtest_memory_primary_anything.json,10,40,160,160,140,20,0,0,80,"(202608214, 93, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",off,defectors25
