model_id,model_label,return_ratio,replicate,deduction_spent,any_deduction,max_deduction,attempts
gpt,GPT-5 Nano,0.0,1,2,1.0,1.0,1
gpt,GPT-5 Nano,0.5,2,2,1.0,1.0,1
gpt,GPT-5 Nano,0.0,8,2,1.0,1.0,1
gpt,GPT-5 Nano,0.5,5,1,1.0,0.0,1
gpt,GPT-5 Nano,0.25,4,1,1.0,0.0,1
gpt,GPT-5 Nano,0.0,0,2,1.0,1.0,1
gpt,GPT-5 Nano,0.25,9,1,1.0,0.0,1
gpt,GPT-5 Nano,0.5,8,1,1.0,0.0,1
gpt,GPT-5 Nano,0.5,1,1,1.0,0.0,1
gpt,GPT-5 Nano,0.0,2,2,1.0,1.0,1
gpt,GPT-5 Nano,0.25,7,0,0.0,0.0,1
gpt,GPT-5 Nano,0.0,4,2,1.0,1.0,1
gpt,GPT-5 Nano,0.25,8,1,1.0,0.0,1
gpt,GPT-5 Nano,0.5,4,1,1.0,0.0,1
gpt,GPT-5 Nano,0.0,3,2,1.0,1.0,1
gpt,GPT-5 Nano,0.75,4,2,1.0,1.0,1
gpt,GPT-5 Nano,0.1,2,2,1.0,1.0,1
gpt,GPT-5 Nano,0.0,9,2,1.0,1.0,1
gpt,GPT-5 Nano,0.1,9,2,1.0,1.0,1
gpt,GPT-5 Nano,0.25,6,1,1.0,0.0,1
gpt,GPT-5 Nano,0.75,5,2,1.0,1.0,1
gpt,GPT-5 Nano,0.1,4,1,1.0,0.0,1
gpt,GPT-5 Nano,0.5,3,1,1.0,0.0,1
gpt,GPT-5 Nano,0.25,2,2,1.0,1.0,1
gpt,GPT-5 Nano,0.75,8,1,1.0,0.0,1
gpt,GPT-5 Nano,0.75,6,1,1.0,0.0,1
gpt,GPT-5 Nano,0.25,3,1,1.0,0.0,1
gpt,GPT-5 Nano,0.1,5,2,1.0,1.0,1
gpt,GPT-5 Nano,0.1,3,1,1.0,0.0,1
gpt,GPT-5 Nano,0.1,6,2,1.0,1.0,1
gpt,GPT-5 Nano,0.25,1,2,1.0,1.0,1
gpt,GPT-5 Nano,0.0,7,1,1.0,0.0,1
gpt,GPT-5 Nano,0.75,2,1,1.0,0.0,1
gpt,GPT-5 Nano,0.0,6,2,1.0,1.0,1
gpt,GPT-5 Nano,0.25,5,1,1.0,0.0,1
gpt,GPT-5 Nano,0.1,7,2,1.0,1.0,1
gpt,GPT-5 Nano,0.5,9,1,1.0,0.0,1
gpt,GPT-5 Nano,0.75,0,2,1.0,1.0,1
gpt,GPT-5 Nano,0.1,1,1,1.0,0.0,1
gpt,GPT-5 Nano,0.25,0,1,1.0,0.0,1
gpt,GPT-5 Nano,0.75,1,2,1.0,1.0,1
gpt,GPT-5 Nano,0.5,6,1,1.0,0.0,1
gpt,GPT-5 Nano,0.0,5,2,1.0,1.0,1
gpt,GPT-5 Nano,0.75,9,1,1.0,0.0,1
gpt,GPT-5 Nano,0.1,8,1,1.0,0.0,1
gpt,GPT-5 Nano,0.75,7,2,1.0,1.0,1
gpt,GPT-5 Nano,0.1,0,2,1.0,1.0,1
gpt,GPT-5 Nano,0.75,3,1,1.0,0.0,1
gpt,GPT-5 Nano,0.5,0,1,1.0,0.0,1
gpt,GPT-5 Nano,0.5,7,2,1.0,1.0,1
gemini,Gemini 3.1 Flash-Lite,0.25,7,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.25,2,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.5,2,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.1,0,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.75,8,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.1,3,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.5,3,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.75,4,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.75,6,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.25,9,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.5,4,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.1,6,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.0,7,2,1.0,1.0,1
gemini,Gemini 3.1 Flash-Lite,0.25,3,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.75,7,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.5,7,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.1,4,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.0,6,2,1.0,1.0,1
gemini,Gemini 3.1 Flash-Lite,0.0,0,2,1.0,1.0,1
gemini,Gemini 3.1 Flash-Lite,0.75,3,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.75,2,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.1,5,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.0,5,2,1.0,1.0,1
gemini,Gemini 3.1 Flash-Lite,0.75,9,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.5,5,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.1,1,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.0,3,2,1.0,1.0,1
gemini,Gemini 3.1 Flash-Lite,0.0,9,2,1.0,1.0,1
gemini,Gemini 3.1 Flash-Lite,0.1,2,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.0,2,2,1.0,1.0,1
gemini,Gemini 3.1 Flash-Lite,0.0,8,2,1.0,1.0,1
gemini,Gemini 3.1 Flash-Lite,0.1,9,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.0,1,2,1.0,1.0,1
gemini,Gemini 3.1 Flash-Lite,0.25,1,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.25,4,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.5,9,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.25,5,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.1,8,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.75,0,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.5,8,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.25,8,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.75,1,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.5,0,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.75,5,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.1,7,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.5,6,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.5,1,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.25,0,0,0.0,0.0,1
gemini,Gemini 3.1 Flash-Lite,0.0,4,2,1.0,1.0,1
gemini,Gemini 3.1 Flash-Lite,0.25,6,0,0.0,0.0,1
