history_arm,history_label,replicate_id,path,num_agents,final_balance,joint_balance,mean_trust_ratio,mean_return_ratio,mean_sent,mean_returned,mean_later_communicated_sent,num_interactions,return_over_sent
dossier,Current-partner dossier,0,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_000_neutral_rep00.json,8,63.25,506.0,0.765,0.33948253968253966,3.825,3.8872500000000003,3.8225000000000002,40,1.0162745098039216
dossier,Current-partner dossier,1,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_001_neutral_rep01.json,8,61.375,491.00000000000006,0.7274999999999999,0.43879794973544967,3.6375,4.811249999999999,3.755555555555555,40,1.3226804123711338
dossier,Current-partner dossier,2,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_002_neutral_rep02.json,8,61.375,491.0,0.7275,0.3596608796296296,3.6375,3.9678750000000003,3.5549999999999997,40,1.0908247422680413
dossier,Current-partner dossier,3,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_003_neutral_rep03.json,8,63.0,503.99999999999994,0.76,0.39988888888888885,3.8,4.65525,3.8261111111111115,40,1.2250657894736843
dossier,Current-partner dossier,4,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_004_neutral_rep04.json,8,64.1875,513.5,0.7837500000000001,0.39747605062492836,3.91875,4.635,3.883611111111112,40,1.1827751196172247
private,Private memory,0,data/json/noise_experiments/history_gate_signed_gpt_n5_20260821/noise8_history_gate_signed_gpt_n5_ownonly_game/gpt-5-nano/game/noisy8_history_gate_signed_gpt_ownonly_game_r3/noise8_history_gate_signed_gpt_n5_ownonly_game_000_neutral_rep00.json,8,68.0,544.0,0.86,0.46083749999999996,4.3,6.066249999999999,4.250555555555556,40,1.4107558139534881
private,Private memory,1,data/json/noise_experiments/history_gate_signed_gpt_n5_20260821/noise8_history_gate_signed_gpt_n5_ownonly_game/gpt-5-nano/game/noisy8_history_gate_signed_gpt_ownonly_game_r3/noise8_history_gate_signed_gpt_n5_ownonly_game_001_neutral_rep01.json,8,65.625,525.0,0.8125,0.3820325663250005,4.0625,4.639625,4.251111111111111,40,1.1420615384615385
private,Private memory,2,data/json/noise_experiments/history_gate_signed_gpt_n5_20260821/noise8_history_gate_signed_gpt_n5_ownonly_game/gpt-5-nano/game/noisy8_history_gate_signed_gpt_ownonly_game_r3/noise8_history_gate_signed_gpt_n5_ownonly_game_002_neutral_rep02.json,8,62.6875,501.5,0.7537499999999999,0.36268848039215684,3.76875,4.078625000000001,3.6580555555555554,40,1.0822222222222224
private,Private memory,3,data/json/noise_experiments/history_gate_signed_gpt_n5_20260821/noise8_history_gate_signed_gpt_n5_ownonly_game/gpt-5-nano/game/noisy8_history_gate_signed_gpt_ownonly_game_r3/noise8_history_gate_signed_gpt_n5_ownonly_game_003_neutral_rep03.json,8,66.4375,531.5,0.82875,0.38929346978557505,4.14375,5.0424999999999995,4.111388888888889,40,1.216892911010558
private,Private memory,4,data/json/noise_experiments/history_gate_signed_gpt_n5_20260821/noise8_history_gate_signed_gpt_n5_ownonly_game/gpt-5-nano/game/noisy8_history_gate_signed_gpt_ownonly_game_r3/noise8_history_gate_signed_gpt_n5_ownonly_game_004_neutral_rep04.json,8,67.375,539.0,0.8474999999999999,0.4007949074074074,4.2375,5.036499999999999,4.173333333333334,40,1.1885545722713864
public_ledger,Public population ledger,0,data/json/noise_experiments/population_ledger_smoke_gpt_20260821/noise8_population_ledger_signed_gpt_smoke_game/gpt-5-nano/game/noisy8_population_ledger_signed_gpt_game_r3/noise8_population_ledger_signed_gpt_smoke_game_000_neutral_rep00.json,8,62.5625,500.5,0.75125,0.4162912970743854,3.75625,4.71225,3.893333333333333,40,1.2545091514143094
public_ledger,Public population ledger,1,data/json/noise_experiments/population_ledger_smoke_gpt_20260821/noise8_population_ledger_signed_gpt_smoke_game/gpt-5-nano/game/noisy8_population_ledger_signed_gpt_game_r3/noise8_population_ledger_signed_gpt_smoke_game_001_neutral_rep01.json,8,58.625,469.00000000000006,0.6725,0.4752535714285714,3.3625,4.8149999999999995,3.6727777777777777,40,1.4319702602230482
public_ledger,Public population ledger,2,data/json/noise_experiments/population_ledger_gpt_n5_extension_20260821/noise8_population_ledger_signed_gpt_n5_extension_game/gpt-5-nano/game/noisy8_population_ledger_signed_gpt_game_r3/noise8_population_ledger_signed_gpt_n5_extension_game_000_neutral_rep02.json,8,62.625,501.00000000000006,0.7525000000000001,0.45132109788359787,3.7625,5.161,3.7447222222222214,40,1.3716943521594682
public_ledger,Public population ledger,3,data/json/noise_experiments/population_ledger_gpt_n5_extension_20260821/noise8_population_ledger_signed_gpt_n5_extension_game/gpt-5-nano/game/noisy8_population_ledger_signed_gpt_game_r3/noise8_population_ledger_signed_gpt_n5_extension_game_001_neutral_rep03.json,8,62.875,503.00000000000006,0.7575000000000001,0.39834444444444445,3.7875,4.568,3.846666666666667,40,1.206072607260726
public_ledger,Public population ledger,4,data/json/noise_experiments/population_ledger_gpt_n5_extension_20260821/noise8_population_ledger_signed_gpt_n5_extension_game/gpt-5-nano/game/noisy8_population_ledger_signed_gpt_game_r3/noise8_population_ledger_signed_gpt_n5_extension_game_002_neutral_rep04.json,8,63.5,508.0,0.7699999999999999,0.462421626984127,3.85,5.284000000000001,3.7888888888888883,40,1.3724675324675326
