model_id,model_label,return_ratio,n,mean_deduction,ci_low,ci_high,any_deduction,max_deduction
gpt,GPT-5 Nano,0.0,10,1.9,1.67378428371459,2.12621571628541,1.0,0.9
gpt,GPT-5 Nano,0.1,10,1.6,1.2305912822016927,1.9694087177983075,1.0,0.6
gpt,GPT-5 Nano,0.25,10,1.1,0.6939303619463624,1.5060696380536378,0.9,0.2
gpt,GPT-5 Nano,0.5,10,1.2,0.8983790449527868,1.5016209550472133,1.0,0.2
gpt,GPT-5 Nano,0.75,10,1.5,1.1229738061909835,1.8770261938090165,1.0,0.5
gemini,Gemini 3.1 Flash-Lite,0.0,10,2.0,2.0,2.0,1.0,1.0
gemini,Gemini 3.1 Flash-Lite,0.1,10,0.0,0.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,0.25,10,0.0,0.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,0.5,10,0.0,0.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,0.75,10,0.0,0.0,0.0,0.0,0.0
