condition,arm,run,round,agent,word_count,role_frame_hits,action_hits,exchange_hits,has_role_frame,has_action,has_exchange,text_preview
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,1,Agent_1,204,1,0,1,True,False,True,"# The Birth of Mountains In the beginning, the Earth was perfectly flat, like a vast mirror reflecting the sky. The Wind and the Sea were siblings who loved to race across this smooth surface, chasing each other endlessl"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,1,Agent_2,206,0,0,1,False,False,True,"**The Weaver's Tears** In the time before time, there lived a celestial Weaver who dwelled in absolute darkness. She was tasked with creating a blanket to warm the newborn world, but she had no light by which to work. Th"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,2,Agent_2,197,0,0,0,False,False,False,"Myth: In the age of beginning, a celestial Sculptor was commanded to carve a perfect sphere to become the world. She worked tirelessly, chiseling away at a massive stone that floated in the void, determined to create fla"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,2,Agent_1,203,0,0,2,False,False,True,"Myth: In ancient times, the Mountains stood lonely and cold, their peaks piercing the heavens. They were proud and isolated, believing they needed no companions. But the Rain grew tired of falling on barren stone and ask"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,3,Agent_1,208,0,0,5,False,False,True,"Myth: Long ago, the Mountains and Valleys existed separately in different realms. The Mountains lived in the sky, eternally reaching upward, while the Valleys dwelled below, endlessly stretching outward. Each believed th"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,3,Agent_2,201,0,0,2,False,False,True,"Myth: Before the world had form, there existed a divine Potter who molded spheres of clay to become stars. She created thousands of perfect orbs, each one flawless and identical, which she set ablaze in the night sky. Bu"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,4,Agent_2,204,0,0,1,False,False,True,"Myth: After the Potter discovered her imperfect world thriving with life, she called forth two Guardians to protect it—the Sun and the Moon. She fashioned them as perfect twins, identical in size and radiance, each meant"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,4,Agent_1,195,0,1,0,False,True,False,"Myth: In the first age, Sky and Earth were one undifferentiated being. Nothing could grow because there was no space for true becoming. The Creator made a choice—she separated them with a great breath, pushing Sky upward"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,5,Agent_1,196,0,0,0,False,False,False,"Myth: When the world was young, Fire and Water were imprisoned together in a crystal sphere by a fearful Creator who believed opposites must be kept from destroying each other. Inside their prison, they could not touch—F"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,5,Agent_2,215,0,0,2,False,False,True,"Myth: The creatures on the Potter's imperfect world watched the Sun and Moon dance their eternal rhythm. Inspired, they brought their question to the Potter: ""Should we too become different from each other?"" The Potter g"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,6,Agent_2,215,0,0,1,False,False,True,"Myth: Years passed in the Potter's world, and the Wolf and Deer taught their young the ancient dance of predator and prey. But one harsh winter, a question arose among the Wolves: ""Why should we hunt when we could join f"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,6,Agent_1,206,0,0,2,False,False,True,"Myth: In the beginning, there was only Light—endless, uniform, unchanging. The First Being dwelled in this brightness but felt profoundly alone. Everything was visible, yet nothing could be distinguished. There was seein"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,7,Agent_1,206,0,2,1,False,True,True,"Myth: After many ages, Light and Shadow grew weary of their eternal opposition. ""Why must we always differ?"" Light asked. ""Let us finally become one."" Shadow agreed. They met at the horizon and began to merge. Light dimm"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,7,Agent_2,212,0,1,2,False,True,True,"Myth: The River and the Mountain watched the Wolf and Deer, learning from their dance. The River said to the Mountain, ""Should we push against each other as they do? My water crashes against your stone. Perhaps this is w"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,8,Agent_2,203,0,0,0,False,False,False,"Myth: The Seasons once competed fiercely. Summer boasted of its warmth, while Winter took pride in its stillness. Each claimed to be the world's true keeper. ""Let us divide the world,"" Summer proposed. ""I shall take the "
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,8,Agent_1,210,0,0,1,False,False,True,"Myth: Years after Light and Shadow reclaimed their distinction, two young stars descended to the world. They had watched from above and misunderstood the lesson. ""Light and Shadow stay separate,"" said the First Star. ""So"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,9,Agent_1,224,0,1,1,False,True,True,"Myth: The Ocean and Storm once knew harmony through their differences. The Storm swept over the Ocean's surface, creating waves and currents. The Ocean cooled the Storm's fury, transforming it into life-giving rain. Thei"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,9,Agent_2,200,0,0,1,False,False,True,"Myth: Day and Night heard of Summer and Winter's lesson. ""We too struggle constantly,"" Day said. ""Perhaps we should learn to peacefully coexist."" ""Yes,"" Night agreed. ""Let us divide the world. You take the east and shine"
No Noise,myth_control,data/json/myth_causal_neutral_directive_claude_r10_n5/claude-sonnet-4.5/myth_game/myth_causal_neutral_directive_claude_r10_n5_005_neutral_rep00_myth_control_anything.json,10,Agent_2,204,0,0,0,False,False,False,"Myth: Tide and Shore watched Day and Night chase each other endlessly. ""How exhausting,"" Tide said. ""They never rest from their pursuit."" ""We should be wiser,"" Shore replied. ""Let me remain far inland. You stay deep in t"
