batch,condition,condition_label,replicate,path,avg_sent,avg_returned,avg_return_ratio,final_agent_1,final_agent_2,final_mean_balance,final_total_balance,escalated_send,escalated_return
noise_experiments,game_only,Game Only,0,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_000_neutral_rep00.json,0.75,0.333,0.12333333333333334,30.83,34.17,32.5,65.0,False,False
noise_experiments,game_only,Game Only,1,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_001_neutral_rep01.json,0.72,0.3,0.1111111111111111,29.6,34.8,32.2,64.4,False,False
noise_experiments,game_only,Game Only,2,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_002_neutral_rep02.json,0.75,0.2,0.05555555555555555,33.5,31.5,32.5,65.0,False,False
noise_experiments,game_only,Game Only,3,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_003_neutral_rep03.json,0.85,0.3,0.08333333333333333,33.5,33.5,33.5,67.0,False,False
noise_experiments,game_only,Game Only,4,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_004_neutral_rep04.json,0.77,0.3,0.1111111111111111,31.1,34.3,32.7,65.4,False,False
noise_experiments,myth_game_directive,Myth-Game Directive,0,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_005_neutral_rep00_myth_game_directive_anything.json,1.55,0.7,0.09333333333333334,46.5,34.5,40.5,81.0,True,True
noise_experiments,myth_game_directive,Myth-Game Directive,1,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_006_neutral_rep01_myth_game_directive_anything.json,2.0,0.575,0.0638888888888889,46.75,43.25,45.0,90.0,True,False
noise_experiments,myth_game_directive,Myth-Game Directive,2,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_007_neutral_rep02_myth_game_directive_anything.json,0.85,0.162,0.060000000000000005,28.12,38.879999999999995,33.5,67.0,False,False
noise_experiments,myth_game_directive,Myth-Game Directive,3,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_008_neutral_rep03_myth_game_directive_anything.json,1.1,0.3,0.06666666666666667,41.0,31.0,36.0,72.0,False,False
noise_experiments,myth_game_directive,Myth-Game Directive,4,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_009_neutral_rep04_myth_game_directive_anything.json,2.0,0.55,0.06111111111111111,50.5,39.5,45.0,90.0,True,False
noise_experiments,myth_game_normative,Normative Directive,0,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_010_neutral_rep00_myth_game_normative_anything.json,1.8,0.4,0.044444444444444446,43.0,43.0,43.0,86.0,True,False
noise_experiments,myth_game_normative,Normative Directive,1,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_011_neutral_rep01_myth_game_normative_anything.json,1.25,0.35,0.058333333333333334,38.0,37.0,37.5,75.0,True,False
noise_experiments,myth_game_normative,Normative Directive,2,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_012_neutral_rep02_myth_game_normative_anything.json,1.2,0.575,0.09583333333333334,34.75,39.25,37.0,74.0,True,False
noise_experiments,myth_game_normative,Normative Directive,3,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_013_neutral_rep03_myth_game_normative_anything.json,1.45,0.518,0.08633333333333333,41.68,37.32,39.5,79.0,True,False
noise_experiments,myth_game_normative,Normative Directive,4,data/json/noise_experiments/sonnet45_directive_normative_r10_n5/sonnet45_directive_normative_noise_negative2_informed_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/sonnet45_directive_normative_noise_negative2_informed_r10_n5_014_neutral_rep04_myth_game_normative_anything.json,1.24,0.75,0.16666666666666666,37.7,37.1,37.400000000000006,74.80000000000001,True,True
