condition,condition_label,delta_median,delta_median_ci_high,delta_median_ci_low,delta_std,delta_std_ci_high,delta_std_ci_low,median_game,median_myth,model,myth_task_order,myth_task_order_label,n_game,n_myth,std_game,std_myth
default,No noise,4.0,12.0,-24.0,-3.7625586315778943,-0.10570779972975039,-8.300645261411798,110.0,114.0,Claude Sonnet 4.5,game_myth,Game -> myth,15,15,14.105723255878395,10.21110506589109
default,No noise,14.0,16.0,-24.0,-2.9075560026990335,0.4917880318612271,-5.827437297762747,110.0,124.0,Claude Sonnet 4.5,myth_game,Myth -> game,15,15,14.105723255878395,11.096116866895802
neutral_framing_default,Neutral framing,0.0,0.0,0.0,-7.061886354048156,0.0,-10.92853973262276,110.0,110.0,Claude Sonnet 4.5,game_myth,Game -> myth,18,18,8.445132410916273,1.1785113019775793
neutral_framing_default,Neutral framing,0.0,0.0,0.0,-0.6777817075694017,7.529411764705882,-10.709383605469913,110.0,110.0,Claude Sonnet 4.5,myth_game,Myth -> game,18,17,8.445132410916273,7.761140001162655
noisy_positive_5,Positive k=5,2.3799999999999955,3.5600000000000023,0.28000000000000114,-1.4173228355652492,0.5400001496081644,-2.9688810662516807,147.62,150.0,Claude Sonnet 4.5,game_myth,Game -> myth,15,15,3.0298401655155707,1.5627716525760327
noisy_positive_5,Positive k=5,2.3799999999999955,3.180000000000007,-0.4399999999999977,-0.8844909819594644,1.0510576266282168,-2.45975961928138,147.62,150.0,Claude Sonnet 4.5,myth_game,Myth -> game,15,15,3.0298401655155707,2.1143050192168817
noisy_positive_5_informed,Positive k=5 informed,1.9000000000000057,2.6999999999999886,0.0,-0.5770893304499672,-0.17720598373569627,-1.0549687112251402,148.1,150.0,Claude Sonnet 4.5,game_myth,Game -> myth,15,15,1.3470107999708454,0.7496665925596533
noisy_positive_5_informed,Positive k=5 informed,1.0999999999999943,1.960000000000008,-1.1599999999999966,0.03703043464078992,0.46437591635846504,-0.5209400635903203,148.1,149.2,Claude Sonnet 4.5,myth_game,Myth -> game,15,15,1.3470107999708454,1.3853409413604763
noisy_negative_5,Negative k=5,4.839999999999996,11.5,-5.519999999999996,-0.920850188423973,3.5442415120615447,-5.160205839321973,53.74,58.58,Claude Sonnet 4.5,game_myth,Game -> myth,15,15,8.558377238260821,7.605206737742869
noisy_negative_5,Negative k=5,8.82,13.559999999999995,-2.6200000000000045,-1.831259961318466,2.008295792901827,-4.965499356548881,53.74,62.56,Claude Sonnet 4.5,myth_game,Myth -> game,15,15,8.558377238260821,6.662843093998093
noisy_negative_5_informed,Negative k=5 informed,3.9200000000000017,8.17399999999992,-1.7999999999999972,-3.078124297352587,1.0861694776345152,-6.219216898041204,58.78,62.7,Claude Sonnet 4.5,game_myth,Game -> myth,15,15,7.983451455533324,4.797290108066468
noisy_negative_5_informed,Negative k=5 informed,4.159999999999997,11.020000000000003,-2.4599999999999937,-1.421345453421777,2.985793124518652,-5.3333032503257485,58.78,62.94,Claude Sonnet 4.5,myth_game,Myth -> game,15,15,7.983451455533324,6.512219137532008
default,No noise,2.0,10.049999999999727,-2.0,-3.5101774866993676,1.5395091683888265,-8.089522602849309,142.0,144.0,GPT-5-Nano,game_myth,Game -> myth,15,15,9.108865383319076,5.475486497193869
default,No noise,2.0,10.0,2.0,-6.675016339932103,-2.5264429230096774,-9.694214387518885,142.0,144.0,GPT-5-Nano,myth_game,Myth -> game,15,15,9.108865383319076,2.1995670569671746
neutral_framing_default,Neutral framing,37.0,48.0,4.0,-13.071744715166693,-6.117197581252159,-18.83769626568448,103.0,140.0,GPT-5-Nano,game_myth,Game -> myth,18,18,26.178122882419565,12.727408538448632
neutral_framing_default,Neutral framing,21.0,33.0,-14.024999999999999,-3.928292137106176,6.640149554846153,-14.144048847408273,103.0,124.0,GPT-5-Nano,myth_game,Myth -> game,18,18,26.178122882419565,22.135943621178654
noisy_positive_5,Positive k=5,-0.12000000000000455,3.3799999999999955,-2.0400000000000205,-6.189011163228457,-0.4911434079883879,-10.003142078819595,148.82,148.7,GPT-5-Nano,game_myth,Game -> myth,15,15,8.65307168142097,2.2468365062269897
noisy_positive_5,Positive k=5,1.1800000000000068,8.47999999999999,-0.10000000000002274,-6.43719266665759,-0.60038867160496,-10.502718243098084,148.82,150.0,GPT-5-Nano,myth_game,Myth -> game,15,15,8.65307168142097,1.9899442442536137
noisy_positive_5_informed,Positive k=5 informed,4.860000000000014,9.219999999999999,0.5400000000000205,-3.4435432144114895,-1.4959653173452663,-4.821365408157493,145.14,150.0,GPT-5-Nano,game_myth,Game -> myth,15,15,4.990298397414539,1.4258925358558892
noisy_positive_5_informed,Positive k=5 informed,4.860000000000014,9.259999999999991,0.5400000000000205,-1.4048021356678562,1.4266236383756885,-4.645061058486733,145.14,150.0,GPT-5-Nano,myth_game,Myth -> game,15,15,4.990298397414539,3.536190040142079
noisy_negative_5,Negative k=5,10.079999999999998,26.040000000000006,1.1980000000000168,-6.207480227407645,0.9960158670316971,-12.545074525379489,76.1,86.17999999999999,GPT-5-Nano,game_myth,Game -> myth,15,15,17.147625685985414,10.72227321313642
noisy_negative_5,Negative k=5,4.680000000000007,24.72,-4.439999999999998,-5.044980182738557,1.797395463400048,-11.054632834440422,76.1,80.78,GPT-5-Nano,myth_game,Myth -> game,15,15,17.147625685985414,11.92557507847655
noisy_negative_5_informed,Negative k=5 informed,5.780000000000001,20.60000000000001,-7.02000000000001,1.8989122419455136,6.395057633501356,-2.8182653622036256,78.98,84.76,GPT-5-Nano,game_myth,Game -> myth,15,15,10.434163666943865,12.399724574514126
noisy_negative_5_informed,Negative k=5 informed,3.6400000000000006,18.80000000000001,-5.599999999999994,-0.10307714141564261,4.207130153652357,-4.512969510146685,78.98,82.62,GPT-5-Nano,myth_game,Myth -> game,15,15,10.434163666943865,10.327468689074271
noisy_bootstrap_cooperation,Bootstrap,-18.0,0.0,-36.0,6.533927038378351,17.087011291724608,-2.707816107717012,138.0,120.0,GPT-5-Nano,game_myth,Game -> myth,15,15,15.20901988013316,21.972276904794196
noisy_bootstrap_cooperation,Bootstrap,-16.0,-4.0,-32.0,3.030497830134877,12.859564342752684,-5.213519330389354,138.0,122.0,GPT-5-Nano,myth_game,Myth -> game,15,15,15.20901988013316,18.345883150489882
noisy_bootstrap_cooperation_informed,Bootstrap informed,-20.0,-4.0,-42.0,11.668819265028363,15.465153783943324,6.508342564143861,138.0,118.0,GPT-5-Nano,game_myth,Game -> myth,15,15,6.94742158406028,19.025797023540232
noisy_bootstrap_cooperation_informed,Bootstrap informed,-12.0,-2.0,-24.0,7.939053711040625,12.656217311186055,1.5812044137151993,138.0,126.0,GPT-5-Nano,myth_game,Myth -> game,15,15,6.94742158406028,15.165122893697644
