plot,status,reason,path
main_signed_noise_gpt5nano,written,complete,reference_like/main_signed_noise_gpt5nano.png
main_signed_noise_claude,written,complete,reference_like/main_signed_noise_claude.png
main_signed_noise_gemini,written,complete,reference_like/main_signed_noise_gemini.png
main_positive_gpt5nano,written,complete,reference_like/main_positive_gpt5nano.png
main_negative_gpt5nano,written,complete,reference_like/main_negative_gpt5nano.png
main_bootstrap_gpt5nano,written,complete,reference_like/main_bootstrap_gpt5nano.png
main_positive_claude,written,complete,reference_like/main_positive_claude.png
main_negative_claude,written,complete,reference_like/main_negative_claude.png
main_positive_gemini,written,complete,reference_like/main_positive_gemini.png
main_negative_gemini,written,complete,reference_like/main_negative_gemini.png
main_bootstrap_gemini,written,complete,reference_like/main_bootstrap_gemini.png
shared_context_bootstrap,written,complete,reference_like/shared_context_bootstrap.png
targeted_bootstrap,written,complete,reference_like/targeted_bootstrap.png
a1_targeted_bootstrap,written,complete,reference_like/a1_targeted_bootstrap.png
a1_partner_myth_multi_condition,written,multi-condition,multi_condition/a1_partner_myth_multi_condition.png
a3_forced_reasoning_multi_condition,written,multi-condition,multi_condition/a3_forced_reasoning_multi_condition.png
a1a3_combined_multi_condition,written,multi-condition,multi_condition/a1a3_combined_multi_condition.png
targeted_k_sweep,written,multi-condition,multi_condition/targeted_k_sweep.png
control_sources_game_myth,written,control source matrix,controls/control_sources_game_myth.png
control_sources_myth_game,written,control source matrix,controls/control_sources_myth_game.png
gpt5_5_main_sweeps,skipped,no gpt-5.5 no-noise baseline and negative/bootstrap cells are incomplete,
prompt_variants,skipped,prompt variant runs are still partial; only the unconstrained bootstrap has more than smoke-test coverage,
deterministic_max_gpt5nano,skipped,deterministic-max task-order cells are incomplete,
