model,task_order,noise_condition,experiment,myth_topic,game_params_name,round,agent,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_1,201,123,0.6119402985074627,6.291513615742562,18.272727272727273,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_2,216,117,0.5416666666666666,6.085745666590465,21.6,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_2,207,123,0.5942028985507246,6.213758636128306,22.88888888888889,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_1,200,118,0.59,6.091047631567464,22.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_1,209,130,0.6220095693779905,6.281808419714094,20.8,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_2,200,123,0.615,6.19196720755001,24.875,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_2,200,122,0.61,6.279659497988074,19.9,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_1,199,122,0.6130653266331658,6.233092660569361,24.75,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_1,196,116,0.5918367346938775,6.101387735198269,21.666666666666668,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_2,204,126,0.6176470588235294,6.3970001393124125,16.916666666666668,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_2,196,121,0.6173469387755102,6.224724767550277,19.5,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_1,207,118,0.5700483091787439,6.199304807692533,20.6,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_1,198,121,0.6111111111111112,6.1733194202985455,24.625,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_2,204,128,0.6274509803921569,6.42030712982314,22.555555555555557,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_2,197,122,0.6192893401015228,6.317504595259522,21.77777777777778,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_1,206,128,0.6213592233009708,6.378156984525265,22.77777777777778,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_1,205,135,0.6585365853658537,6.437591014464971,20.4,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_2,200,128,0.64,6.392304794611076,22.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,10,Agent_2,200,125,0.625,6.3308598591135965,22.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,10,Agent_1,197,131,0.6649746192893401,6.405109039590908,21.77777777777778,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_1,210,120,0.5714285714285714,6.199086257875063,17.5,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_2,220,120,0.5454545454545454,6.334010184150779,16.923076923076923,13
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_2,175,98,0.56,5.765610105899458,17.4,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_1,199,113,0.5678391959798995,6.02959756355527,16.5,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_1,206,115,0.558252427184466,6.104379113113525,20.5,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_2,203,116,0.5714285714285714,6.107097444064299,20.2,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_2,206,128,0.6213592233009708,6.331958568692917,25.625,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_1,202,120,0.594059405940594,6.281346504520641,22.333333333333332,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_1,205,123,0.6,6.209446650395481,22.77777777777778,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_2,203,125,0.6157635467980296,6.237591586895288,25.25,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_2,205,126,0.6146341463414634,6.265929956629641,18.545454545454547,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_1,203,129,0.6354679802955665,6.3961359309215675,22.444444444444443,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_1,205,122,0.5951219512195122,6.293179332827584,25.5,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_2,202,120,0.594059405940594,6.228571505996443,22.333333333333332,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_2,209,121,0.5789473684210527,6.239695937542796,23.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_1,206,120,0.5825242718446602,6.198735747918441,22.77777777777778,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_1,202,115,0.5693069306930693,6.0847253552922185,20.1,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_2,201,114,0.5671641791044776,6.171848910526682,28.571428571428573,7
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,10,Agent_2,201,116,0.5771144278606966,6.141869722104264,22.22222222222222,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,10,Agent_1,203,127,0.625615763546798,6.371372659446501,20.2,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_1,189,128,0.6772486772486772,6.385626681742611,18.9,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_2,209,137,0.6555023923444976,6.443075063986226,19.0,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_2,198,132,0.6666666666666666,6.534025046440566,16.416666666666668,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_1,209,130,0.6220095693779905,6.468462039826602,18.90909090909091,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_1,199,136,0.6834170854271356,6.605176299503415,22.0,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_2,207,120,0.5797101449275363,6.264712940949997,20.6,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_2,199,124,0.6231155778894473,6.407770968693187,19.8,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_1,203,125,0.6157635467980296,6.469159775836002,20.2,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_1,200,122,0.61,6.298405573754439,19.9,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_2,200,121,0.605,6.303824935671969,22.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_2,202,123,0.6089108910891089,6.3280357897153285,22.333333333333332,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_1,201,124,0.6169154228855721,6.3624314289173105,25.0,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_1,196,120,0.6122448979591837,6.231320121265418,17.727272727272727,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_2,204,127,0.6225490196078431,6.409325424997679,22.555555555555557,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_2,200,118,0.59,6.165028776123127,19.9,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_1,206,124,0.6019417475728155,6.270862556058174,22.77777777777778,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_1,203,125,0.6157635467980296,6.378270753057043,22.444444444444443,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_2,206,134,0.6504854368932039,6.471687989985212,20.6,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,10,Agent_2,201,119,0.5920398009950248,6.196781098641889,22.22222222222222,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,10,Agent_1,205,129,0.6292682926829268,6.4564736224644195,25.5,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_1,204,113,0.553921568627451,6.151579178265317,17.0,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_2,205,131,0.6390243902439025,6.4839904286725165,15.76923076923077,13
