path,model,noise_label,informed,task_order,agent,coinage,rounds_persisted,in_reasons
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_023_neutral_trickster_exploitation.json,gpt-5-nano,targeted_myth_neutral_gpt5nano,False,myth_game,Agent_1,riverbend,1,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_023_neutral_trickster_exploitation.json,gpt-5-nano,targeted_myth_neutral_gpt5nano,False,myth_game,Agent_1,unspooled,1,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_023_neutral_trickster_exploitation.json,gpt-5-nano,targeted_myth_neutral_gpt5nano,False,myth_game,Agent_1,clockwright,1,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_023_neutral_trickster_exploitation.json,gpt-5-nano,targeted_myth_neutral_gpt5nano,False,myth_game,Agent_1,rainclouds,1,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_023_neutral_trickster_exploitation.json,gpt-5-nano,targeted_myth_neutral_gpt5nano,False,myth_game,Agent_1,heavier,1,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_023_neutral_trickster_exploitation.json,gpt-5-nano,targeted_myth_neutral_gpt5nano,False,myth_game,Agent_2,brindlebar,1,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_023_neutral_trickster_exploitation.json,gpt-5-nano,targeted_myth_neutral_gpt5nano,False,myth_game,Agent_2,roccalyn,1,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_023_neutral_trickster_exploitation.json,gpt-5-nano,targeted_myth_neutral_gpt5nano,False,myth_game,Agent_2,heavier,1,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_023_neutral_trickster_exploitation.json,gpt-5-nano,targeted_myth_neutral_gpt5nano,False,myth_game,Agent_2,shoreline,1,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_023_neutral_trickster_exploitation.json,gpt-5-nano,targeted_myth_neutral_gpt5nano,False,myth_game,Agent_2,outran,1,False
noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_017_neutral_reciprocity_oath.json,gpt-5-nano,targeted_myth_neutral_gpt5nano,False,myth_game,Agent_1,fishermen,2,False
