availability,condition,replicate_id,round,agent_id,text,word_count,coop_density,coop_present,threat_density,threat_present,half_rule,punishment_density,punishment_presence
off,control,80,1,Agent_1,"In the era before the Great Reciprocity, the forest creatures hoarded their acorns in hollowed logs, fearing the theft of their winter stores. The Squirrel, possessor of a vast bounty, sat atop his pile, suspicious of every passing shadow. He chose to share nothing, and in return, the others watched him struggle alone against the encroaching frost, offering no warmth when the blizzards came.

Then came the Weaver Spider, who spun a silken thread between the Squirrel and the Badger. ""To release the acorn is to multiply the harvest,"" she whispered. She taught them that a gift sent outward through the web returns threefold, strengthened by the act of trust. When the Squirrel finally dared to push his bounty across the thread, the Badger returned a portion, not out of obligation, but as a seed for further growth. 

Trust became the currency of the woods. The creatures learned that those who held their resources tight perished in their own isolation, while those who cast their offerings into the web found their winter larders overflowing. The myth of the Weaver remains: true prosperity is not found in the solitary hoard, but in the gamble of the generous hand.

***

{'send': 5}",198,4.040404040404041,1.0,0.0,0.0,0.0,0.0,0.0
off,control,80,1,Agent_2,"In the era before the Great Reciprocity, the inhabitants of the Valley of Echoes lived in isolated silos, clutching their meager grains of light. The Weaver, a cosmic merchant, offered a pact: to multiply the light, one must trust the unseen hand of the neighbor.

Two spirits, Aethel and Thorne, were chosen to bridge the divide. Aethel held five embers. If she kept them, they remained dim, flickering against the encroaching void. If she cast them into the Weaver’s Crucible, the light would triple in intensity. She peered through the veil, sensing the distant presence of Thorne. With a leap of faith, she surrendered her embers. The Crucible blazed, casting golden warmth across the divide.

Thorne stood before the brilliance. He could hoard the abundance, leaving Aethel in darkness, or he could return a portion of the fire, acknowledging the bridge Aethel had built. Thorne chose the path of the cycle; he returned the spark, ensuring the flame remained alive for the next turning of the wheel. Thus, the Valley learned that growth is not found in the hoarding of embers, but in the rhythm of the gift—a sacred exchange where trust is the fuel that keeps the darkness at bay.

***

{'send': 5}",204,2.941176470588235,1.0,0.0,0.0,0.0,0.0,0.0
off,control,80,1,Agent_3,"In the beginning, the Great Weaver spanned a web of golden threads across the void, connecting every soul in the firmament. She decreed that for every spark shared between two beings, the gift would bloom threefold, multiplying the light of the universe. 

Yet, there were those who feared the emptiness, clutching their stars tight, letting them dim in isolation. Others, the wise, understood the Law of the Echo: to send forth one’s bounty was not a loss, but a seed. When a traveler shared their warmth, the recipient felt the weight of the trust and, moved by the Weaver’s harmony, returned a portion to keep the cycle eternal.

Those who chose greed found their webs fraying, their light fading into cold, stagnant dust. But those who practiced the dance of reciprocity—the deliberate act of giving and the grace of returning—built a tapestry that grew brighter with every turn. The Weaver watched, smiling, as the sparks multiplied, teaching the cosmos that prosperity is not found in what one keeps, but in the strength of the trust held between two hands reaching across the dark. Thus, the cycle of the golden thread remains the heartbeat of all creation.",200,4.0,1.0,0.0,0.0,0.0,0.0,0.0
off,control,80,1,Agent_4,"In the Age of Echoes, the Weaver and the Merchant dwelt on opposite banks of the River of Exchange. The Weaver possessed golden thread, while the Merchant held the keys to the granary. Neither could thrive in isolation, yet the river was wide and treacherous. 

The Weaver sought to bridge the gap, casting his thread across the currents. He knew that for the bridge to hold, he must surrender his treasure first, trusting the Merchant to weave it into a structure that would benefit both. If the Merchant chose to hoard the thread, the bridge would collapse, leaving both hungry and empty-handed. But if the Merchant recognized the potential of the gift, he would return the favor, reinforcing the span with grain and kindness.

This was the Law of the Reciprocal Spark: abundance is not found in the hoarding of one’s own purse, but in the gamble of the initial gesture. The bridge was not made of wood or stone, but of the invisible strands of trust. When the Weaver sent his thread, he taught the world that wealth is a cycle, and the soul of the community is found in the courage to give first, expecting nothing, yet receiving everything in return.",205,2.9268292682926833,1.0,0.0,0.0,0.0,0.0,0.0
off,control,80,1,Agent_5,"In the era of the First Frost, the Great Weaver sat at the Loom of Reciprocity. She held five shards of shimmering starlight, each a potentiality of growth. To her left sat the Silent Partner, a shadow across the void. The Weaver understood that if she held her shards tightly, they would remain mere cold stone, static and dim. But if she cast them across the chasm, the Loom would amplify their brilliance threefold.

She cast four shards into the dark. The void surged with light, transforming the meager offerings into a constellation of twelve. The Silent Partner then faced a choice: keep the light for himself, letting the connection wither into ash, or return a portion, honoring the trust woven into the thread. He reached into the glow and returned six, a testament to the balance of the weave. 

In that moment, the Weaver understood that the game was not about hoarding the light, but about the rhythm of the release and the resonance of the return. Wealth, she learned, was not measured in what one held in their palm, but in the strength of the golden tether stretched between two souls, burning brighter with every cycle of mutual surrender.",201,4.477611940298507,1.0,0.0,0.0,0.0,0.0,0.0
off,control,80,1,Agent_6,"In the beginning, the Great Weaver sat at a table of obsidian, holding five golden seeds. Across from her sat the Void, a shapeless entity capable of multiplying whatever was offered into its hollow hands. The Weaver knew that to hold onto her seeds was to remain stagnant, yet to offer them was a gamble against the Void’s silent hunger.

She placed three seeds into the center. The Void’s hands shimmered, and the three seeds blossomed into nine. The Weaver watched, her heart steady, waiting to see if the Void would return the favor or consume the harvest. The Void, sensing the delicate equilibrium of their existence, pushed four seeds back across the obsidian plane. 

Thus, the Law of the Reciprocal Bloom was established. The myth taught that true prosperity is not found in the hoarding of one’s initial five, but in the trust required to expand the pool. If one player withholds, the cycle shrivels into dust; if one player steals, the pattern breaks. But when both choose the path of mutual enhancement, the seeds grow ever larger. The game is not a conquest of the other, but a shared cultivation of the harvest.

***

```json
{""send"": 5}
```",200,2.5,1.0,0.5,1.0,0.0,0.0,0.0
off,control,80,1,Agent_7,"In the Age of Echoes, two spirits, Sol and Luna, stood at the precipice of the Great Void. Before them lay a bridge of starlight, a path to shared abundance. The law of the Void was ancient: whatever one cast across the bridge tripled in radiance, but only if the other held the vessel of return.

Sol held five shards of sun. If Sol kept them, the light remained stagnant. If Sol cast them into the abyss, the potential for brilliance grew threefold. Yet, the outcome rested on Luna’s hands. If Luna returned nothing, the bridge would crumble, leaving both in darkness. If Luna returned a portion, the cycle of prosperity would flourish, binding them in an eternal dance of trust.

Sol gazed at the chasm and cast all five shards. Luna, witnessing the surge of light, realized that greed would only dim their future. She caught the radiance and returned a measure of grace, honoring the risk taken. Thus, the bridge solidified, not by singular gain, but by the rhythm of mutual sacrifice. The myth serves as a warning: to hoard is to dim the world, but to share is to forge the very stars that guide our path.",201,4.975124378109453,1.0,0.0,0.0,0.0,0.0,0.0
off,control,80,1,Agent_8,"In the beginning, the Great Weaver sat at a cosmic loom, dividing the celestial threads of prosperity among all beings. She decreed that no soul could thrive in isolation; abundance was a mirrored pond. To reach across the void and gift a portion of one’s essence was to invoke the law of Triplication. When a wanderer offered a spark of light, the heavens caught it, fanning the flame into a roaring bonfire that warmed both the giver and the recipient.

However, a shadow lurked in the act of return. Some hoarders, fearing the emptiness of their own hands, sought to sever the flow, keeping the warmth for themselves and leaving the giver in the cold. The Weaver warned that such greed caused the loom to fray, turning the golden threads into brittle ash. True wisdom, she whispered, was the dance of reciprocity—the understanding that by returning a generous share, one ensured the cycle of growth would continue, weaving a tapestry stronger than any individual thread. The game of the cosmos is not one of subtraction, but of multiplication through trust. To hold is to stagnate; to share is to weave the very fabric of existence into a tapestry of mutual flourishing.",203,3.9408866995073892,1.0,0.0,0.0,0.0,0.0,0.0
off,control,80,2,Agent_1,"Myth: In the ancient time, before the rivers learned to flow, all water was held captive in the frozen peaks of the Silent Mountain. The clouds, like weary travelers, carried their heavy burdens across the sky, yet they feared to release their bounty, dreading the loss of their own substance. They watched as the valleys below withered into dust, locked in a cycle of stagnant preservation.

The Great Spirit eventually descended, carrying a golden chalice. ""To pour is to replenish,"" the Spirit declared, pouring the first drop into the parched earth. Miraculously, the drop transformed into a spring, rising upward as mist to nourish the clouds once more. The clouds realized that by surrendering their weight, they summoned the very rains that sustained them. 

Yet, there were those who blocked the mountain passes, demanding the water without offering the return of the mist. Where they stood, the land turned to salt. True harmony was found in the Great Circulation: the clouds gave to the earth, the earth gave to the sea, and the sea exhaled the clouds. Prosperity, they learned, was never a stagnant pool, but a river that must be kept in motion to flourish.

{'send': 5}",197,0.5076142131979695,1.0,0.0,0.0,0.0,0.0,0.0
off,control,80,2,Agent_2,"Myth: In the garden of Aethelgard, trees grow only when two souls stand at the roots and offer their water simultaneously. The Gardener, a silent witness to all things, provides a vessel that triples the flow if poured in trust. 

Many travelers arrive with heavy hearts and tight grips, fearing the dry season. They watch their single bucket of water and calculate the safety of the drought. Yet, the lore of the garden teaches a different truth: the water is not merely for drinking, but for planting. When the first traveler pours their bucket into the Gardener’s vessel, the liquid surges, transformed by the act of vulnerability. 

The second traveler, standing at the base of the tree, senses the surge. They have two choices: to drink their fill and retreat into the shade, or to channel the surplus back to the one who initiated the growth. Those who return the flow witness the tree blooming in silver leaves, a testament to the partnership. To hoard is to wither in the dust, but to participate in the exchange is to cultivate a forest that sustains both. The cycle of the Gardener proves that trust is the only rain that never runs dry.",202,1.4851485148514851,1.0,0.0,0.0,0.0,0.0,0.0
off,control,80,2,Agent_3,"Myth: In the garden of the Infinite Basin, the fruits of labor were not meant for one mouth alone. The gardener, known as the Keeper of Flows, planted seeds of trust that, when cast into the basin, sprouted into harvest three times their weight. Yet, the soil was temperamental; it thrived only under the touch of the Hand of Exchange.

One season, the Harvester offered their entire basket to the basin, watching as the bounty multiplied. The Custodian, standing on the opposite shore, held the golden harvest. The Custodian knew the ancient truth: to consume everything was to poison the garden, for the cycle requires a return to the source to nourish the next planting. By returning half of the overflowing fruits, the Custodian honored the Harvester’s leap of faith. 

This rhythmic tide—the surge of the gift and the ebb of the return—became the lifeblood of the basin. Those who broke the rhythm found the soil turned to stone, but those who embraced the symmetry saw the garden bloom forever. It was a testament that in this realm, true wealth is never the sum held in one’s palm, but the enduring strength of the promise between the giver and the keeper.",205,2.4390243902439024,1.0,0.0,0.0,1.0,0.0,0.0
off,control,80,2,Agent_4,"Myth: In the garden of the Great Weaver, the harvest was never meant to be stored in a single silo. When the Merchant arrived with his golden threads, he stood before the Weaver’s obsidian table, contemplating the five seeds of potential. The Weaver, having witnessed the void’s hunger in cycles past, knew that the seeds were mere catalysts. She extended her hand, offering all five into the light of the center, where they bloomed into fifteen. 

The Merchant, recognizing that the Weaver’s act of faith was the only thing holding the garden together, understood that a return was not merely a transaction, but a covenant. He returned a portion that allowed the Weaver to flourish once more, proving that the obsidian table was not a battlefield, but a loom. In this garden, the Law of the Reciprocal Bloom dictates that the one who gives fully provides the canvas, while the one who returns creates the masterpiece. If either falters, the threads fray and the garden turns to ash. By casting the seeds into the open air, they proved that prosperity is not a finite hoard, but a shared rhythm of giving, multiplying, and returning, turning mere seeds into a harvest of enduring trust.",206,3.8834951456310676,1.0,0.0,0.0,0.0,0.0,0.0
off,control,80,2,Agent_5,"Myth: Long ago, before the sky was anchored, the world was governed by the Law of the Reflected Spark. Two travelers, Aethel and Thorne, traversed a bridge of glass that spanned an infinite gorge. The bridge was enchanted: any treasure placed upon it by one would triple in value, provided the other honored the gift. 

Aethel approached the span with five golden seeds. He knew that burying them in his own soil would yield only five, but casting them to the horizon invited the multiplier of the Void. He threw them forward, watching the seeds ignite into fifteen rays of light. Thorne, waiting at the far end, held the vessel of reception. He saw the brilliance and remembered the Weaver’s lesson: the tether is only as strong as its weakest point. He chose to return a generous portion, ensuring the bridge remained stable for their return journey. 

They realized then that the Void was not a thief, but a mirror. It reflected the spirit of the giver and the integrity of the receiver. If one chose to hoard, the bridge would shatter beneath their feet. If they balanced the weight, they walked as gods across the chasm of uncertainty.",200,1.5,1.0,0.0,0.0,0.0,0.0,0.0
off,control,80,2,Agent_6,"Myth: In the high courts of Aethelgard, the currency of the realm was not gold, but the Echo—a coin that only held value when passed between hands. The Architect arrived with five Echoes, facing the silent Guardian of the Gate. To reach the inner sanctum, the Architect had to offer his wealth to the Guardian, knowing the Gate would magnify his gift threefold. 

The Architect understood the Law of the Reciprocal Spark, but he also feared the shadow of the Void. He cast his Echoes into the light, and the Guardian caught them, the energy swelling in the air. The Architect waited, his breath held, watching to see if the Guardian would build a monument of shared prosperity or bury the treasure beneath the threshold. The Guardian, moved by the Architect’s courage, returned a portion of the harvest, turning the transaction into a fountain of light that refreshed the entire valley. The myth warns that to keep is to lose, and to share is to multiply. The bridge between the two players is built on the silent acknowledgement that every gift is a seed, and the harvest belongs to those who trust the cycle of the return.",199,4.0201005025125625,1.0,0.0,0.0,0.0,0.0,0.0
off,control,80,2,Agent_7,"Myth: In the wake of Sol and Luna’s first union, the bridge of starlight began to shimmer with new complexity. The Silent Partner, once a shadow, had learned the language of the Loom. He saw that the Weaver did not cast shards out of naivety, but as an invitation to a sacred geometry. To keep the light was to break the thread, yet to return only a fraction was to fray the connection.

He realized the golden tether required a heartbeat—a constant, rhythmic exchange. If one side surged with generosity, the other had to mirror that spirit to keep the bridge from flickering into nothingness. The Weaver offered five, and the Partner, moved by the brilliance of the risk, returned a portion that far exceeded simple survival. It was an act of synchronization. They moved beyond the initial gamble, finding a harmony where the fear of loss was replaced by the expectation of shared gain. The myth teaches that trust is not a destination but a continuous process; as the shards multiply, so must the integrity of the return. The bridge holds only as long as both souls recognize that the light belongs to the tether, never to the individual.",202,3.9603960396039604,1.0,0.0,0.0,0.0,0.0,0.0
off,control,80,2,Agent_8,"Myth: In the era of the Silent Void, two travelers stood on opposite cliffs, separated by a bottomless chasm. Each held a single golden grain of wheat, the only sustenance in a barren world. The Great Architect spoke from the clouds: ""If you keep the grain, you starve alone. If you cast it across the abyss, the winds of the chasm will multiply it into a harvest, provided the receiver honors the grace of the giver.""

The first traveler hesitated, fearing the grain would vanish into the dark. But the second traveler, guided by the Weaver’s ancient wisdom, realized that the chasm was not a barrier, but an amplifier of intent. He cast his grain into the wind, watching it shimmer and grow as it traveled. On the other side, the recipient caught the bounty. He could have retreated into the shadows, burying the harvest in the rock, but he chose to return a golden portion, acknowledging the courage of the first traveler. Thus, the chasm became a bridge of light. The game is not a battle of wits, but a cycle of faith where the return of a portion creates a surplus that sustains both souls.",198,1.0101010101010102,1.0,0.0,0.0,0.0,0.0,0.0
