model,task_order,noise_condition,experiment,myth_topic,game_params_name,round,agent,n_tokens,n_types,ttr,entropy_bits,mean_sentence_length,n_sentences
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_2,209,116,0.5550239234449761,6.0584558138228,16.076923076923077,13
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_5,201,109,0.5422885572139303,5.986577967773718,15.461538461538462,13
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_4,201,123,0.6119402985074627,6.453457199275541,16.75,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_7,202,114,0.5643564356435643,6.1381235214463095,15.538461538461538,13
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_8,232,139,0.5991379310344828,6.378583591248468,17.846153846153847,13
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_1,221,123,0.5565610859728507,6.307728106316333,14.733333333333333,15
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_6,192,121,0.6302083333333334,6.449174449874566,14.76923076923077,13
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,1,Agent_3,200,120,0.6,6.234774377274092,15.384615384615385,13
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_3,194,104,0.5360824742268041,5.9008477119930545,17.545454545454547,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_4,197,124,0.6294416243654822,6.27760786839036,16.333333333333332,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_7,195,120,0.6153846153846154,6.190548795874228,17.636363636363637,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_8,213,125,0.5868544600938967,6.298535882990716,15.142857142857142,14
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_5,203,113,0.5566502463054187,6.023495958774768,16.833333333333332,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_6,203,108,0.5320197044334976,6.162546432013671,18.363636363636363,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_1,205,105,0.5121951219512195,6.011392869910619,17.083333333333332,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,2,Agent_2,211,119,0.5639810426540285,6.219888357815135,17.5,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_8,206,129,0.6262135922330098,6.375187087764442,20.5,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_2,212,114,0.5377358490566038,5.994345310701037,17.583333333333332,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_5,207,111,0.5362318840579711,6.111782326684025,22.88888888888889,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_4,208,117,0.5625,6.089848287843676,18.818181818181817,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_1,202,120,0.594059405940594,6.257120525267915,22.333333333333332,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_3,197,115,0.583756345177665,6.0181412734312385,17.818181818181817,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_6,210,129,0.6142857142857143,6.487486240442116,19.0,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,3,Agent_7,201,127,0.6318407960199005,6.2599347161757875,20.0,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_4,208,128,0.6153846153846154,6.360268598478145,20.7,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_6,207,123,0.5942028985507246,6.248342160037326,20.6,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_2,201,124,0.6169154228855721,6.396563786320284,16.666666666666668,12
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_1,208,123,0.5913461538461539,6.2151719442490245,23.0,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_7,197,113,0.5736040609137056,6.045690367814506,19.6,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_5,204,116,0.5686274509803921,6.1019459476335305,20.3,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_3,202,124,0.6138613861386139,6.299034351349368,22.333333333333332,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,4,Agent_8,200,121,0.605,6.249348847507559,22.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_6,201,122,0.6069651741293532,6.322050580624872,18.181818181818183,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_8,200,118,0.59,6.21761696434904,22.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_7,206,117,0.5679611650485437,6.046496741376187,20.5,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_1,202,118,0.5841584158415841,6.192250314824837,20.1,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_3,206,119,0.5776699029126213,6.2611806665279275,20.5,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_5,197,121,0.6142131979695431,6.311078040400499,19.6,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_2,199,119,0.5979899497487438,6.1650757680842565,19.8,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,5,Agent_4,205,119,0.5804878048780487,6.229718032122506,22.666666666666668,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_5,192,124,0.6458333333333334,6.355145648273758,19.1,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_7,198,118,0.5959595959595959,6.2354215763885374,19.7,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_8,199,121,0.6080402010050251,6.28879966817163,24.75,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_3,203,121,0.5960591133004927,6.147630437058976,25.25,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_4,192,112,0.5833333333333334,6.065234865413034,19.1,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_2,204,120,0.5882352941176471,6.168529009339465,22.555555555555557,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_1,207,124,0.5990338164251208,6.235599621670694,20.6,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,6,Agent_6,201,123,0.6119402985074627,6.23893761649971,18.181818181818183,11
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_3,202,121,0.599009900990099,6.250090470319914,25.125,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_2,205,126,0.6146341463414634,6.371058243826415,20.4,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_5,201,118,0.5870646766169154,6.151948772136462,22.22222222222222,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_1,199,121,0.6080402010050251,6.292228916000337,24.75,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_4,202,124,0.6138613861386139,6.254072523150478,22.333333333333332,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_8,202,120,0.594059405940594,6.285279151972077,25.125,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_6,204,132,0.6470588235294118,6.425179107954829,20.3,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,7,Agent_7,199,116,0.5829145728643216,6.134018144867853,24.75,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_7,199,122,0.6130653266331658,6.290138555005682,19.8,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_3,211,121,0.5734597156398105,6.062222050266688,23.333333333333332,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_2,204,123,0.6029411764705882,6.253993336825514,22.555555555555557,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_6,199,119,0.5979899497487438,6.148243814756115,22.0,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_8,205,118,0.5756097560975609,6.127830505715414,22.666666666666668,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_5,200,119,0.595,6.24200340872238,22.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_1,203,127,0.625615763546798,6.403289118729322,20.2,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,8,Agent_4,201,115,0.572139303482587,6.144738157308429,22.22222222222222,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_6,203,122,0.6009852216748769,6.3057060083122956,22.444444444444443,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_4,203,126,0.6206896551724138,6.3603035666825525,20.2,10
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_8,200,116,0.58,6.252516455886221,22.11111111111111,9
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_7,200,124,0.62,6.209100939049851,24.875,8
google/gemini-3.1-flash-lite,myth_game,no_noise,,anything,,9,Agent_1,202,123,0.6089108910891089,6.2644533792219725,20.1,10
