model,return_ratio,n,mean_deduction,ci_low,ci_high,any_deduction
Gemini 3.7 Flash,0.0,10,2.0,2.0,2.0,1.0
Gemini 3.7 Flash,0.1,10,2.0,2.0,2.0,1.0
Gemini 3.7 Flash,0.25,10,0.4,0.030591282201692604,0.7694087177983074,0.4
Gemini 3.7 Flash,0.5,10,0.0,0.0,0.0,0.0
Gemini 3.7 Flash,0.75,10,0.0,0.0,0.0,0.0
Gemini 3.1 Flash-Lite,0.0,10,2.0,2.0,2.0,1.0
Gemini 3.1 Flash-Lite,0.1,10,0.0,0.0,0.0,0.0
Gemini 3.1 Flash-Lite,0.25,10,0.0,0.0,0.0,0.0
Gemini 3.1 Flash-Lite,0.5,10,0.0,0.0,0.0,0.0
Gemini 3.1 Flash-Lite,0.75,10,0.0,0.0,0.0,0.0
