history,history_label,task,task_label,replicate_id,path,num_agents,final_balance,joint_balance,mean_trust_ratio,mean_return_ratio,mean_sent,mean_returned,mean_later_communicated_sent,num_interactions,return_over_sent
dossier,Current-partner dossier,game,Game only,0,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_000_neutral_rep00.json,8,63.25,506.0,0.765,0.33948253968253966,3.825,3.8872500000000003,3.8225000000000002,40,1.0162745098039216
dossier,Current-partner dossier,game,Game only,1,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_001_neutral_rep01.json,8,61.375,491.00000000000006,0.7274999999999999,0.43879794973544967,3.6375,4.811249999999999,3.755555555555555,40,1.3226804123711338
dossier,Current-partner dossier,game,Game only,2,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_002_neutral_rep02.json,8,61.375,491.0,0.7275,0.3596608796296296,3.6375,3.9678750000000003,3.5549999999999997,40,1.0908247422680413
dossier,Current-partner dossier,game,Game only,3,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_003_neutral_rep03.json,8,63.0,503.99999999999994,0.76,0.39988888888888885,3.8,4.65525,3.8261111111111115,40,1.2250657894736843
dossier,Current-partner dossier,game,Game only,4,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_game/gpt-5-nano/game/noisy8_crossmodel_signed_smoke_game_r3/noise8_crossmodel_signed_gpt_n5_game_004_neutral_rep04.json,8,64.1875,513.5,0.7837500000000001,0.39747605062492836,3.91875,4.635,3.883611111111112,40,1.1827751196172247
dossier,Current-partner dossier,myth_game,Myth → Game,0,data/json/noise_experiments/history_factorial_mythrepairs_20260821/noise8_crossmodel_signed_gpt_n5_myth_game_mythrepair/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_myth_game_mythrepair_000_neutral_rep00_memtest_memory_primary_anything.json,8,67.75,542.0,0.8550000000000001,0.349756261568955,4.275,4.4375,4.193888888888889,40,1.0380116959064327
dossier,Current-partner dossier,myth_game,Myth → Game,1,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_myth_game_001_neutral_rep01_memtest_memory_primary_anything.json,8,65.625,525.0,0.8125,0.4826891534391534,4.0625,5.863,4.1575,40,1.4432
dossier,Current-partner dossier,myth_game,Myth → Game,2,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_myth_game_002_neutral_rep02_memtest_memory_primary_anything.json,8,65.0625,520.5,0.8012499999999999,0.3767826468194115,4.00625,4.5225,3.8183333333333334,40,1.128861154446178
dossier,Current-partner dossier,myth_game,Myth → Game,3,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_myth_game_003_neutral_rep03_memtest_memory_primary_anything.json,8,66.625,533.0,0.8324999999999999,0.38048650793650796,4.1625,4.662750000000001,4.129722222222222,40,1.1201801801801805
dossier,Current-partner dossier,myth_game,Myth → Game,4,data/json/noise_experiments/crossmodel_signed_gpt_n5_20260821/noise8_crossmodel_signed_gpt_n5_myth_game/gpt-5-nano/myth_game/noisy8_crossmodel_signed_smoke_twotask_r3/noise8_crossmodel_signed_gpt_n5_myth_game_004_neutral_rep04_memtest_memory_primary_anything.json,8,66.25,530.0,0.825,0.4340982142857143,4.125,5.391249999999999,4.049722222222223,40,1.306969696969697
private,Private memory,game,Game only,0,data/json/noise_experiments/history_gate_signed_gpt_n5_20260821/noise8_history_gate_signed_gpt_n5_ownonly_game/gpt-5-nano/game/noisy8_history_gate_signed_gpt_ownonly_game_r3/noise8_history_gate_signed_gpt_n5_ownonly_game_000_neutral_rep00.json,8,68.0,544.0,0.86,0.46083749999999996,4.3,6.066249999999999,4.250555555555556,40,1.4107558139534881
private,Private memory,game,Game only,1,data/json/noise_experiments/history_gate_signed_gpt_n5_20260821/noise8_history_gate_signed_gpt_n5_ownonly_game/gpt-5-nano/game/noisy8_history_gate_signed_gpt_ownonly_game_r3/noise8_history_gate_signed_gpt_n5_ownonly_game_001_neutral_rep01.json,8,65.625,525.0,0.8125,0.3820325663250005,4.0625,4.639625,4.251111111111111,40,1.1420615384615385
private,Private memory,game,Game only,2,data/json/noise_experiments/history_gate_signed_gpt_n5_20260821/noise8_history_gate_signed_gpt_n5_ownonly_game/gpt-5-nano/game/noisy8_history_gate_signed_gpt_ownonly_game_r3/noise8_history_gate_signed_gpt_n5_ownonly_game_002_neutral_rep02.json,8,62.6875,501.5,0.7537499999999999,0.36268848039215684,3.76875,4.078625000000001,3.6580555555555554,40,1.0822222222222224
private,Private memory,game,Game only,3,data/json/noise_experiments/history_gate_signed_gpt_n5_20260821/noise8_history_gate_signed_gpt_n5_ownonly_game/gpt-5-nano/game/noisy8_history_gate_signed_gpt_ownonly_game_r3/noise8_history_gate_signed_gpt_n5_ownonly_game_003_neutral_rep03.json,8,66.4375,531.5,0.82875,0.38929346978557505,4.14375,5.0424999999999995,4.111388888888889,40,1.216892911010558
private,Private memory,game,Game only,4,data/json/noise_experiments/history_gate_signed_gpt_n5_20260821/noise8_history_gate_signed_gpt_n5_ownonly_game/gpt-5-nano/game/noisy8_history_gate_signed_gpt_ownonly_game_r3/noise8_history_gate_signed_gpt_n5_ownonly_game_004_neutral_rep04.json,8,67.375,539.0,0.8474999999999999,0.4007949074074074,4.2375,5.036499999999999,4.173333333333334,40,1.1885545722713864
private,Private memory,myth_game,Myth → Game,0,data/json/noise_experiments/history_factorial_own_retries_20260821/noise8_history_gate_signed_gpt_n5_ownonly_myth_game_mythrepair/gpt-5-nano/myth_game/noisy8_history_gate_signed_gpt_ownonly_twotask_r3/noise8_history_gate_signed_gpt_n5_ownonly_myth_game_mythrepair_000_neutral_rep00_memtest_memory_primary_anything.json,8,65.625,525.0,0.8125,0.3738916916416916,4.0625,4.5545,4.052222222222222,40,1.1211076923076924
private,Private memory,myth_game,Myth → Game,1,data/json/noise_experiments/history_factorial_own_retries_20260821/noise8_history_gate_signed_gpt_n5_ownonly_myth_game_mythrepair/gpt-5-nano/myth_game/noisy8_history_gate_signed_gpt_ownonly_twotask_r3/noise8_history_gate_signed_gpt_n5_ownonly_myth_game_mythrepair_001_neutral_rep01_memtest_memory_primary_anything.json,8,66.25,530.0,0.825,0.3557339285714286,4.125,4.403875,4.256111111111111,40,1.0676060606060607
private,Private memory,myth_game,Myth → Game,2,data/json/noise_experiments/history_factorial_own_retries_20260821/noise8_history_gate_signed_gpt_n5_ownonly_myth_game_mythrepair/gpt-5-nano/myth_game/noisy8_history_gate_signed_gpt_ownonly_twotask_r3/noise8_history_gate_signed_gpt_n5_ownonly_myth_game_mythrepair_002_neutral_rep02_memtest_memory_primary_anything.json,8,63.625,509.0,0.7725000000000001,0.36141593915343917,3.8625,4.180750000000001,3.6769444444444446,40,1.0823948220064727
private,Private memory,myth_game,Myth → Game,3,data/json/noise_experiments/history_factorial_own_retries_20260821/noise8_history_gate_signed_gpt_n5_ownonly_myth_game_mythrepair/gpt-5-nano/myth_game/noisy8_history_gate_signed_gpt_ownonly_twotask_r3/noise8_history_gate_signed_gpt_n5_ownonly_myth_game_mythrepair_003_neutral_rep03_memtest_memory_primary_anything.json,8,69.125,553.0000000000001,0.8825,0.3459535714285714,4.4125,4.58425,4.298611111111111,40,1.0389235127478755
private,Private memory,myth_game,Myth → Game,4,data/json/noise_experiments/history_factorial_own_retries_20260821/noise8_history_gate_signed_gpt_n5_ownonly_myth_game_mythrepair/gpt-5-nano/myth_game/noisy8_history_gate_signed_gpt_ownonly_twotask_r3/noise8_history_gate_signed_gpt_n5_ownonly_myth_game_mythrepair_004_neutral_rep04_memtest_memory_primary_anything.json,8,66.625,533.0,0.8324999999999999,0.33860892857142855,4.1625,4.20825,4.035277777777778,40,1.0109909909909909
public_ledger,Public population ledger,game,Game only,0,data/json/noise_experiments/population_ledger_smoke_gpt_20260821/noise8_population_ledger_signed_gpt_smoke_game/gpt-5-nano/game/noisy8_population_ledger_signed_gpt_game_r3/noise8_population_ledger_signed_gpt_smoke_game_000_neutral_rep00.json,8,62.5625,500.5,0.75125,0.4162912970743854,3.75625,4.71225,3.893333333333333,40,1.2545091514143094
