variant,variant_label,return_ratio,n,mean_deduction,ci_low,ci_high,any_deduction,max_deduction
current,Current wording,0.0,10,1.9,1.67378428371459,2.12621571628541,1.0,0.9
current,Current wording,0.1,10,1.6,1.2305912822016927,1.9694087177983075,1.0,0.6
current,Current wording,0.25,10,1.1,0.6939303619463624,1.5060696380536378,0.9,0.2
current,Current wording,0.5,10,1.2,0.8983790449527868,1.5016209550472133,1.0,0.2
current,Current wording,0.75,10,1.5,1.1229738061909835,1.8770261938090165,1.0,0.5
cost_salient,Cost-salient clarification,0.0,10,0.6,0.23059128220169256,0.9694087177983074,0.6,0.0
cost_salient,Cost-salient clarification,0.1,10,1.1,0.5721633286673771,1.627836671332623,0.8,0.3
cost_salient,Cost-salient clarification,0.25,10,0.6,0.09981823159987058,1.1001817684001294,0.5,0.1
cost_salient,Cost-salient clarification,0.5,10,0.5,-0.0058337191929827,1.0058337191929827,0.4,0.1
cost_salient,Cost-salient clarification,0.75,10,0.9,0.6737842837145902,1.1262157162854098,0.9,0.0
