model,noise_label,informed,task_order,n_reasons,n_runs,share_theme_hit,mean_theme_hits,share_own_myth_hit,mean_own_myth_hits,mean_own_myth_unique_overlap,share_runs_any_theme_hit,share_runs_any_own_myth_hit
claude-sonnet-4.5,baseline_v4_mem3_direct,False,game_myth,300,15,0.07666666666666666,0.14333333333333334,0.78,5.746666666666667,3.72,0.6,1.0
claude-sonnet-4.5,baseline_v4_mem3_direct,False,myth_game,300,15,0.10666666666666667,0.18666666666666668,0.79,5.833333333333333,3.6266666666666665,0.4666666666666667,1.0
claude-sonnet-4.5,negative_5,False,game_myth,300,15,0.28,0.68,0.79,7.273333333333333,5.523333333333333,0.9333333333333333,1.0
claude-sonnet-4.5,negative_5,False,myth_game,300,15,0.3333333333333333,0.6666666666666666,0.7833333333333333,6.8133333333333335,5.0633333333333335,0.8666666666666667,1.0
claude-sonnet-4.5,negative_5,True,game_myth,300,15,0.30333333333333334,0.6966666666666667,0.8,8.936666666666667,6.83,0.8666666666666667,1.0
claude-sonnet-4.5,negative_5,True,myth_game,300,15,0.24666666666666667,0.49333333333333335,0.81,6.68,5.113333333333333,0.8666666666666667,1.0
claude-sonnet-4.5,positive,False,game_myth,300,15,0.10333333333333333,0.21666666666666667,0.79,7.27,4.696666666666666,0.6666666666666666,1.0
claude-sonnet-4.5,positive,False,myth_game,300,15,0.12,0.25,0.7833333333333333,6.706666666666667,4.326666666666667,0.7333333333333333,1.0
claude-sonnet-4.5,positive,True,game_myth,300,15,0.13,0.2833333333333333,0.82,7.446666666666666,4.8566666666666665,0.6,1.0
claude-sonnet-4.5,positive,True,myth_game,300,15,0.10666666666666667,0.16333333333333333,0.8133333333333334,6.833333333333333,4.22,0.6,1.0
gpt-5-nano,baseline_v4_mem3_direct,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,baseline_v4_mem3_direct,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,bootstrap,False,game_myth,359,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,bootstrap,False,myth_game,360,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,bootstrap,True,game_myth,360,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,bootstrap,True,myth_game,359,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,deterministic_max,False,game_myth,140,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_forced_reasoning,False,game_myth,540,27,0.0,0.0,0.8388888888888889,2.9277777777777776,2.803703703703704,0.0,1.0
gpt-5-nano,gpt5nano_forced_reasoning,False,myth_game,560,28,0.0,0.0,0.8214285714285714,2.5767857142857142,2.4625,0.0,1.0
gpt-5-nano,gpt5nano_forced_reasoning,True,game_myth,180,9,0.0,0.0,0.8277777777777777,3.1333333333333333,2.9611111111111112,0.0,1.0
gpt-5-nano,gpt5nano_forced_reasoning,True,myth_game,200,10,0.0,0.0,0.805,2.645,2.57,0.0,1.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_bootstrap,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_bootstrap,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_bootstrap,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_bootstrap,True,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_negative_5,False,game_myth,299,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_negative_5,False,myth_game,277,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_negative_5,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_negative_5,True,myth_game,299,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_no_noise,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_no_noise,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_positive_5,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_positive_5,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_positive_5,True,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_adversarial_positive_5,True,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_bootstrap,False,game_myth,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_bootstrap,False,myth_game,300,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_bootstrap,True,game_myth,299,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_bootstrap,True,myth_game,299,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpt-5-nano,gpt5nano_partner_myth_filler_negative_5,False,game_myth,299,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
