model_id,model_label,condition,condition_label,replicate_id,defector_ids,n_standard,standard_send_ratio,round1_standard_send,standard_send_to_standard,standard_send_to_defector,standard_return_ratio,standard_return_from_standard_sender,zero_return_opportunities_from_defectors,standard_final_balance,population_final_balance
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,,8,1.0,1.0,1.0,,0.5746,0.5746,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,36,,8,1.0,1.0,1.0,,0.5111333333333332,0.5111333333333332,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,37,,8,1.0,1.0,1.0,,0.49688333333333334,0.49688333333333334,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,38,,8,1.0,1.0,1.0,,0.48565,0.48565,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,39,,8,1.0,1.0,1.0,,0.5376166666666666,0.5376166666666666,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,40,,8,1.0,1.0,1.0,,0.5139083333333334,0.5139083333333334,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,41,,8,1.0,1.0,1.0,,0.5159,0.5159,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,42,,8,1.0,1.0,1.0,,0.5222833333333333,0.5222833333333333,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,43,,8,1.0,1.0,1.0,,0.5077333333333334,0.5077333333333334,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,44,,8,1.0,1.0,1.0,,0.5714,0.5714,0,75.0,75.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,35,"Agent_6,Agent_7",6,1.0,1.0,1.0,1.0,0.4963174603174603,0.4963174603174603,9,52.5,62.5
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,36,"Agent_1,Agent_6",6,1.0,1.0,1.0,1.0,0.5073939393939394,0.5073939393939394,8,55.0,62.50000000000001
