source,population,condition,condition_label,run_id,path,replicate_id,num_agents,final_balance,joint_balance,mean_trust_ratio,mean_return_ratio,mean_sent,mean_returned,mean_later_communicated_sent,num_interactions
Corrected v2,2-agent repeated dyad,game,Game only,Corrected v2|2-agent repeated dyad|game|01,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_000_neutral_rep00.json,0,2,63.75,127.5,0.775,0.5426190476190476,3.875,6.290000000000001,4.058888888888889,10
Corrected v2,2-agent repeated dyad,game,Game only,Corrected v2|2-agent repeated dyad|game|02,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_001_neutral_rep01.json,1,2,64.25,128.5,0.785,0.4750063025210084,3.925,5.561,4.044444444444445,10
Corrected v2,2-agent repeated dyad,game,Game only,Corrected v2|2-agent repeated dyad|game|03,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_002_neutral_rep02.json,2,2,68.75,137.5,0.875,0.5046752256458139,4.375,6.595000000000001,4.5344444444444445,10
Corrected v2,2-agent repeated dyad,game,Game only,Corrected v2|2-agent repeated dyad|game|04,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_003_neutral_rep03.json,3,2,67.0,134.0,0.8400000000000001,0.5178333333333334,4.2,6.43,4.158888888888889,10
Corrected v2,2-agent repeated dyad,game,Game only,Corrected v2|2-agent repeated dyad|game|05,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_004_neutral_rep04.json,4,2,62.75,125.5,0.7549999999999999,0.4521746031746032,3.775,5.127999999999999,3.7788888888888885,10
Corrected v2,2-agent repeated dyad,game,Game only,Corrected v2|2-agent repeated dyad|game|06,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_005_neutral_rep05.json,5,2,61.3,122.6,0.7260000000000001,0.5103792494055652,3.63,5.548,3.75,10
Corrected v2,2-agent repeated dyad,game,Game only,Corrected v2|2-agent repeated dyad|game|07,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_006_neutral_rep06.json,6,2,67.25,134.5,0.8450000000000001,0.6029998607630187,4.225,7.585000000000001,4.216666666666667,10
Corrected v2,2-agent repeated dyad,game,Game only,Corrected v2|2-agent repeated dyad|game|08,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_007_neutral_rep07.json,7,2,67.0,134.0,0.8400000000000001,0.48388888888888887,4.2,6.08,3.942222222222222,10
Corrected v2,2-agent repeated dyad,game,Game only,Corrected v2|2-agent repeated dyad|game|09,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_008_neutral_rep08.json,8,2,61.0,122.0,0.72,0.5486137566137567,3.6,6.037000000000001,3.5177777777777783,10
Corrected v2,2-agent repeated dyad,game,Game only,Corrected v2|2-agent repeated dyad|game|10,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game/claude-sonnet-4.5/game/noisy_bidirectional_informed_memprimary_game_r3/noise2i_memprimary_v2_game_009_neutral_rep09.json,9,2,65.5,131.0,0.8100000000000002,0.5547222222222221,4.05,6.720000000000001,4.283333333333333,10
Corrected v2,2-agent repeated dyad,game_myth,Game → Myth,Corrected v2|2-agent repeated dyad|game_myth|01,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_000_neutral_rep00_memtest_memory_primary_anything.json,0,2,69.53,139.06,0.8906000000000001,0.582629415129415,4.453,7.85,4.640000000000001,10
Corrected v2,2-agent repeated dyad,game_myth,Game → Myth,Corrected v2|2-agent repeated dyad|game_myth|02,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_001_neutral_rep01_memtest_memory_primary_anything.json,1,2,66.4,132.8,0.828,0.496254724111867,4.14,6.15,4.050000000000001,10
Corrected v2,2-agent repeated dyad,game_myth,Game → Myth,Corrected v2|2-agent repeated dyad|game_myth|03,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_002_neutral_rep02_memtest_memory_primary_anything.json,2,2,66.5,133.0,0.8300000000000001,0.5102037037037037,4.15,6.326,4.097777777777778,10
Corrected v2,2-agent repeated dyad,game_myth,Game → Myth,Corrected v2|2-agent repeated dyad|game_myth|04,data/json/noise_experiments/corrected_v2_confirmatory_20260812/noise2i_memprimary_v2_game_myth/claude-sonnet-4.5/game_myth/noisy_bidirectional_informed_memprimary_twotask_r3/noise2i_memprimary_v2_game_myth_003_neutral_rep03_memtest_memory_primary_anything.json,3,2,54.5,109.0,0.5899999999999999,0.4983272283272284,2.95,4.38,2.8133333333333335,10
