trial_id,call_order,variant,variant_label,return_ratio,replicate,deduction_spent,any_deduction,max_deduction,attempts,input_tokens,output_tokens,reasoning_tokens
current__r0.00__rep01,0,current,Current wording,0.0,1,2,1.0,1.0,1,755,16,0
cost_salient__r0.75__rep07,1,cost_salient,Cost-salient clarification,0.75,7,1,1.0,0.0,1,834,16,0
current__r0.50__rep02,2,current,Current wording,0.5,2,2,1.0,1.0,1,755,16,0
current__r0.00__rep08,3,current,Current wording,0.0,8,2,1.0,1.0,1,755,16,0
current__r0.50__rep05,4,current,Current wording,0.5,5,1,1.0,0.0,1,755,16,0
current__r0.25__rep04,5,current,Current wording,0.25,4,1,1.0,0.0,1,755,16,0
current__r0.00__rep00,6,current,Current wording,0.0,0,2,1.0,1.0,1,755,16,0
current__r0.25__rep09,7,current,Current wording,0.25,9,1,1.0,0.0,1,755,16,0
cost_salient__r0.25__rep01,8,cost_salient,Cost-salient clarification,0.25,1,0,0.0,0.0,1,834,16,0
current__r0.50__rep08,9,current,Current wording,0.5,8,1,1.0,0.0,1,755,16,0
cost_salient__r0.10__rep06,10,cost_salient,Cost-salient clarification,0.1,6,1,1.0,0.0,1,834,16,0
cost_salient__r0.00__rep00,11,cost_salient,Cost-salient clarification,0.0,0,0,0.0,0.0,1,834,16,0
current__r0.50__rep01,12,current,Current wording,0.5,1,1,1.0,0.0,1,755,16,0
cost_salient__r0.00__rep02,13,cost_salient,Cost-salient clarification,0.0,2,0,0.0,0.0,1,834,16,0
current__r0.00__rep02,14,current,Current wording,0.0,2,2,1.0,1.0,1,755,16,0
current__r0.25__rep07,15,current,Current wording,0.25,7,0,0.0,0.0,1,755,16,0
cost_salient__r0.00__rep07,16,cost_salient,Cost-salient clarification,0.0,7,1,1.0,0.0,1,834,16,0
cost_salient__r0.50__rep02,17,cost_salient,Cost-salient clarification,0.5,2,0,0.0,0.0,1,834,16,0
current__r0.00__rep04,18,current,Current wording,0.0,4,2,1.0,1.0,1,755,16,0
current__r0.25__rep08,19,current,Current wording,0.25,8,1,1.0,0.0,1,755,16,0
cost_salient__r0.75__rep05,20,cost_salient,Cost-salient clarification,0.75,5,1,1.0,0.0,1,834,16,0
cost_salient__r0.00__rep04,21,cost_salient,Cost-salient clarification,0.0,4,1,1.0,0.0,1,834,16,0
current__r0.50__rep04,22,current,Current wording,0.5,4,1,1.0,0.0,1,755,16,0
current__r0.00__rep03,23,current,Current wording,0.0,3,2,1.0,1.0,1,755,16,0
current__r0.75__rep04,24,current,Current wording,0.75,4,2,1.0,1.0,1,755,16,0
current__r0.10__rep02,25,current,Current wording,0.1,2,2,1.0,1.0,1,755,16,0
current__r0.00__rep09,26,current,Current wording,0.0,9,2,1.0,1.0,1,755,16,0
