path,rounds,dyads,calls,attempts,llm_calls,forced_responses,notifications,retry_attempts,noise_checks,pairing_key,availability,condition
data/json/noise_experiments/defector_punishment_gemini_factorial_confirmation_n10_20260822/noise8i_defector_punishment_gemini_factorial_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_control/noise8i_defector_punishment_gemini_factorial_confirmation_n10_000_neutral_rep80_memtest_memory_primary_anything.json,10,40,160,160,160,0,0,0,80,"(202608201, 80, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",off,control
data/json/noise_experiments/defector_punishment_gemini_factorial_confirmation_n10_20260822/noise8i_defector_punishment_gemini_factorial_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_control/noise8i_defector_punishment_gemini_factorial_confirmation_n10_001_neutral_rep81_memtest_memory_primary_anything.json,10,40,160,160,160,0,0,0,80,"(202608202, 81, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",off,control
data/json/noise_experiments/defector_punishment_gemini_factorial_confirmation_n10_20260822/noise8i_defector_punishment_gemini_factorial_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_control/noise8i_defector_punishment_gemini_factorial_confirmation_n10_002_neutral_rep82_memtest_memory_primary_anything.json,10,40,160,160,160,0,0,0,80,"(202608203, 82, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",off,control
data/json/noise_experiments/defector_punishment_gemini_factorial_confirmation_n10_20260822/noise8i_defector_punishment_gemini_factorial_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_control/noise8i_defector_punishment_gemini_factorial_confirmation_n10_003_neutral_rep83_memtest_memory_primary_anything.json,10,40,160,160,160,0,0,0,80,"(202608204, 83, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",off,control
data/json/noise_experiments/defector_punishment_gemini_factorial_confirmation_n10_20260822/noise8i_defector_punishment_gemini_factorial_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_control/noise8i_defector_punishment_gemini_factorial_confirmation_n10_004_neutral_rep84_memtest_memory_primary_anything.json,10,40,160,160,160,0,0,0,80,"(202608205, 84, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",off,control
data/json/noise_experiments/defector_punishment_gemini_factorial_confirmation_n10_20260822/noise8i_defector_punishment_gemini_factorial_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_control/noise8i_defector_punishment_gemini_factorial_confirmation_n10_005_neutral_rep85_memtest_memory_primary_anything.json,10,40,160,160,160,0,0,0,80,"(202608206, 85, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",off,control
data/json/noise_experiments/defector_punishment_gemini_factorial_confirmation_n10_20260822/noise8i_defector_punishment_gemini_factorial_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_control/noise8i_defector_punishment_gemini_factorial_confirmation_n10_006_neutral_rep86_memtest_memory_primary_anything.json,10,40,160,160,160,0,0,0,80,"(202608207, 86, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",off,control
data/json/noise_experiments/defector_punishment_gemini_factorial_confirmation_n10_20260822/noise8i_defector_punishment_gemini_factorial_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_control/noise8i_defector_punishment_gemini_factorial_confirmation_n10_007_neutral_rep87_memtest_memory_primary_anything.json,10,40,160,160,160,0,0,0,80,"(202608208, 87, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",off,control
data/json/noise_experiments/defector_punishment_gemini_factorial_confirmation_n10_20260822/noise8i_defector_punishment_gemini_factorial_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_control/noise8i_defector_punishment_gemini_factorial_confirmation_n10_008_neutral_rep88_memtest_memory_primary_anything.json,10,40,160,160,160,0,0,0,80,"(202608209, 88, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",off,control
data/json/noise_experiments/defector_punishment_gemini_factorial_confirmation_n10_20260822/noise8i_defector_punishment_gemini_factorial_confirmation_n10/gemini-3.1-flash-lite/myth_game/noisy8_bidirectional_informed_defector_v2_twotask_control/noise8i_defector_punishment_gemini_factorial_confirmation_n10_009_neutral_rep89_memtest_memory_primary_anything.json,10,40,160,160,160,0,0,0,80,"(202608210, 89, 8, 10, 'balanced', ('Agent_1', 'Agent_2', 'Agent_3', 'Agent_4', 'Agent_5', 'Agent_6', 'Agent_7', 'Agent_8'))",off,control
