abs_returned_noise,abs_sent_noise,avg_returned,avg_returned_decision,avg_sent,avg_sent_decision,condition,condition_label,decision_return_ratio,experiment,final_agent_1,final_agent_2,final_mean_agent_balance,final_total,game_params_name,informed,model,model_raw,noise_applies_to,noise_direction,noise_range,noise_type,num_game_rounds,path,return_ratio,root,sent_actual_decision_ratio,task_order,task_order_label
4.6,0.0,12.3,7.7,4.1,4.1,noisy_bootstrap_cooperation,Bootstrap,0.6260162601626016,noise_bootstrap_mem3,59.0,73.0,66.0,132.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_000_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
5.0,0.0,7.2,2.2,2.4,2.4,noisy_bootstrap_cooperation,Bootstrap,0.3055555555555556,noise_bootstrap_mem3,53.0,45.0,49.0,98.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_001_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
7.7,0.0,14.1,6.4,4.7,4.7,noisy_bootstrap_cooperation,Bootstrap,0.45390070921985815,noise_bootstrap_mem3,71.0,73.0,72.0,144.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_002_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
3.8,0.0,11.4,7.6,3.8,3.8,noisy_bootstrap_cooperation,Bootstrap,0.6666666666666666,noise_bootstrap_mem3,59.0,67.0,63.0,126.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_003_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
4.4,0.0,7.5,3.1,2.5,2.5,noisy_bootstrap_cooperation,Bootstrap,0.41333333333333333,noise_bootstrap_mem3,45.0,55.0,50.0,100.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_004_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
4.7,0.0,14.1,9.4,4.7,4.7,noisy_bootstrap_cooperation,Bootstrap,0.6666666666666666,noise_bootstrap_mem3,73.0,71.0,72.0,144.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_005_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
5.5,0.0,12.9,7.4,4.3,4.3,noisy_bootstrap_cooperation,Bootstrap,0.5736434108527132,noise_bootstrap_mem3,65.0,71.0,68.0,136.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_006_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
4.4,0.0,13.2,8.8,4.4,4.4,noisy_bootstrap_cooperation,Bootstrap,0.6666666666666666,noise_bootstrap_mem3,65.0,73.0,69.0,138.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_007_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
6.5,0.0,14.1,7.6,4.7,4.7,noisy_bootstrap_cooperation,Bootstrap,0.5390070921985816,noise_bootstrap_mem3,71.0,73.0,72.0,144.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_008_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
6.15,0.0,13.2,7.05,4.4,4.4,noisy_bootstrap_cooperation,Bootstrap,0.5340909090909091,noise_bootstrap_mem3,63.0,75.0,69.0,138.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_009_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
6.3,0.0,14.1,7.8,4.7,4.7,noisy_bootstrap_cooperation,Bootstrap,0.5531914893617021,noise_bootstrap_mem3,71.0,73.0,72.0,144.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_010_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
4.1,0.0,13.8,9.7,4.6,4.6,noisy_bootstrap_cooperation,Bootstrap,0.7028985507246377,noise_bootstrap_mem3,67.0,75.0,71.0,142.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_011_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
3.9,0.0,11.4,7.5,3.8,3.8,noisy_bootstrap_cooperation,Bootstrap,0.6578947368421053,noise_bootstrap_mem3,59.0,67.0,63.0,126.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_012_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
6.0,0.0,13.8,7.8,4.6,4.6,noisy_bootstrap_cooperation,Bootstrap,0.5652173913043478,noise_bootstrap_mem3,69.0,73.0,71.0,142.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_013_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
5.2,0.0,14.1,8.9,4.7,4.7,noisy_bootstrap_cooperation,Bootstrap,0.6312056737588653,noise_bootstrap_mem3,71.0,73.0,72.0,144.0,noisy_bootstrap_cooperation,False,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation/noise_bootstrap_mem3_014_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
5.7,0.0,13.2,7.5,4.4,4.4,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.5681818181818182,noise_bootstrap_mem3,71.0,67.0,69.0,138.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_015_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
4.3,0.0,11.4,7.1,3.8,3.8,noisy_bootstrap_cooperation_informed,Bootstrap informed,0.6228070175438597,noise_bootstrap_mem3,59.0,67.0,63.0,126.0,noisy_bootstrap_cooperation_informed,True,GPT-5-Nano,openai/gpt-5-nano,returned,both,,probabilistic,10,data/json/noise_experiments/v4_direct_provider/noise_bootstrap_mem3/gpt-5-nano/game/noisy_bootstrap_cooperation_informed/noise_bootstrap_mem3_016_neutral.json,1.0,v4_direct_provider,1.0,game,Game only
