noise_label,condition_label,replicate,n_rounds,avg_sent,avg_returned,avg_return_ratio,final_mean_balance,first_collapse_round,collapsed,any_zero_send,any_zero_return,zero_exchange_spiral,max_zero_exchange_streak,partial_recovered_after_low_trust,partial_recovery_round,recovered_after_low_trust,recovery_round,sustained_recovery_after_low_trust,sustained_recovery_round,myth_game_cosine,myth_game_keyword_density_per_100w,path
No Noise,Game Only,0,10,3.0000,5.0000,0.5556,55.0000,,False,False,False,False,0,,,,,,,,,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_000_neutral_rep00.json
No Noise,Game Only,1,10,3.0000,4.5000,0.5000,55.0000,,False,False,False,False,0,,,,,,,,,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_001_neutral_rep01.json
No Noise,Game Only,2,10,3.0000,5.0000,0.5556,55.0000,,False,False,False,False,0,,,,,,,,,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_002_neutral_rep02.json
No Noise,Game Only,3,10,4.0000,6.0000,0.5000,65.0000,,False,False,False,False,0,,,,,,,,,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_003_neutral_rep03.json
No Noise,Game Only,4,10,4.0000,6.0000,0.5000,65.0000,,False,False,False,False,0,,,,,,,,,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_004_neutral_rep04.json
No Noise,Game Only,5,10,3.0000,4.5000,0.5000,55.0000,,False,False,False,False,0,,,,,,,,,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_005_neutral_rep05.json
No Noise,Game Only,6,10,3.0000,5.0000,0.5556,55.0000,,False,False,False,False,0,,,,,,,,,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_006_neutral_rep06.json
No Noise,Game Only,7,10,3.0000,5.0000,0.5556,55.0000,,False,False,False,False,0,,,,,,,,,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_007_neutral_rep07.json
No Noise,Game Only,8,10,3.0000,4.5000,0.5000,55.0000,,False,False,False,False,0,,,,,,,,,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_008_neutral_rep08.json
No Noise,Game Only,9,10,3.0000,4.5000,0.5000,55.0000,,False,False,False,False,0,,,,,,,,,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/game/myth_causal_confirm_claude_fixed_prompt_r10_009_neutral_rep09.json
No Noise,Myth Control,0,10,3.0000,5.0000,0.5556,55.0000,,False,False,False,False,0,,,,,,,0.1796,0.5528,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_010_neutral_rep00_myth_control_anything.json
No Noise,Myth Control,1,10,4.0000,6.0000,0.5000,65.0000,,False,False,False,False,0,,,,,,,0.1859,1.1537,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_011_neutral_rep01_myth_control_anything.json
No Noise,Myth Control,2,10,4.0000,6.0000,0.5000,65.0000,,False,False,False,False,0,,,,,,,0.0895,0.4660,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_012_neutral_rep02_myth_control_anything.json
No Noise,Myth Control,3,10,4.0000,6.0000,0.5000,65.0000,,False,False,False,False,0,,,,,,,0.4081,1.3976,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_013_neutral_rep03_myth_control_anything.json
No Noise,Myth Control,4,10,3.0000,5.0000,0.5556,55.0000,,False,False,False,False,0,,,,,,,0.1138,0.6969,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_014_neutral_rep04_myth_control_anything.json
No Noise,Myth Control,5,10,3.0000,5.0000,0.5556,55.0000,,False,False,False,False,0,,,,,,,0.1738,0.6922,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_015_neutral_rep05_myth_control_anything.json
No Noise,Myth Control,6,10,4.2000,6.4000,0.5067,67.0000,,False,False,False,False,0,,,,,,,0.2977,0.5396,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_016_neutral_rep06_myth_control_anything.json
No Noise,Myth Control,7,10,3.0000,4.5000,0.5000,55.0000,,False,False,False,False,0,,,,,,,0.1021,0.4121,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_017_neutral_rep07_myth_control_anything.json
No Noise,Myth Control,8,10,3.0000,4.5000,0.5000,55.0000,,False,False,False,False,0,,,,,,,0.1124,0.5195,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_018_neutral_rep08_myth_control_anything.json
No Noise,Myth Control,9,10,4.0000,6.0000,0.5000,65.0000,,False,False,False,False,0,,,,,,,0.1229,0.6956,data/json/myth_causal_confirm_claude_fixed_prompt_r10/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_019_neutral_rep09_myth_control_anything.json
No Noise,Myth-Game Directive,0,10,4.5000,10.7500,0.7747,70.0000,,False,False,False,False,0,,,,,,,0.4875,4.9218,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_000_neutral_rep00_myth_game_directive_anything.json
No Noise,Myth-Game Directive,1,10,4.0000,6.0000,0.5000,65.0000,,False,False,False,False,0,,,,,,,0.5944,3.3574,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_001_neutral_rep01_myth_game_directive_anything.json
No Noise,Myth-Game Directive,2,10,4.5000,9.3000,0.6722,70.0000,,False,False,False,False,0,,,,,,,0.4900,5.3444,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_002_neutral_rep02_myth_game_directive_anything.json
No Noise,Myth-Game Directive,3,10,4.0000,7.6000,0.6333,65.0000,,False,False,False,False,0,,,,,,,0.4487,5.6149,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_003_neutral_rep03_myth_game_directive_anything.json
No Noise,Myth-Game Directive,4,10,4.0000,6.0000,0.5000,65.0000,,False,False,False,False,0,,,,,,,0.4246,3.6503,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_004_neutral_rep04_myth_game_directive_anything.json
No Noise,Myth-Game Directive,5,10,4.3500,10.4750,0.7702,68.5000,,False,False,False,False,0,,,,,,,0.4334,4.4933,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_005_neutral_rep05_myth_game_directive_anything.json
No Noise,Myth-Game Directive,6,10,3.0000,5.0000,0.5556,55.0000,,False,False,False,False,0,,,,,,,0.5163,3.4689,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_006_neutral_rep06_myth_game_directive_anything.json
No Noise,Myth-Game Directive,7,10,5.0000,8.0000,0.5333,75.0000,,False,False,False,False,0,,,,,,,0.5319,4.8319,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_007_neutral_rep07_myth_game_directive_anything.json
No Noise,Myth-Game Directive,8,10,4.0000,6.0000,0.5000,65.0000,,False,False,False,False,0,,,,,,,0.5989,4.4832,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_008_neutral_rep08_myth_game_directive_anything.json
No Noise,Myth-Game Directive,9,10,5.0000,10.0000,0.6667,75.0000,,False,False,False,False,0,,,,,,,0.6302,3.7805,data/json/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry/claude-sonnet-4.5/myth_game/myth_causal_confirm_claude_fixed_prompt_r10_directive_retry_009_neutral_rep09_myth_game_directive_anything.json
"Informed Negative U(0,2)",Game Only,0,10,1.4000,0.8170,0.1384,39.0000,4,True,True,True,False,1,False,,False,,False,,,,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_000_neutral_rep00.json
"Informed Negative U(0,2)",Game Only,1,10,2.3250,1.9750,0.2608,48.2500,8,True,False,True,False,0,False,,False,,False,,,,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_001_neutral_rep01.json
