model_id,model_label,condition,condition_label,replicate_id,round,standard_send_ratio
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,4,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,5,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,6,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,7,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,8,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,9,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,10,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,36,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,36,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,36,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,36,4,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,36,5,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,36,6,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,36,7,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,36,8,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,36,9,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,36,10,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,37,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,37,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,37,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,37,4,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,37,5,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,37,6,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,37,7,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,37,8,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,37,9,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,37,10,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,38,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,38,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,38,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,38,4,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,38,5,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,38,6,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,38,7,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,38,8,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,38,9,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,38,10,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,39,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,39,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,39,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,39,4,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,39,5,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,39,6,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,39,7,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,39,8,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,39,9,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,39,10,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,40,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,40,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,40,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,40,4,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,40,5,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,40,6,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,40,7,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,40,8,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,40,9,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,40,10,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,41,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,41,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,41,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,41,4,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,41,5,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,41,6,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,41,7,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,41,8,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,41,9,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,41,10,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,42,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,42,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,42,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,42,4,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,42,5,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,42,6,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,42,7,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,42,8,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,42,9,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,42,10,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,43,1,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,43,2,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,43,3,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,43,4,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,43,5,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,43,6,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,43,7,1.0
