model_id,condition,replicate_id,input_tokens,output_tokens,reasoning_tokens,attempts,recovered_retries,forced_responses
gemini,control,35,349700,19499,0,160,0,0
gemini,control,36,349021,19500,0,160,0,0
gemini,control,37,351664,19646,0,160,0,0
gemini,control,38,352988,19726,0,160,0,0
gemini,control,39,351871,19627,0,160,0,0
gemini,control,40,349732,19623,0,160,0,0
gemini,control,41,350304,19529,0,160,0,0
gemini,control,42,352211,19688,0,160,0,0
gemini,control,43,353213,19725,0,160,0,0
gemini,control,44,349198,19472,0,160,0,0
gemini,defectors25,35,306621,19479,0,160,0,20
gemini,defectors25,36,306600,19413,0,160,0,20
gemini,defectors25,37,309463,19544,0,160,0,20
gemini,defectors25,38,307586,19431,0,160,0,20
gemini,defectors25,39,306099,19421,0,160,0,20
gemini,defectors25,40,307088,19530,0,160,0,20
gemini,defectors25,41,307151,19458,0,160,0,20
gemini,defectors25,42,307669,19507,0,160,0,20
gemini,defectors25,43,306815,19374,0,160,0,20
gemini,defectors25,44,307889,19463,0,160,0,20
gpt,control,35,377369,23464,0,161,1,0
gpt,control,36,376970,23280,0,162,2,0
gpt,control,37,372211,22900,0,161,1,0
gpt,control,38,371349,22863,0,161,1,0
gpt,control,39,375616,23163,0,162,2,0
gpt,control,40,373163,22889,0,162,2,0
gpt,control,41,373057,22905,0,162,2,0
gpt,control,42,375610,23335,0,161,1,0
gpt,control,43,380641,23128,0,163,3,0
gpt,control,44,372325,23363,0,160,0,0
gpt,defectors25,35,353241,22994,0,169,9,20
gpt,defectors25,36,334664,22627,0,164,4,20
gpt,defectors25,37,324666,22526,0,161,1,20
gpt,defectors25,38,349281,22792,0,168,8,20
gpt,defectors25,39,337834,22662,0,165,5,20
gpt,defectors25,40,336423,22834,0,164,4,20
gpt,defectors25,41,339774,22823,0,165,5,20
gpt,defectors25,42,341891,22783,0,166,6,20
gpt,defectors25,43,336236,22794,0,165,5,20
gpt,defectors25,44,339460,22766,0,165,5,20
