myth_topic,myth_topic_label,condition,filename,num_rounds,mean_trust_ratio,std_trust_ratio,mean_return_ratio,std_return_ratio,mean_sent,mean_returned,cooperation_stability,final_cumulative_balance,final_agent_1_balance,final_agent_2_balance
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_013_neutral.json,10,0.1,0.30000000000000004,0.0,0.0,0.5,0.0,0.0,30.0,20.0,40.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_014_neutral.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_001_neutral.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_006_neutral.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_007_neutral.json,10,0.04,0.12,0.0,0.0,0.2,0.0,0.0,27.0,23.0,31.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_000_neutral.json,10,0.30460000000000004,0.4554453205380422,0.046733333333333335,0.0969593041779213,1.5230000000000001,0.701,0.0969593041779213,40.230000000000004,32.42,48.04
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_012_neutral.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_009_neutral.json,10,0.44000000000000006,0.3878143885933063,0.12653333333333333,0.209863828866879,2.2,1.698,0.209863828866879,47.0,32.019999999999996,61.980000000000004
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_009_neutral_2.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_001_neutral_2.json,10,0.04,0.12,0.0,0.0,0.2,0.0,0.0,27.0,23.0,31.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_014_neutral_2.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_013_neutral_2.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_006_neutral_2.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_007_neutral_2.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_012_neutral_2.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_008_neutral.json,10,0.1,0.20493901531919198,0.0,0.0,0.5,0.0,0.0,30.0,32.0,28.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_000_neutral_2.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_008_neutral_2.json,10,0.1,0.30000000000000004,0.04666666666666667,0.13999999999999999,0.5,0.7,0.13999999999999999,30.0,27.0,33.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_002_neutral_2.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_002_neutral.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_005_neutral.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_005_neutral_2.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_010_neutral_2.json,10,0.16,0.332264954516723,0.0,0.0,0.8,0.0,0.0,33.0,37.0,29.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_010_neutral.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_011_neutral_2.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_004_neutral_2.json,10,0.12000000000000002,0.18330302779823363,0.0,0.0,0.6,0.0,0.0,31.0,35.0,27.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_011_neutral.json,10,0.45999999999999996,0.4737087712930804,0.087,0.18022485955050707,2.3,1.197,0.18022485955050707,48.0,55.97,40.03
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_004_neutral.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_003_neutral.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,34.0,22.0
noisy_negative_5,Noisy Negative 5,game,noise_negative_mem3_gpt5_nano_003_neutral_2.json,10,0.33999999999999997,0.3903844259188627,0.03926666666666666,0.07964613403465773,1.7,0.489,0.07964613403465773,42.0,46.11,37.89
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_036_neutral_anything.json,10,0.16,0.24979991993593592,0.0,0.0,0.8,0.0,0.0,33.0,37.0,29.0
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_034_neutral_anything.json,10,0.22000000000000003,0.3515679166249389,0.07766666666666666,0.16316351716401964,1.1,0.999,0.16316351716401964,36.0,28.990000000000002,43.01
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_044_neutral_anything.json,10,0.16,0.265329983228432,0.053500000000000006,0.1605,0.8,0.321,0.1605,33.0,29.79,36.21
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_042_neutral_anything.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_032_neutral_anything.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_038_neutral_anything.json,10,0.2414,0.34395586926232263,0.01188888888888889,0.035666666666666666,1.207,0.10700000000000001,0.035666666666666666,37.07,38.28,35.86
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_040_neutral_anything.json,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_030_neutral_anything.json,10,0.08,0.16,0.0,0.0,0.4,0.0,0.0,29.0,29.0,29.0
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_037_neutral_anything.json,10,0.1,0.20493901531919198,0.0,0.0,0.5,0.0,0.0,30.0,20.0,40.0
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_035_neutral_anything.json,10,0.06,0.18,0.0,0.0,0.3,0.0,0.0,28.0,22.0,34.0
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_033_neutral_anything.json,10,0.08,0.24,0.0,0.0,0.4,0.0,0.0,29.0,21.0,37.0
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_043_neutral_anything.json,10,0.21000000000000002,0.3419064199455752,0.0,0.0,1.05,0.0,0.0,35.5,24.5,46.5
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_031_neutral_anything.json,10,0.26,0.41036569057366384,0.033555555555555554,0.08092337482206605,1.3,0.34199999999999997,0.08092337482206605,38.0,33.42,42.58
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_041_neutral_anything.json,10,0.26,0.34698703145794946,0.07733333333333334,0.15821082980209245,1.3,0.9870000000000001,0.15821082980209245,38.0,26.869999999999997,49.13
noisy_negative_5,Noisy Negative 5,myth_game,noise_negative_mem3_gpt5_nano_039_neutral_anything.json,10,0.16,0.332264954516723,0.07555555555555556,0.17074997966487596,0.8,0.8,0.17074997966487596,33.0,39.0,27.0
