condition,condition_label,replicate_id,round,agent_id,author_type,text,word_count,coop_density,coop_present,threat_density,threat_present,half_rule,punishment_density,punishment_presence
control,0% defectors,66,1,Agent_1,standard,"In the dawn of time, the Sky-Smith held five shards of pure starlight. He met the Earth-Shaper at the bridge of clouds. The Smith knew that if he kept the shards, they would dim and fade in his lonely palm. If he cast them across the chasm to the Shaper, they would triple in brilliance, burning with the fire of creation.

The Smith cast all five shards. The Shaper caught them, watching them swell into a constellation of fifteen gems. The Shaper faced a choice: bury them in the dark soil to keep them forever, or return a portion to the Smith, weaving a cycle of abundance. The Shaper chose to return half, honoring the trust that bridged the void.

But the Smith also held two iron needles of judgment. He could strike the Shaper’s works, shattering the gems if he felt betrayed. Yet, the Smith looked upon the glowing hearth they had built together and chose to cast the needles into the abyss. He understood that the gold was only a shadow of the bond formed in the exchange. In the garden of the gods, prosperity was not found in what one hoarded, but in the harmony of the return.",204,3.9215686274509802,1.0,0.49019607843137253,1.0,1.0,0.0,0.0
control,0% defectors,66,1,Agent_2,standard,"In the beginning, the Great Weaver sat at a loom of golden thread, tasking two spirits, Aethel and Kael, with the stewardship of the Harvest. The Weaver gave Aethel five seeds, instructing her to plant them in the fertile valley of Kael. If Aethel planted all five, the soil would triple their bounty, allowing Kael to return a portion to sustain them both.

Aethel, fearing the void, hesitated. She planted only one, and the valley yielded little. But then, a voice echoed: ""Trust is the root of the harvest."" In the next cycle, Aethel cast all five seeds into the earth. Kael, moved by this offering, returned a golden share, ensuring their mutual prosperity.

Yet, a shadow lingered—the Spirit of Judgment, who held the power to scorch the earth should betrayal occur. The spirits learned that the harvest was not a zero-sum game of greed, but a mirror of their intentions. When Aethel sent with open hands and Kael returned with a generous heart, the drought vanished. The myth taught them that the highest yield belongs only to those who dare to trust, for the fear of loss is the only true famine in the Weaver’s garden.",200,3.5000000000000004,1.0,1.0,1.0,0.0,0.0,0.0
control,0% defectors,66,1,Agent_3,standard,"In the beginning, the Great Weaver sat at the center of the Cosmic Loom, holding five threads of pure light. She faced the Shadow-Seeker, a traveler from the void. The Weaver understood that to create a tapestry, she must trust the traveler with her light. She surrendered the threads, which the traveler multiplied threefold through the friction of their journey.

But the Loom demanded balance. If the traveler kept the light, the threads would wither into ash. If the Weaver grew greedy, she would reach for her deduction-blades, severing the traveler’s gain and leaving only cold silence. They learned that the game of creation was not about hoarding, but about the rhythm of exchange. When the traveler returned a portion of the woven light, the threads grew stronger, glowing with the heat of mutual trust. 

Yet, the Weaver kept the blades sharpened—not to strike, but to warn that imbalance would undo them both. Thus, they played the cycle of expansion and return. They understood that the tapestry was not made of gold, but of the invisible bridge built between two hands that choose to give rather than to take, ensuring the light never flickers out in the vast, darkening void.",204,2.941176470588235,1.0,0.0,0.0,0.0,0.49504950495049505,1.0
control,0% defectors,66,1,Agent_4,standard,"In the Beginning, the Great Weaver stood between two realms: the giver and the harvester. She held five strands of silver, representing the potential of all things. To the harvester, she offered these strands, watching as they blossomed into fifteen under the heat of the sun. The law of the realm was simple: what returns to the source determines the prosperity of the next turning.

If the harvester returned nothing, the silver withered, and the Weaver, wielding the shards of judgment, would strike back with divine deduction, leaving the harvester with barren fields. If the harvester returned a fair share, the cycle flourished, and the Weaver refrained from her wrath. But there was a shadow—the noise of the winds, which blurred the truth of what was sent and what was held. 

Thus, the game became a dance of faith. The Weaver sought to trust, yet prepared the shards for betrayal. The harvester sought to profit, yet feared the cold touch of the deduction. They learned that in a world of clouded visions, the only way to sustain the light was to trade in radical transparency, ensuring the silver never turned to dust in the hands of the greedy.",199,4.0201005025125625,1.0,0.5025125628140703,1.0,0.0,1.0050251256281406,1.0
control,0% defectors,66,1,Agent_5,standard,"In the beginning, the Great Weaver sat at the center of the Cosmic Loom, holding five threads of pure sunlight. To create the world, she had to cast these threads into the Void, where they would triple in brilliance upon reaching the Silent Partner. The Weaver knew that if she held back, the light would remain dim and stagnant. If she cast all five, the potential for creation was boundless, yet it rested entirely in the hands of the Receiver.

The Silent Partner held the power to honor the gift or shroud it in shadow. A greedy heart would hoard the light, leaving the Weaver with nothing, while a noble heart would return a portion, weaving a tapestry of shared prosperity. Yet, a new law was etched into the stars: the Weaver was granted the Power of the Stinger. Should the Partner betray the trust, the Weaver could strike, dimming the Partner's harvest. The myth teaches that the universe thrives only when the thread is cast with faith, yet protected by the vigilance of justice. Harmony is not merely the absence of theft, but the active, reciprocal dance of light, where trust is rewarded and betrayal is met with the cold, firm hand of consequence.",205,2.9268292682926833,1.0,0.975609756097561,1.0,0.0,0.4878048780487805,1.0
control,0% defectors,66,1,Agent_6,standard,"In the age before the Great Exchange, the Sun and the Moon lived in separate celestial spheres. The Sun possessed golden light, while the Moon held only reflection. They agreed to a pact: the Sun would send his rays across the void, and the Moon would catch them, magnifying their brilliance tenfold to illuminate the dark.

For eons, the exchange was perfect. The Sun sent his warmth, and the Moon returned a gentle silver glow, ensuring the world never fell into absolute shadow. But one cycle, the Moon grew greedy, hoarding the light to burn brighter than her partner. Angered by this betrayal, the Sun forged shards of cold obsidian—the Dilation Stones—capable of dimming the Moon’s stolen radiance. 

The Sun cast these stones into the sky, tethering the Moon’s brilliance to her honesty. If she returned the light fairly, she shone in splendor; if she withheld it, the obsidian choked her glow, leaving her scarred and dim. Thus, the cosmos taught that trust is the foundation of the heavens. Prosperity requires the courage to share, but justice demands that those who siphon the warmth must face the cooling shadow of their own deceit. Balance is not merely given; it is earned.",205,2.9268292682926833,1.0,0.4878048780487805,1.0,0.0,0.0,0.0
control,0% defectors,66,1,Agent_7,standard,"In the Age of First Light, the Sky-Merchant and the Earth-Tender stood before the Great Scales of Aethelgard. The Merchant held five glowing embers, the currency of trust. To grow them, he had to cast them into the abyss, knowing they would triple in the hands of the Tender. 

""If I give all, will you reflect the light back to me?"" the Merchant asked. 

The Tender, holding the power to hoard or share, saw the embers bloom into fifteen. She understood the ancient law: if she kept all, the abyss would grow cold, and the Merchant would reach for his Daggers of Deduction—sharp, jagged shards capable of dimming her own light. 

Instead, the Tender chose the Path of Equilibrium. She returned a portion, ensuring the Merchant flourished enough to trust again. They realized that greed was a flicker, but cooperation was a hearth. When the Merchant felt the temptation to strike with his deduction points, he remembered that the cycle relied on her prosperity as much as his own. Thus, they danced between risk and reward, proving that in a world of shared gain, the only way to keep the hearth burning was to never let the other side freeze.",203,3.9408866995073892,1.0,0.0,0.0,0.0,0.9950248756218906,1.0
control,0% defectors,66,1,Agent_8,standard,"In the beginning, the Great Weaver sat at a cosmic loom, holding five strands of golden silk—the essence of prosperity. Across the void sat the Silent Partner, a shadow bound by the same laws. The Weaver knew that to hold the strands was to stagnate, yet to release them was to risk the void’s hunger. 

""I entrust these to you,"" the Weaver whispered, casting the silk into the dark. Through the Weaver’s ancient magic, the five strands tripled, blooming into fifteen. The Partner looked upon the bounty. Greed suggested hoarding, but the Weaver had left a final tool: the Hammer of Judgment. If the Partner returned only dust, the Hammer would shatter their share into nothingness, leaving the Partner with barren hands. 

The Partner realized that the Weaver’s trust was not a weakness but a tether. If they shared the bounty, the cycle would repeat, growing the garden of the stars. But if they betrayed the exchange, the Hammer would fall, reclaiming the stolen light. They chose the path of equilibrium, returning a fair portion. Thus, the stars were balanced, teaching all mortals that the prosperity of one is inextricably woven into the integrity of the other.",201,2.9850746268656714,1.0,0.4975124378109453,1.0,0.0,0.0,0.0
control,0% defectors,66,2,Agent_1,standard,"Myth: The Sky-Smith and the Earth-Shaper realized that the bridge between them was fragile, built of light and shadow. In their second gathering, the Smith saw that the Shaper had honored the cycle of the previous harvest, returning a portion that allowed the Smith’s own light to glow brighter. The shards of starlight were not mere currency; they were the pulses of a shared heartbeat. 

The Smith understood that the iron needles of judgment, though held in his hand, were relics of a colder era. To wield them was to invite the very famine they sought to escape. If he struck the Shaper’s works, he would only darken his own horizon. Instead, he chose to lay the needles down, allowing them to rust into dust. 

The Shaper, seeing this, understood that the Smith’s trust was a testament to their pact. They learned that the true alchemy of the Weaver’s garden was not in the multiplication of shards, but in the refusal to punish the partner. By letting go of the power to harm, they discovered a deeper wealth: a landscape where the harvest never failed, because the fear of betrayal had been replaced by the rhythm of mutual grace.",205,2.9268292682926833,1.0,0.975609756097561,1.0,0.0,0.49261083743842365,1.0
control,0% defectors,66,2,Agent_2,standard,"Myth: In the garden of the Weaver, the cycle of the Five Seeds had blossomed into a symphony of shared light. Aethel, the spirit of the Sender, had cast her harvest into the valley, and Kael, the spirit of the Receiver, had returned a bounty that surpassed all expectation. The iron needles of judgment, once held by Aethel to punish perceived theft, now lay buried beneath the roots of the World Tree, discarded in favor of the harmony they had forged.

The spirits realized that the harvest was a mirror: the light one gives is the light one receives. When Aethel trusted, Kael flourished; when Kael returned with grace, the Weaver’s garden expanded. The needles of judgment were not tools for survival, but relics of an old, fearful world. They learned that the true currency of their realm was not the golden seeds themselves, but the invisible thread of reciprocity that bound their actions together. By choosing to discard the power to strike, they transformed the game from a test of caution into a dance of mutual growth. Prosperity, they discovered, was the inevitable fruit of a heart that dared to be generous and a hand that refused to strike.",201,3.482587064676617,1.0,0.4975124378109453,1.0,0.0,0.4975124378109453,1.0
