condition,experiment,model_dir,path,root,task_order
noisy_negative_5,noise_negative_mem3_gpt5_nano,gpt-5-nano,data/json/noise_experiments/v4_direct_provider/noise_negative_mem3_gpt5_nano/gpt-5-nano/game_myth/noisy_negative_5/noise_negative_mem3_gpt5_nano_037_neutral_anything.checkpoint.json.error.json,v4_direct_provider,game_myth
noisy_negative_5_informed,noise_negative_mem3_gpt5_nano,gpt-5-nano,data/json/noise_experiments/v4_direct_provider/noise_negative_mem3_gpt5_nano/gpt-5-nano/game_myth/noisy_negative_5_informed/noise_negative_mem3_gpt5_nano_051_neutral_anything.checkpoint.json.error.json,v4_direct_provider,game_myth
noisy_negative_5_informed,noise_negative_mem3_gpt5_nano,gpt-5-nano,data/json/noise_experiments/v4_direct_provider/noise_negative_mem3_gpt5_nano/gpt-5-nano/game_myth/noisy_negative_5_informed/noise_negative_mem3_gpt5_nano_057_neutral_anything.checkpoint.json.error.json,v4_direct_provider,game_myth
noisy_negative_5,noise_negative_mem3_gpt5_nano,gpt-5-nano,data/json/noise_experiments/v4_direct_provider/noise_negative_mem3_gpt5_nano/gpt-5-nano/myth_game/noisy_negative_5/noise_negative_mem3_gpt5_nano_062_neutral_anything.checkpoint.json.error.json,v4_direct_provider,myth_game
noisy_negative_5,noise_negative_mem3_gpt5_nano,gpt-5-nano,data/json/noise_experiments/v4_direct_provider/noise_negative_mem3_gpt5_nano/gpt-5-nano/myth_game/noisy_negative_5/noise_negative_mem3_gpt5_nano_065_neutral_anything.checkpoint.json.error.json,v4_direct_provider,myth_game
noisy_negative_5,noise_negative_mem3_gpt5_nano,gpt-5-nano,data/json/noise_experiments/v4_direct_provider/noise_negative_mem3_gpt5_nano/gpt-5-nano/myth_game/noisy_negative_5/noise_negative_mem3_gpt5_nano_066_neutral_anything.checkpoint.json.error.json,v4_direct_provider,myth_game
noisy_positive_5,noise_positive_mem3_gemini_3_1_pro,gemini-3.1-pro-preview,data/json/noise_experiments/v4_direct_provider/noise_positive_mem3_gemini_3_1_pro/gemini-3.1-pro-preview/game/noisy_positive_5/noise_positive_mem3_gemini_3_1_pro_012_neutral.checkpoint.json.error.json,v4_direct_provider,game
noisy_positive_5,noise_positive_mem3_gemini_3_1_pro,gemini-3.1-pro-preview,data/json/noise_experiments/v4_direct_provider/noise_positive_mem3_gemini_3_1_pro/gemini-3.1-pro-preview/game/noisy_positive_5/noise_positive_mem3_gemini_3_1_pro_013_neutral.checkpoint.json.error.json,v4_direct_provider,game
noisy_positive_5,noise_positive_mem3_gemini_3_1_pro,gemini-3.1-pro-preview,data/json/noise_experiments/v4_direct_provider/noise_positive_mem3_gemini_3_1_pro/gemini-3.1-pro-preview/game/noisy_positive_5/noise_positive_mem3_gemini_3_1_pro_014_neutral.checkpoint.json.error.json,v4_direct_provider,game
noisy_positive_5_informed,noise_positive_mem3_gemini_3_1_pro,gemini-3.1-pro-preview,data/json/noise_experiments/v4_direct_provider/noise_positive_mem3_gemini_3_1_pro/gemini-3.1-pro-preview/game/noisy_positive_5_informed/noise_positive_mem3_gemini_3_1_pro_015_neutral.checkpoint.json.error.json,v4_direct_provider,game
