version,experiment,model,task_order,noise_condition,noise_label,informed,balance_r10,mean_sent,mean_returned,path
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,game,default,targeted_myth_neutral_gpt5nano,False,75.0,5.0,5.0,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game/default/targeted_myth_neutral_gpt5nano_000_neutral.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,game,default,targeted_myth_neutral_gpt5nano,False,54.0,2.9,4.4,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game/default/targeted_myth_neutral_gpt5nano_001_neutral.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,game,default,targeted_myth_neutral_gpt5nano,False,74.0,4.9,6.7,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game/default/targeted_myth_neutral_gpt5nano_003_neutral.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,game,default,targeted_myth_neutral_gpt5nano,False,65.0,4.0,6.6,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game/default/targeted_myth_neutral_gpt5nano_004_neutral.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,game,default,targeted_myth_neutral_gpt5nano,False,58.0,3.3,3.6,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game/default/targeted_myth_neutral_gpt5nano_002_neutral.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,63.0,3.8,7.3,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_023_neutral_trickster_exploitation.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,53.0,2.8,4.3,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_017_neutral_reciprocity_oath.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,56.0,3.1,5.6,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_018_neutral_reciprocity_oath.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,73.0,4.8,7.7,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_020_neutral_trickster_exploitation.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,71.0,4.6,7.55,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_019_neutral_reciprocity_oath.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,72.0,4.7,8.3,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_016_neutral_reciprocity_oath.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,66.0,4.1,7.4,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_022_neutral_trickster_exploitation.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,63.0,3.8,6.1,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_021_neutral_trickster_exploitation.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,63.0,3.8,6.0,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_015_neutral_reciprocity_oath.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,myth_game,default,targeted_myth_neutral_gpt5nano,False,61.0,3.6,6.4,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/myth_game/default/targeted_myth_neutral_gpt5nano_024_neutral_trickster_exploitation.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,game_myth,default,targeted_myth_neutral_gpt5nano,False,66.0,4.1,7.0,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_009_neutral_reciprocity_oath.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,game_myth,default,targeted_myth_neutral_gpt5nano,False,65.0,4.0,5.9,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_014_neutral_trickster_exploitation.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,game_myth,default,targeted_myth_neutral_gpt5nano,False,72.0,4.7,7.6,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_006_neutral_reciprocity_oath.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,game_myth,default,targeted_myth_neutral_gpt5nano,False,58.0,3.3,6.0,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_007_neutral_reciprocity_oath.json
v4_direct_provider_targeted_gpt5nano,targeted_myth_neutral_gpt5nano,gpt-5-nano,game_myth,default,targeted_myth_neutral_gpt5nano,False,75.0,5.0,4.25,noise_experiments/v4_direct_provider_targeted_gpt5nano/targeted_myth_neutral_gpt5nano/gpt-5-nano/game_myth/default/targeted_myth_neutral_gpt5nano_008_neutral_reciprocity_oath.json
