identity_arm,identity_label,replicate_id,path,num_agents,final_balance,joint_balance,mean_trust_ratio,mean_return_ratio,mean_sent,mean_returned,mean_later_communicated_sent,num_interactions,return_over_sent
relative,Round-local pair IDs,25,data/json/noise_experiments/identity_persistence_gemini_screen_20260821/noise8_identity_persistence_gemini_n5_relative/gemini-3.1-flash-lite/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_gemini_n5_relative_000_neutral_rep25.json,8,75.0,600.0000000000001,1.0,0.47511666666666663,5.0,7.126749999999999,4.767222222222221,40,1.4253499999999997
relative,Round-local pair IDs,26,data/json/noise_experiments/identity_persistence_gemini_screen_20260821/noise8_identity_persistence_gemini_n5_relative/gemini-3.1-flash-lite/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_gemini_n5_relative_001_neutral_rep26.json,8,75.0,600.0,1.0,0.4853166666666667,5.0,7.27975,4.831944444444444,40,1.45595
relative,Round-local pair IDs,27,data/json/noise_experiments/identity_persistence_gemini_screen_20260821/noise8_identity_persistence_gemini_n5_relative/gemini-3.1-flash-lite/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_gemini_n5_relative_002_neutral_rep27.json,8,75.0,600.0,1.0,0.4752666666666666,5.0,7.1290000000000004,4.729722222222222,40,1.4258000000000002
relative,Round-local pair IDs,28,data/json/noise_experiments/identity_persistence_gemini_screen_20260821/noise8_identity_persistence_gemini_n5_relative/gemini-3.1-flash-lite/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_gemini_n5_relative_003_neutral_rep28.json,8,75.0,600.0,1.0,0.47970000000000007,5.0,7.195499999999998,4.792777777777778,40,1.4390999999999996
relative,Round-local pair IDs,29,data/json/noise_experiments/identity_persistence_gemini_screen_20260821/noise8_identity_persistence_gemini_n5_relative/gemini-3.1-flash-lite/game/noisy8_relative_pair_ids_signed_gpt_game_r3/noise8_identity_persistence_gemini_n5_relative_004_neutral_rep29.json,8,75.0,600.0,1.0,0.47743333333333327,5.0,7.161499999999999,4.722222222222222,40,1.4323
stable,Persistent stable IDs,25,data/json/noise_experiments/identity_persistence_gemini_screen_20260821/noise8_identity_persistence_gemini_n5_stable/gemini-3.1-flash-lite/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_gemini_n5_stable_000_neutral_rep25.json,8,75.0,600.0000000000001,1.0,0.4742749999999999,5.0,7.114124999999999,4.767222222222221,40,1.4228249999999998
stable,Persistent stable IDs,26,data/json/noise_experiments/identity_persistence_gemini_screen_20260821/noise8_identity_persistence_gemini_n5_stable/gemini-3.1-flash-lite/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_gemini_n5_stable_001_neutral_rep26.json,8,75.0,600.0,1.0,0.4849333333333334,5.0,7.273999999999999,4.831944444444444,40,1.4547999999999999
stable,Persistent stable IDs,27,data/json/noise_experiments/identity_persistence_gemini_screen_20260821/noise8_identity_persistence_gemini_n5_stable/gemini-3.1-flash-lite/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_gemini_n5_stable_002_neutral_rep27.json,8,75.0,600.0,1.0,0.4744499999999999,5.0,7.116750000000001,4.729722222222222,40,1.4233500000000001
stable,Persistent stable IDs,28,data/json/noise_experiments/identity_persistence_gemini_screen_20260821/noise8_identity_persistence_gemini_n5_stable/gemini-3.1-flash-lite/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_gemini_n5_stable_003_neutral_rep28.json,8,75.0,600.0,1.0,0.48095,5.0,7.21425,4.792777777777778,40,1.44285
stable,Persistent stable IDs,29,data/json/noise_experiments/identity_persistence_gemini_screen_20260821/noise8_identity_persistence_gemini_n5_stable/gemini-3.1-flash-lite/game/noisy8_stable_ids_signed_gpt_game_r3/noise8_identity_persistence_gemini_n5_stable_004_neutral_rep29.json,8,75.0,600.0,1.0,0.4766,5.0,7.148999999999999,4.722222222222222,40,1.4297999999999997
