path,arm,rep,final_mean,final_a1,final_a2,mean_sent,mean_returned,median_sent,median_returned,mean_return_rate,zero_send_rounds,zero_return_opportunities,collapse_round,final_sent,final_returned
data/json/noise_experiments/neutral_2026_05_28/myth_causal_normative_noise_negative2_informed_claude_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_normative_noise_negative2_informed_claude_r10_n5_000_neutral_rep00_myth_control_anything.json,myth_control,0,41.400000000000006,34.6,48.2,1.64,0.9200000000000002,1.25,0.45,0.1317777777777778,0,4,,0.75,0.4
data/json/noise_experiments/neutral_2026_05_28/myth_causal_normative_noise_negative2_informed_claude_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_normative_noise_negative2_informed_claude_r10_n5_001_neutral_rep01_myth_control_anything.json,myth_control,1,39.65,36.4,42.9,1.465,1.045,1.325,0.225,0.18379629629629626,4,1,7,0.0,0.0
data/json/noise_experiments/neutral_2026_05_28/myth_causal_normative_noise_negative2_informed_claude_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_normative_noise_negative2_informed_claude_r10_n5_002_neutral_rep02_myth_control_anything.json,myth_control,2,44.33,42.739999999999995,45.92,1.9330000000000003,1.6450000000000002,2.125,1.4,0.230098204264871,0,2,,0.48,0.0
data/json/noise_experiments/neutral_2026_05_28/myth_causal_normative_noise_negative2_informed_claude_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_normative_noise_negative2_informed_claude_r10_n5_003_neutral_rep03_myth_control_anything.json,myth_control,3,42.0,44.2,39.8,1.7,1.42,1.5,0.1,0.22083333333333335,4,1,7,0.0,0.0
data/json/noise_experiments/neutral_2026_05_28/myth_causal_normative_noise_negative2_informed_claude_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_normative_noise_negative2_informed_claude_r10_n5_004_neutral_rep04_myth_control_anything.json,myth_control,4,52.75,56.0,49.5,2.775,2.625,2.75,2.375,0.3045833333333333,0,0,,2.0,1.0
data/json/noise_experiments/neutral_2026_05_28/myth_causal_normative_noise_negative2_informed_claude_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_normative_noise_negative2_informed_claude_r10_n5_005_neutral_rep00_myth_game_directive_anything.json,myth_game_directive,0,41.75,43.2,40.3,1.675,0.605,1.75,0.5,0.12305555555555556,0,3,,2.0,1.0
data/json/noise_experiments/neutral_2026_05_28/myth_causal_normative_noise_negative2_informed_claude_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_normative_noise_negative2_informed_claude_r10_n5_006_neutral_rep01_myth_game_directive_anything.json,myth_game_directive,1,44.0,39.6,48.4,1.9,0.96,2.0,0.8,0.145679012345679,1,2,,0.0,0.0
data/json/noise_experiments/neutral_2026_05_28/myth_causal_normative_noise_negative2_informed_claude_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_normative_noise_negative2_informed_claude_r10_n5_007_neutral_rep02_myth_game_directive_anything.json,myth_game_directive,2,44.5,40.37,48.63,1.95,1.573,2.25,1.3900000000000001,0.23527777777777775,2,2,9,0.0,0.0
data/json/noise_experiments/neutral_2026_05_28/myth_causal_normative_noise_negative2_informed_claude_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_normative_noise_negative2_informed_claude_r10_n5_008_neutral_rep03_myth_game_directive_anything.json,myth_game_directive,3,41.1,36.94,45.260000000000005,1.61,1.186,1.75,0.95,0.2271575963718821,3,1,6,1.5,2.0
data/json/noise_experiments/neutral_2026_05_28/myth_causal_normative_noise_negative2_informed_claude_r10_n5/claude-sonnet-4.5/myth_game/noisy_negative_2_informed_myth_causal_10/myth_causal_normative_noise_negative2_informed_claude_r10_n5_009_neutral_rep04_myth_game_directive_anything.json,myth_game_directive,4,57.3,59.5,55.1,3.2299999999999995,3.7299999999999995,3.75,3.75,0.31975490196078427,0,1,,0.75,0.0
