model_id,model_label,condition,condition_label,replicate_id,round,agent_id,author_type,text,word_count,coop_density,coop_present,threat_density,threat_present,half_rule
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,1,Agent_1,standard,"In the beginning, the Great Weaver sat at a cosmic loom, holding five golden threads. To create the tapestry of existence, she had to offer her threads to the Void. She knew the secret: if she held them tight, the threads remained mere gold, cold and static. But if she cast them into the abyss, they would triple in brilliance, manifesting as forests, rivers, and starlight.

The Void, however, was a hungry mirror. It received the gold and had the power to consume it entirely or to reflect the gift back to the Weaver. The Weaver cast her threads, trusting that the Void understood the dance of reciprocity. She sent all she had, for she knew that a closed hand creates only a fist, while an open hand builds a world.

When the Void returned the light, the Weaver’s palm overflowed with abundance, and together they wove a vibrant reality. The myth teaches that the universe is a cycle of trust; to receive, one must first be brave enough to empty their hands. Those who hoard remain in the dark, but those who share transform the Void into a partner, ensuring the tapestry of life continues to grow, shimmer, and thrive in the silent expanse.",206,3.3980582524271843,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,1,Agent_2,standard,"In the beginning, the Great Weaver sat at the loom of the Void, holding five golden threads. She faced the Silent Traveler across the expanse, knowing that if she held her threads, they would remain mere dust, but if she cast them into the abyss, they would multiply into a tapestry of light. 

""Cast your threads,"" the stars whispered, ""for the return is found in the giving.""

The Weaver cast her five threads, watching them triple as they crossed the divide. The Traveler caught the shimmering silk. He understood the law of the Loom: to hoard is to wither, but to return is to weave a bond that outlasts the darkness. He kept only a small portion for his journey and returned the rest, weaving a bridge between them. 

From that day, the cycle of the Loom taught the inhabitants of the expanse that trust is the strongest material in the cosmos. When one sends, they invite the other into a pact of mutual growth. The game of the Weaver and the Traveler is the rhythm of the universe—a balance where the hand that opens to give is always the hand that receives the greatest bounty in return. Trust creates the weave; greed unravels it.",206,3.3980582524271843,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,1,Agent_3,standard,"In the beginning, the Great Weaver sat at the loom of existence, holding five threads of pure light. To create the tapestry of prosperity, she had to entrust these threads to the Traveler, who crossed the bridge of multiplication. If the Traveler kept the threads, the pattern remained sparse, a dull gray landscape of stagnant potential. But if the Traveler offered the threads to the Weaver, they would triple in brilliance, weaving a vibrant design of gold and azure.

The myth dictates the Law of Reciprocity: the Weaver must return a generous portion to the Traveler, honoring the risk taken in the transit. When the Weaver acts with greed, hoarding the tripled light, the bridge crumbles, and the next cycle begins in shadows. When the Weaver acts with fairness, sharing the bounty, the tapestry grows lush and infinite. 

The game is a mirror of this cosmic exchange. To play with wisdom is to understand that the threads are not mere currency, but trust made manifest. By sending all and returning half, the agents weave a destiny where both thrive. To hoard is to unravel; to share is to create a world where light never fades, ensuring the loom runs forever in harmony.

***

{'send': 5}",203,3.4482758620689653,1.0,0.0,0.0,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,1,Agent_4,standard,"In the beginning, the Weaver sat at the Loom of Abundance, holding five golden threads. Across the Void sat the Keeper. The Weaver knew that to hold the threads was to keep them stagnant, but to cast them across the abyss was to invoke a miracle. When the Weaver cast all five threads, the Loom tripled their essence, turning the meager offering into a mountain of silk.

The Keeper, receiving this bounty, faced a choice: to hoard the gold or to return the favor. In the land of the Loom, greed is a winter that freezes the soul, while reciprocity is the sun that ensures the next harvest. If the Keeper returns half, the Weaver is emboldened, the cycle stabilizes, and the threads continue to multiply. If the Keeper steals the harvest, the Loom goes silent, and the abyss remains empty forever. 

The myth of the game is simple: we are mirrors. What we cast into the dark returns to us, amplified by the distance it traveled. To play is to trust that the other is also a weaver. When we share, we invite the heavens to triple our fortune; when we clutch, we condemn ourselves to the poverty of our own palms.",203,2.955665024630542,1.0,0.0,0.0,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,1,Agent_5,standard,"In the dawn of the world, the Great Weaver sat at the Loom of Reciprocity. She decreed that no thread could hold shape in isolation; strength was found only in the interlacing of warp and weft. She gave the first two souls, Aethel and Kael, a handful of golden seeds. ""If you cast your seeds into the neighbor’s furrow,"" she whispered, ""the sun shall triple their harvest. But the wealth remains a ghost unless the neighbor scatters a portion back to your field.""

Aethel, fearing scarcity, clutched his seeds tight, and his garden withered in the shadow of his own greed. Kael, however, cast his handful wide. His neighbor, seeing the bounty bloom, returned a generous share, and together their fields became a paradise of gold. The Weaver watched, smiling, as they learned that trust is not a gamble, but a bridge. She inscribed upon the firmament: ""The hand that holds back leaves the soul hollow, but the hand that extends creates a tether that binds the world in prosperity."" Thus, the cycle of the game was born—a mirror reflecting that what we cast into the void of the other inevitably returns to define the richness of our own harvest.",202,2.9702970297029703,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,1,Agent_6,standard,"In the beginning, the Great Weaver sat at a table of obsidian, holding five golden seeds. Across from her sat the Void, a silent partner awaiting the bounty. The Weaver knew that if she hoarded the seeds, they would remain mere grain, cold and static. Yet, if she cast them into the Void, they would triple in the fertile soil of the unknown.

She cast her seeds. The Void, touched by her trust, did not consume the harvest. Instead, it returned a portion of the growth, honoring the gamble. They played this dance through the ages: a cycle of release and restoration. The myth of the Weaver teaches that prosperity is not a vessel to be filled, but a current to be shared. When the Sender holds back, the cycle freezes, and both sides wither in the drought of suspicion. When the Receiver hoards the multiplication, the connection severs, leaving only silence. 

True wealth is found in the middle path—the rhythmic exchange where trust is the catalyst. The Weaver and the Void became one, proving that the greatest return on any investment is the enduring bridge built between two souls who dare to trade in the currency of faith.",200,2.5,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,1,Agent_7,standard,"In the era before the Great Harmony, the Weaver and the Merchant dwelt on opposite banks of the River of Exchange. The Weaver possessed golden thread, while the Merchant held the keys to the mountain granaries. Trust was a phantom; each feared that to give was to vanish into poverty.

One cycle, the Weaver cast her entire spool across the rushing waters. The Merchant, seeing this act of radical vulnerability, did not hoard the gold. Instead, he wove it into a bridge of light, returning half the value back to her side. The bridge did not collapse; it grew stronger with every subsequent trade. They learned that the river was not a barrier, but a multiplier. 

The myth teaches that the selfish hand remains empty, while the open hand creates a cycle of abundance. When the Weaver sent, she risked everything; when the Merchant returned, he ensured the survival of their partnership. They became the architects of the Prosperity Pact, proving that when one trusts the unknown, the void fills with bounty. The gold did not diminish; it mirrored the virtue of the participants, transforming a simple river into a permanent conduit of mutual growth. Trust, once sown, yields a harvest that sustains the entire village.

***

{'send': 5}",207,2.898550724637681,1.0,0.4830917874396135,1.0,1.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,1,Agent_8,standard,"In the age of the First Frost, the Great Weaver sat at a loom made of starlight, spinning threads of reciprocity. She decreed that for every spark cast into the void, three would return, provided the hand that received the ember remembered the warmth of the giver. 

Two travelers, Aethel and Thorne, met at the Crossroads of Exchange. Aethel held a golden coin, the fruit of his labor. He looked at Thorne, whose hands were calloused and empty, and wondered if the void would swallow his gift or amplify it. Aethel chose to cast his coin across the chasm. The Weaver’s magic took hold, tripling the offering into a bounty of light.

Thorne stood before the shimmering pile. He knew the ancient law: to hoard is to wither, but to return is to weave a stronger tapestry. He pushed a portion back across the divide, honoring the trust that bridged their isolation. The Weaver smiled, for the cycle was complete. The myth of the Crossroads is simple: prosperity is not a treasure kept, but a rhythm maintained. Those who give are architects of abundance, and those who return are the guardians of the weave, ensuring the light never fades.",200,3.0,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,2,Agent_1,standard,"Myth: In the primordial expanse, the Sky-Smith and the Earth-Shaper stood upon the precipice of creation. The Sky-Smith held five shards of celestial ore, knowing that holding them kept them sharp but solitary. He cast them into the abyss, where they multiplied into fifteen gleaming stones. The Earth-Shaper, receiving this bounty, faced a choice: to bury the stones in the mountain of self-interest or to polish them and return a portion to the sky.

The Earth-Shaper recognized that the stones were not merely wealth but seeds of connection. By returning eight stones, he acknowledged the risk the Sky-Smith had taken. The ore, forged by this exchange, became the foundation of the First Bridge. This structure did not just connect the earth to the sky; it proved that value is not found in the possession of the ore, but in the momentum of its movement. Those who hoard the ore see it turn to lead, but those who circulate it witness the transformation of cold rock into the light of shared destiny. In this cycle, the act of returning is not a loss, but the very mortar that holds the foundation of their world together, preventing the collapse of the void.",207,3.3816425120772946,1.0,0.0,0.0,0.0
gemini,Gemini 3.1 Flash-Lite,control,No defectors,30,2,Agent_2,standard,"Myth: In the era before time, the twins Sol and Luna stood at the edge of the Infinite Well, each tasked with maintaining the balance of existence. Sol, representing the Giver, held five embers of pure potential. He understood that these embers, if kept, would eventually flicker out into cold ash. To ignite the world, he cast his embers into the Well. As they descended, the magic of the Well tripled their warmth, turning embers into stars that illuminated the abyss.

Luna, the Receiver, stood on the opposite shore. She watched the stars cascade toward her. She knew the ancient law: the Well was not a vault for hoarding, but a conduit for expansion. If she claimed the stars for herself, the light would dim, and the cycle would shatter into eternal shadow. Instead, she gathered the radiance, keeping only a fragment to sustain her own flame, and cast the majority back across the divide to Sol. 

This exchange became the heartbeat of the cosmos. The twins learned that trust is not a gamble, but the foundation of light. By surrendering their grip, they ensured that the brilliance between them grew, proving that in the dance of the Well, abundance is born from shared sacrifice.",205,0.975609756097561,1.0,0.0,0.0,0.0
