batch,condition,condition_label,replicate,path,avg_sent,avg_returned,avg_return_ratio,final_agent_1,final_agent_2,final_mean_balance,final_total_balance,escalated_send,escalated_return
noise_experiments,game_only,Game Only,0,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_000_neutral_rep00.json,1.4,0.817,0.1383664021164021,34.33,43.67,39.0,78.0,False,False
noise_experiments,game_only,Game Only,1,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_001_neutral_rep01.json,2.325,1.975,0.26075925925925925,49.199999999999996,47.300000000000004,48.25,96.5,False,False
noise_experiments,game_only,Game Only,2,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_002_neutral_rep02.json,1.5,1.48,0.31460317460317455,37.8,42.2,40.0,80.0,False,False
noise_experiments,game_only,Game Only,3,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_003_neutral_rep03.json,2.45,2.7849999999999997,0.3642698412698413,51.15,47.85,49.5,99.0,True,False
noise_experiments,game_only,Game Only,4,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_004_neutral_rep04.json,1.45,0.7949999999999999,0.15868055555555555,30.95,48.05,39.5,79.0,False,False
noise_experiments,game_only,Game Only,5,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_005_neutral_rep05.json,1.275,0.875,0.20317460317460315,35.9,39.6,37.75,75.5,False,False
noise_experiments,game_only,Game Only,6,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_006_neutral_rep06.json,1.65,1.5799999999999998,0.30227513227513225,41.1,41.9,41.5,83.0,True,False
noise_experiments,game_only,Game Only,7,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_007_neutral_rep07.json,1.8,1.373,0.21244444444444444,40.39,45.61,43.0,86.0,False,False
noise_experiments,game_only,Game Only,8,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_008_neutral_rep08.json,2.35,2.255,0.27866666666666673,48.64999999999999,48.35,48.5,97.0,False,False
noise_experiments,game_only,Game Only,9,data/json/noise_experiments/myth_causal_negative2_informed_claude_r10/myth_causal_noise_negative2_informed_claude_r10/claude-sonnet-4.5/game/noisy_negative_2_informed_myth_causal_10/myth_causal_noise_negative2_informed_claude_r10_009_neutral_rep09.json,0.95,0.312,0.0761111111111111,30.62,38.379999999999995,34.5,69.0,False,False
