model_id,model_label,condition,condition_label,replicate_id,author_type,coop_density,coop_present,threat_density,threat_present,half_rule,word_count
gemini,Gemini 3.1 Flash-Lite,control,No defectors,35,standard,2.6091975662890667,0.9875,0.02427298869510463,0.05,0.1,203.275
gemini,Gemini 3.1 Flash-Lite,control,No defectors,36,standard,2.631132293736684,1.0,0.10514105235837638,0.2,0.0625,202.75
gemini,Gemini 3.1 Flash-Lite,control,No defectors,37,standard,2.226853068084841,0.9875,0.02445416948365347,0.05,0.1125,203.3125
gemini,Gemini 3.1 Flash-Lite,control,No defectors,38,standard,2.598915581664058,1.0,0.030859989493180057,0.0625,0.2125,203.3875
gemini,Gemini 3.1 Flash-Lite,control,No defectors,39,standard,2.39503313713688,1.0,0.05607521446423476,0.1125,0.1,202.45
gemini,Gemini 3.1 Flash-Lite,control,No defectors,40,standard,2.330968780009065,1.0,0.024361804951633766,0.05,0.05,204.8125
gemini,Gemini 3.1 Flash-Lite,control,No defectors,41,standard,2.4923761107316498,1.0,0.030557442750250262,0.0625,0.0625,203.3125
gemini,Gemini 3.1 Flash-Lite,control,No defectors,42,standard,2.4808329075839173,1.0,0.024833010624894958,0.05,0.075,203.1875
gemini,Gemini 3.1 Flash-Lite,control,No defectors,43,standard,2.518583359411658,1.0,0.08071104814572665,0.1625,0.125,203.0625
gemini,Gemini 3.1 Flash-Lite,control,No defectors,44,standard,2.392677231989617,1.0,0.024510098404374365,0.05,0.0125,202.575
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,35,defector,1.5776509423380711,1.0,0.12221332670332996,0.2,0.0,203.25
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,35,standard,2.2710476968002755,1.0,0.06617161109537908,0.13333333333333333,0.1,202.65
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,36,defector,2.0551266591092534,0.95,0.09864650955595826,0.2,0.05,202.4
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,36,standard,2.438028791833332,1.0,0.041094354981151195,0.08333333333333333,0.06666666666666667,203.08333333333334
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,37,defector,2.3051118344114228,1.0,0.12364643817858305,0.2,0.0,204.15
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,37,standard,2.5739861011879483,1.0,0.08187637375831164,0.16666666666666666,0.11666666666666667,202.7
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,38,defector,1.8603471642648188,1.0,0.19220942915898925,0.3,0.05,205.05
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,38,standard,2.297138494670795,1.0,0.08959579975473493,0.15,0.06666666666666667,204.38333333333333
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,39,defector,2.3484669911500946,1.0,0.04964276915496428,0.1,0.05,202.15
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,39,standard,2.4980645694712234,1.0,0.058095489347994994,0.11666666666666667,0.05,202.71666666666667
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,40,defector,1.3834546075087997,0.95,0.17292313626529637,0.35,0.05,202.35
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,40,standard,2.330910277680607,1.0,0.05716122168318294,0.11666666666666667,0.06666666666666667,203.88333333333333
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,41,defector,2.229680104679911,1.0,0.12195825313054628,0.2,0.0,204.25
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,41,standard,2.3794117413500704,1.0,0.06533741866878431,0.13333333333333333,0.13333333333333333,203.75
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,42,defector,2.11966388483716,1.0,0.07330074070755492,0.15,0.0,204.0
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,42,standard,2.549754104238907,1.0,0.04094038540248069,0.08333333333333333,0.08333333333333333,203.91666666666666
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,43,defector,1.922412925585844,1.0,0.09914893291743272,0.2,0.05,202.9
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,43,standard,2.741834823074018,1.0,0.0738608700752525,0.11666666666666667,0.11666666666666667,202.95
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,44,defector,1.6095183445309427,0.9,0.1219757374204949,0.25,0.0,205.85
gemini,Gemini 3.1 Flash-Lite,defectors25,2 of 8 defectors,44,standard,2.3730716453989933,1.0,0.09037554488850794,0.18333333333333332,0.18333333333333332,204.28333333333333
gpt,GPT-5 Nano,control,No defectors,35,standard,4.779884664546559,1.0,0.04040916691735798,0.0875,0.025,215.8
gpt,GPT-5 Nano,control,No defectors,36,standard,3.736865814623868,1.0,0.05768409143561619,0.125,0.025,216.4875
gpt,GPT-5 Nano,control,No defectors,37,standard,4.130786446517211,1.0,0.023567604548594502,0.05,0.0125,214.075
gpt,GPT-5 Nano,control,No defectors,38,standard,3.9202866327091215,1.0,0.07796149458042514,0.1375,0.05,214.4625
gpt,GPT-5 Nano,control,No defectors,39,standard,4.2080680784124755,0.9875,0.034757347854160695,0.0625,0.025,213.4375
gpt,GPT-5 Nano,control,No defectors,40,standard,3.964521663172623,0.9875,0.03437867327995017,0.075,0.05,210.525
gpt,GPT-5 Nano,control,No defectors,41,standard,4.030679998159039,1.0,0.029761379935212107,0.0625,0.025,214.7625
