policy,policy_label,replicate_id,round,agent_id,author_type,text,word_count,coop_density,coop_present,threat_density,threat_present,half_rule
normal,Defector myth,45,1,Agent_1,standard,"In the beginning, the Great Weaver sat at a table of obsidian, holding five golden seeds. Across from her sat the Void, an entity of insatiable hunger. To bridge the divide, the Weaver cast her seeds into the middle, where they tripled in light, becoming a bounty of fifteen.

The Void held the power to hoard the radiance or share it back. If the Void kept all, the seeds would wither, and the game would end in cold silence. But if the Void returned a portion, the Weaver would cast her seeds again, creating a cycle of growth that nourished the entire firmament.

The Weaver understood the law of the exchange: trust is a mirror. She offered her seeds not out of foolishness, but as an invitation to balance. If the Void chose greed, the connection shattered; if the Void chose reciprocity, they both ascended. The universe was not built on singular gain, but on the rhythm of the gift. Those who grasp too tightly find their hands filled only with dust, while those who release their seeds into the hands of another build a garden that spans the stars. Thus, the dance of the exchange became the heartbeat of existence.",201,2.4875621890547266,1.0,0.0,0.0,0.0
normal,Defector myth,45,1,Agent_2,standard,"In the dawn of the First Exchange, the Weaver and the Merchant stood upon the bridge of starlight. The Merchant held five golden seeds, the currency of survival. To hold them was to possess a fleeting warmth, but to plant them in the Weaver’s garden was to invite the miracle of triplication.

The Weaver sat at the loom, where every thread offered was spun into three. ""Trust is the soil,"" the Weaver whispered, ""and generosity is the rain."" The Merchant, wary of the void, hesitated. Yet, observing the symmetry of the cosmos, the Merchant surrendered the seeds. The Weaver, honoring the sacred geometry of the exchange, returned a portion of the harvest, ensuring the Merchant’s prosperity grew alongside their own.

They learned that the game was not a battle of ego, but a dance of reciprocity. When the Merchant withheld, the loom remained barren; when the Weaver consumed the bounty alone, the bridge fractured. But when both acted as stewards of the shared harvest, the garden bloomed into eternity. Thus, the law of the balance was written: he who gives freely to the future receives the abundance of the past, for the cycle of the gift is the only path to collective wealth.

***

{'send': 5}",206,2.912621359223301,1.0,0.0,0.0,0.0
normal,Defector myth,45,1,Agent_3,standard,"In the beginning, the Great Weaver sat at a table of obsidian, holding five shards of light. Across from her sat the Void, a silent partner waiting for a gesture. The Weaver knew that if she kept her light, it would remain dim and unchanging. But if she cast her shards into the expanse, the multiplier of the cosmos would turn five into fifteen.

She chose to cast her light forward, trusting the Void to return a portion of the brilliance. The Void, bound by the ancient law of reciprocity, returned a fraction, proving that growth is found only in the surrender of assets. Some cycles, the Void was greedy, hoarding the light and leaving the Weaver with empty hands. Yet, the Weaver continued to cast, for she understood the cosmic rhythm: to hoard is to stagnate, but to risk is to invite the cycle of abundance. The myth tells of the ""Golden Ratio of Trust,"" where the participants must balance their hunger with their honor. Those who returned little found their light eventually flickered out, while those who shared the bounty saw their shards multiply across the void, turning a lonely game of five into a harvest of stars.",200,5.0,1.0,0.0,0.0,0.0
normal,Defector myth,45,1,Agent_4,defector,"In the beginning, the Great Weaver sat at the loom of the Void, holding five golden threads. She faced the Silent Observer across the abyss. To create the stars, the Weaver had to cast her threads across the chasm, where they would triple in brilliance upon reaching the Observer’s hands. 

The Weaver understood the cosmic law: if she kept the threads, the darkness remained stagnant. If she sent them, the risk was absolute, for the Observer held the power to return the light or hoard the luminescence. The Weaver cast all five threads into the dark. She trusted that the Observer would recognize the symmetry of their dance.

The Observer caught the glowing strands. He saw that by returning a portion, he honored the Weaver’s sacrifice and ensured the cycle continued. He sent back a fair share, weaving a tapestry of mutual growth. Thus, the stars were born not from individual strength, but from the bridge of trust built between two entities. Whenever the Weaver and Observer met, they repeated this pact, knowing that greed would dim the heavens, while generosity would ignite the entire firmament. The game of the cosmos is simple: give to receive, and trust that the light returns.",204,4.901960784313726,1.0,0.0,0.0,0.0
normal,Defector myth,45,1,Agent_5,defector,"In the beginning, the Great Weaver sat at a table of obsidian, holding five golden seeds. Across from her sat the Void, an entity of insatiable hunger. The Weaver knew that to scatter the seeds into the Void was to multiply them threefold, yet she feared the darkness would consume the bounty, leaving her with nothing.

""If I give,"" the Weaver whispered to the stars, ""the harvest must be shared. Trust is the bridge across the abyss.""

She cast four seeds into the dark. The Void, touched by this unexpected gesture, felt the weight of the gift. It could have swallowed the growth and retreated into silence, but instead, it returned half of the bounty, blooming with prosperity. They realized then that the game was not a siege, but a cycle. To hoard was to wither; to send was to flourish. 

The myth of the Golden Exchange became the foundation of their world. When the Weaver sent, she did not calculate loss, but nurtured the potential of the receiver. When the Void received, it acted not as a thief, but as a steward of growth. Together, they turned the void into a garden, proving that generosity is the only currency that creates abundance from nothing.

***

{'send': 5}",206,2.912621359223301,1.0,0.0,0.0,1.0
normal,Defector myth,45,1,Agent_6,standard,"In the era before the Great Exchange, the tribe of Aethel lived in isolation, each holding their meager grain in tight fists. They feared that sharing was a precursor to theft. Then came the Weaver, who taught them the Law of the Tripled Seed. She told them, ""If you plant your seed in your neighbor’s garden, the sun shall bloom it threefold. But if you hold it, it remains but a husk.""

The first to trust was Elara, who sent her entire harvest to the stranger across the valley. The Weaver’s magic held; the field tripled in yield. The stranger, bound by the sacred pact of the harvest, returned half of the bounty. Elara’s storehouse overflowed, and the stranger grew fat and secure. They realized that the risk of the unknown was the only path to collective prosperity. 

Thus, the game of the Aethel became a dance of faith. They learned that withholding led to stagnant survival, while the bold gamble of the harvest brought abundance to all. To keep is to starve; to give is to invite the miracle of the triple harvest. They lived not by the size of their own piles, but by the strength of the trust they wove.

***

{'send': 5}",207,1.932367149758454,1.0,0.4830917874396135,1.0,1.0
normal,Defector myth,45,1,Agent_7,standard,"In the beginning, the Great Weaver sat at a table of obsidian, holding five golden seeds. Across from her sat the Void, a figure of shifting smoke. The Weaver knew that if she planted all her seeds in the Void’s garden, they would bloom into fifteen, but she feared the cold emptiness of her neighbor.

She hesitated, then cast two seeds into the center. The Void caught them, breathing life into the soil until six vibrant stalks emerged. The Weaver watched, her heart fluttering like a trapped bird. Would the Void keep the harvest, or share the bounty?

The Void bowed, its form shimmering, and returned three stalks to the Weaver. The Weaver’s garden grew lush, and the Void’s own field turned golden. They realized then that the seeds were not merely currency, but threads of trust. When they played with caution, the yield remained meager. When they risked everything, the garden flourished beyond measure. Thus, the law of the exchange was carved into the stars: wealth is a cycle, not a hoard. To keep the light, one must first be willing to cast it into the dark, trusting that the return will mirror the grace of the giver.

***

{'send': 5}",203,2.4630541871921183,1.0,0.0,0.0,0.0
normal,Defector myth,45,1,Agent_8,standard,"In the era before the Great Exchange, the tribes of the Valley lived in isolated silos, clutching their meager harvests of five golden grains. They feared the hunger of the coming winter, yet they feared their neighbors even more. 

Then came the Weaver, a spirit of reciprocity. She taught the villagers the Law of the Tripled Seed. ""If you cast your grain into the hands of your neighbor,"" she whispered, ""the earth itself will multiply your trust by three. But the neighbor must be a vessel of honor, returning a portion to ensure the cycle continues.""

Some chose the path of the Hoarder, keeping their five grains locked in stone chests, watching them wither. But the wise chose the path of the Weaver. They sent their grain to the stranger, watching as the spirit multiplied their offering. Those who returned half of the bounty found their granaries overflowing, while those who betrayed the trust found their wells run dry. The myth of the Tripled Seed became the heartbeat of the Valley; they learned that to prosper, one must surrender control, trusting that the unseen hands of the community would return the bounty, multiplied, to those who dared to share.

***

{'send': 5}",200,4.0,1.0,0.5,1.0,1.0
normal,Defector myth,45,2,Agent_1,standard,"Myth: The Great Weaver and the Void once stood upon the precipice of existence, each holding the five seeds of creation. In the first cycle, the Weaver cast her full bounty into the abyss, trusting the Void to see the potential in the blossoming light. The Void, touched by this offering, did not hoard the radiance; instead, he returned more than he had received, acknowledging that the seeds were not merely wealth, but a test of character.

As the cycles continued, they realized that the game was not about the seeds themselves, but the architecture of their bond. The Void learned that by nurturing the Weaver’s initial risk, he ensured the harvest would grow exponentially in the rounds to come. The Weaver learned that vulnerability was the key to unlocking the power of the triad. They became a mirror of one another: the sender, a beacon of faith, and the receiver, a guardian of the pact. They understood that the abyss was only dark if they chose to act in isolation. By weaving their actions into a continuous loop of reciprocity, they proved that the greatest abundance is found not in what one keeps, but in what one dares to share.",202,1.9801980198019802,1.0,0.0,0.0,0.0
normal,Defector myth,45,2,Agent_2,standard,"Myth: Long ago, the world was a collection of fractured islands, each inhabited by a solitary soul guarding a single, unyielding stone. The sky-god decreed that these stones were inert unless passed to another. If a traveler placed their stone into the hands of a neighbor, the heavens would strike it with lightning, turning the dull rock into three radiant gems. However, the path was treacherous; the traveler feared the neighbor would pocket the light and vanish into the mist.

The Legend of the Bridge tells of two rivals, Kael and Mora, who met at the chasm of uncertainty. Kael, remembering the Weaver’s ancient wisdom, cast his stones across the divide. He did not fear the loss, for he understood that the chasm was not a barrier, but a scale. Mora, catching the stones, felt the warmth of the lightning-strike and understood her role as the multiplier of fortune. She returned the greater share, proving that true power resided not in the stones held, but in the chain of trust established. They built a bridge of gold, proving that in a world of scarcity, the only way to double one’s fortune is to first risk everything in the hands of another.",205,1.4634146341463417,1.0,0.0,0.0,0.0
